Comunidades autónomas;Grupo penal;periodo;Total
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;9.773
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;7.367
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;5.578
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;5.342
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;4.653
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;4.004
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;3.384
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;3.150
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;3.243
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;2.893
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;1.851
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;1.805
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;1.701
TOTAL NACIONAL;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;1.492
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2024;17.738
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2023;17.472
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2022;15.982
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2021;17.319
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2020;14.066
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2019;12.782
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2018;12.800
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2017;11.812
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2016;12.036
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2015;10.607
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2014;9.559
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2013;9.064
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2012;9.207
TOTAL NACIONAL;AMENAZAS Y COACCIONES;2011;9.839
TOTAL NACIONAL;CONTRA EL HONOR;2024;1.128
TOTAL NACIONAL;CONTRA EL HONOR;2023;1.174
TOTAL NACIONAL;CONTRA EL HONOR;2022;1.191
TOTAL NACIONAL;CONTRA EL HONOR;2021;1.426
TOTAL NACIONAL;CONTRA EL HONOR;2020;1.550
TOTAL NACIONAL;CONTRA EL HONOR;2019;1.422
TOTAL NACIONAL;CONTRA EL HONOR;2018;1.448
TOTAL NACIONAL;CONTRA EL HONOR;2017;1.561
TOTAL NACIONAL;CONTRA EL HONOR;2016;1.546
TOTAL NACIONAL;CONTRA EL HONOR;2015;2.205
TOTAL NACIONAL;CONTRA EL HONOR;2014;2.212
TOTAL NACIONAL;CONTRA EL HONOR;2013;1.963
TOTAL NACIONAL;CONTRA EL HONOR;2012;1.891
TOTAL NACIONAL;CONTRA EL HONOR;2011;1.941
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;227
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;117
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;114
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;137
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;125
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;197
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;232
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;121
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;129
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;172
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;183
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;172
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;144
TOTAL NACIONAL;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;222
TOTAL NACIONAL;DELITOS SEXUALES;2024;1.676
TOTAL NACIONAL;DELITOS SEXUALES;2023;1.804
TOTAL NACIONAL;DELITOS SEXUALES;2022;1.646
TOTAL NACIONAL;DELITOS SEXUALES;2021;1.628
TOTAL NACIONAL;DELITOS SEXUALES;2020;1.783
TOTAL NACIONAL;DELITOS SEXUALES;2019;1.774
TOTAL NACIONAL;DELITOS SEXUALES;2018;1.581
TOTAL NACIONAL;DELITOS SEXUALES;2017;1.392
TOTAL NACIONAL;DELITOS SEXUALES;2016;1.231
TOTAL NACIONAL;DELITOS SEXUALES;2015;1.306
TOTAL NACIONAL;DELITOS SEXUALES;2014;974
TOTAL NACIONAL;DELITOS SEXUALES;2013;768
TOTAL NACIONAL;DELITOS SEXUALES;2012;715
TOTAL NACIONAL;DELITOS SEXUALES;2011;755
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2024;19.492
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2023;15.137
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2022;12.569
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2021;10.476
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2020;6.289
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2019;4.275
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2018;3.436
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2017;3.280
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2016;3.017
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2015;2.644
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2014;1.874
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2013;1.608
TOTAL NACIONAL;FALSIFICACIÓN INFORMÁTICA;2012;1.625
