;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201901;Enero de 2019;1;Andalucía;4;Almería;04001;Abla;77;4;15;23;4;21;10;11;5;5;52;4
201901;Enero de 2019;1;Andalucía;4;Almería;04002;Abrucena;62;5;9;14;5;16;13;7;6;9;36;4
201901;Enero de 2019;1;Andalucía;4;Almería;04003;Adra;2088;103;385;449;97;569;485;386;73;250;1174;205
201901;Enero de 2019;1;Andalucía;4;Almería;04004;Albánchez;18;0;2;6;1;7;2;1;0;2;15;0
201901;Enero de 2019;1;Andalucía;4;Almería;04005;Alboloduy;35;1;8;12;1;8;5;4;4;7;19;1
201901;Enero de 2019;1;Andalucía;4;Almería;04006;Albox;755;30;126;158;28;244;169;60;43;82;517;53
201901;Enero de 2019;1;Andalucía;4;Almería;04007;Alcolea;66;2;8;30;2;15;9;11;1;11;42;1
201901;Enero de 2019;1;Andalucía;4;Almería;04008;Alcóntar;19;1;1;9;1;4;3;1;1;5;11;1
201901;Enero de 2019;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;3;1;1;0;0;0;1;0;0;0;3;0
201901;Enero de 2019;1;Andalucía;4;Almería;04010;Alhabia;88;5;18;31;1;19;14;2;17;29;31;9
201901;Enero de 2019;1;Andalucía;4;Almería;04011;Alhama de Almería;359;21;64;73;22;96;83;23;20;34;243;39
201901;Enero de 2019;1;Andalucía;4;Almería;04012;Alicún;24;0;2;9;0;3;10;0;2;2;19;1
201901;Enero de 2019;1;Andalucía;4;Almería;04013;Almería;18564;651;3427;4084;654;4907;4841;1175;635;1969;12722;2063
201901;Enero de 2019;1;Andalucía;4;Almería;04014;Almócita;14;0;1;3;0;5;5;1;1;0;11;1
201901;Enero de 2019;1;Andalucía;4;Almería;04015;Alsodux;6;1;2;1;0;1;1;0;0;0;6;0
201901;Enero de 2019;1;Andalucía;4;Almería;04016;Antas;147;5;26;20;4;46;46;15;5;7;112;8
201901;Enero de 2019;1;Andalucía;4;Almería;04017;Arboleas;123;6;18;25;6;37;31;5;6;17;88;7
201901;Enero de 2019;1;Andalucía;4;Almería;04018;Armuña de Almanzora;19;1;6;4;1;3;4;1;0;6;11;1
201901;Enero de 2019;1;Andalucía;4;Almería;04019;Bacares;10;1;2;1;1;0;5;1;0;0;9;0
201901;Enero de 2019;1;Andalucía;4;Almería;04020;Bayárcal;21;3;5;7;1;3;2;1;1;8;11;0
201901;Enero de 2019;1;Andalucía;4;Almería;04021;Bayarque;13;1;2;2;0;6;2;1;0;4;8;0
201901;Enero de 2019;1;Andalucía;4;Almería;04022;Bédar;37;2;3;15;2;8;7;0;2;3;29;3
201901;Enero de 2019;1;Andalucía;4;Almería;04023;Beires;3;0;1;1;0;0;1;1;0;0;2;0
201901;Enero de 2019;1;Andalucía;4;Almería;04024;Benahadux;356;11;56;62;11;111;105;15;16;25;270;30
201901;Enero de 2019;1;Andalucía;4;Almería;04026;Benitagla;1;0;1;0;0;0;0;0;0;0;1;0
201901;Enero de 2019;1;Andalucía;4;Almería;04027;Benizalón;14;1;3;4;1;2;3;2;1;3;8;0
201901;Enero de 2019;1;Andalucía;4;Almería;04028;Bentarique;11;1;2;4;0;3;1;0;1;2;8;0
201901;Enero de 2019;1;Andalucía;4;Almería;04029;Berja;1251;56;236;327;59;307;266;288;32;200;647;84
201901;Enero de 2019;1;Andalucía;4;Almería;04030;Canjáyar;95;4;16;30;5;24;16;6;5;17;57;10
201901;Enero de 2019;1;Andalucía;4;Almería;04031;Cantoria;228;8;38;60;2;56;64;15;21;29;142;21
201901;Enero de 2019;1;Andalucía;4;Almería;04032;Carboneras;686;38;111;136;20;215;166;90;34;51;452;59
201901;Enero de 2019;1;Andalucía;4;Almería;04033;Castro de Filabres;7;1;3;0;0;1;2;2;0;0;5;0
201901;Enero de 2019;1;Andalucía;4;Almería;04034;Cóbdar;12;0;4;2;0;4;2;1;0;0;11;0
201901;Enero de 2019;1;Andalucía;4;Almería;04035;Cuevas del Almanzora;1062;62;203;180;58;307;252;157;34;105;672;94
201901;Enero de 2019;1;Andalucía;4;Almería;04036;Chercos;19;3;5;3;2;3;3;0;4;4;11;0
201901;Enero de 2019;1;Andalucía;4;Almería;04037;Chirivel;50;3;4;14;1;21;7;2;2;4;38;4
201901;Enero de 2019;1;Andalucía;4;Almería;04038;Dalías;259;4;48;71;16;68;52;49;10;35;148;17
201901;Enero de 2019;1;Andalucía;4;Almería;04041;Enix;21;0;7;3;0;5;6;2;1;0;16;2
201901;Enero de 2019;1;Andalucía;4;Almería;04043;Felix;33;3;2;11;3;6;8;4;0;4;22;3
201901;Enero de 2019;1;Andalucía;4;Almería;04044;Fines;220;12;38;54;5;51;60;19;40;21;124;16
201901;Enero de 2019;1;Andalucía;4;Almería;04045;Fiñana;168;5;31;45;11;49;27;25;14;21;96;12
201901;Enero de 2019;1;Andalucía;4;Almería;04046;Fondón;85;3;12;22;1;15;32;9;18;7;49;2
201901;Enero de 2019;1;Andalucía;4;Almería;04047;Gádor;346;19;63;80;19;88;77;48;22;36;203;37
201901;Enero de 2019;1;Andalucía;4;Almería;04048;Gallardos, Los;159;12;14;37;5;43;48;7;5;15;119;13
201901;Enero de 2019;1;Andalucía;4;Almería;04049;Garrucha;1038;46;188;188;47;284;285;30;13;60;878;57
201901;Enero de 2019;1;Andalucía;4;Almería;04050;Gérgal;83;4;15;24;4;21;15;18;2;7;52;4
201901;Enero de 2019;1;Andalucía;4;Almería;04051;Huécija;27;0;2;10;2;9;4;1;2;3;19;2
201901;Enero de 2019;1;Andalucía;4;Almería;04052;Huércal de Almería;1480;58;257;279;50;445;391;67;58;152;1095;108
201901;Enero de 2019;1;Andalucía;4;Almería;04053;Huércal-Overa;1154;41;163;213;69;398;270;154;63;72;751;114
201901;Enero de 2019;1;Andalucía;4;Almería;04054;Illar;24;2;7;7;1;2;5;1;2;1;17;3
201901;Enero de 2019;1;Andalucía;4;Almería;04055;Instinción;28;0;4;8;1;9;6;1;3;1;20;3
