"Año";"Periodo";"Paro registrado"
"2001";"Abril";"1.910.453"
"2002";"Abril";"2.060.069"
"2003";"Abril";"2.104.474"
"2004";"Abril";"2.162.406"
"2005";"Abril";"2.095.945"
"2006";"Abril";"2.075.676"
"2007";"Abril";"2.023.124"
"2008";"Abril";"2.338.517"
"2009";"Abril";"3.644.880"
"2010";"Abril";"4.142.425"
"2011";"Abril";"4.269.360"
"2012";"Abril";"4.744.235"
"2013";"Abril";"4.989.193"
"2014";"Abril";"4.684.301"
"2015";"Abril";"4.333.016"
"2016";"Abril";"4.011.171"
"2017";"Abril";"3.573.036"
"2018";"Abril";"3.335.868"
"2019";"Abril";"3.163.566"
"2020";"Abril";"3.831.203"
"2021";"Abril";"3.910.628"
"2022";"Abril";"3.022.503"
"2023";"Abril";"2.788.370"
"2024";"Abril";"2.666.500"
"2025";"Abril";"2.512.718"
"2026";"Abril";"2.357.044"
;;
;;
"Métrica":"Paro registrado"
"Fuente":"Ministerio de Empleo y Seguridad Social"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/numero-parados-meses-comparables/76740019-417d-473f-bee8-1f183379dd13"
"Titulo":"Número de parados en meses comparables en España"
"Subtitulo":""
