Comunidades y ciudades autónomas;Sexo;Nacionalidad;País de nacimiento;Periodo;Total
01 Andalucía;Total;Extranjera;Total;1 de enero de 2025;900.913
01 Andalucía;Total;Extranjera;Total;1 de octubre de 2024;886.342
01 Andalucía;Total;Extranjera;Total;1 de julio de 2024;871.177
01 Andalucía;Total;Extranjera;Total;1 de abril de 2024;860.653
01 Andalucía;Total;Extranjera;Total;1 de enero de 2024;852.791
01 Andalucía;Total;Extranjera;Total;1 de octubre de 2023;842.272
01 Andalucía;Total;Extranjera;Total;1 de julio de 2023;832.164
01 Andalucía;Total;Extranjera;Total;1 de abril de 2023;826.616
01 Andalucía;Total;Extranjera;Total;1 de enero de 2023;813.724
01 Andalucía;Total;Extranjera;Total;1 de octubre de 2022;795.445
01 Andalucía;Total;Extranjera;Total;1 de julio de 2022;775.276
01 Andalucía;Total;Extranjera;Total;1 de abril de 2022;755.616
01 Andalucía;Total;Extranjera;Total;1 de enero de 2022;740.717
01 Andalucía;Total;Extranjera;Total;1 de octubre de 2021;728.298
01 Andalucía;Total;Extranjera;Total;1 de julio de 2021;720.123
01 Andalucía;Total;Extranjera;Total;1 de abril de 2021;716.017
01 Andalucía;Total;Extranjera;Total;1 de enero de 2021;713.400
01 Andalucía;Total;Extranjera;Total;1 de octubre de 2020;""
01 Andalucía;Total;Extranjera;Total;1 de julio de 2020;696.321
01 Andalucía;Total;Extranjera;Total;1 de abril de 2020;""
01 Andalucía;Total;Extranjera;Total;1 de enero de 2020;687.501
01 Andalucía;Total;Extranjera;Total;1 de octubre de 2019;""
01 Andalucía;Total;Extranjera;Total;1 de julio de 2019;663.784
01 Andalucía;Total;Extranjera;Total;1 de abril de 2019;""
01 Andalucía;Total;Extranjera;Total;1 de enero de 2019;642.498
01 Andalucía;Total;Extranjera;Total;1 de octubre de 2018;""
01 Andalucía;Total;Extranjera;Total;1 de julio de 2018;626.342
01 Andalucía;Total;Extranjera;Total;1 de abril de 2018;""
01 Andalucía;Total;Extranjera;Total;1 de enero de 2018;624.833
01 Andalucía;Total;Extranjera;Total;1 de octubre de 2017;""
01 Andalucía;Total;Extranjera;Total;1 de julio de 2017;616.379
01 Andalucía;Total;Extranjera;Total;1 de abril de 2017;""
01 Andalucía;Total;Extranjera;Total;1 de enero de 2017;615.188
01 Andalucía;Total;Extranjera;Total;1 de octubre de 2016;""
01 Andalucía;Total;Extranjera;Total;1 de julio de 2016;616.461
01 Andalucía;Total;Extranjera;Total;1 de abril de 2016;""
01 Andalucía;Total;Extranjera;Total;1 de enero de 2016;621.267
01 Andalucía;Total;Extranjera;Total;1 de octubre de 2015;""
01 Andalucía;Total;Extranjera;Total;1 de julio de 2015;620.042
01 Andalucía;Total;Extranjera;Total;1 de abril de 2015;""
01 Andalucía;Total;Extranjera;Total;1 de enero de 2015;621.433
01 Andalucía;Total;Extranjera;Total;1 de octubre de 2014;""
01 Andalucía;Total;Extranjera;Total;1 de julio de 2014;623.351
01 Andalucía;Total;Extranjera;Total;1 de abril de 2014;""
01 Andalucía;Total;Extranjera;Total;1 de enero de 2014;632.261
02 Aragón;Total;Extranjera;Total;1 de enero de 2025;202.430
02 Aragón;Total;Extranjera;Total;1 de octubre de 2024;198.984
02 Aragón;Total;Extranjera;Total;1 de julio de 2024;195.015
02 Aragón;Total;Extranjera;Total;1 de abril de 2024;192.715
02 Aragón;Total;Extranjera;Total;1 de enero de 2024;191.435
02 Aragón;Total;Extranjera;Total;1 de octubre de 2023;188.470
02 Aragón;Total;Extranjera;Total;1 de julio de 2023;185.378
02 Aragón;Total;Extranjera;Total;1 de abril de 2023;183.611
02 Aragón;Total;Extranjera;Total;1 de enero de 2023;181.044
02 Aragón;Total;Extranjera;Total;1 de octubre de 2022;176.659
02 Aragón;Total;Extranjera;Total;1 de julio de 2022;172.955
02 Aragón;Total;Extranjera;Total;1 de abril de 2022;168.237
02 Aragón;Total;Extranjera;Total;1 de enero de 2022;165.853
02 Aragón;Total;Extranjera;Total;1 de octubre de 2021;169.568
02 Aragón;Total;Extranjera;Total;1 de julio de 2021;167.373
02 Aragón;Total;Extranjera;Total;1 de abril de 2021;167.474
02 Aragón;Total;Extranjera;Total;1 de enero de 2021;167.391
02 Aragón;Total;Extranjera;Total;1 de octubre de 2020;""
02 Aragón;Total;Extranjera;Total;1 de julio de 2020;166.179
02 Aragón;Total;Extranjera;Total;1 de abril de 2020;""
02 Aragón;Total;Extranjera;Total;1 de enero de 2020;162.392
02 Aragón;Total;Extranjera;Total;1 de octubre de 2019;""
02 Aragón;Total;Extranjera;Total;1 de julio de 2019;155.560
02 Aragón;Total;Extranjera;Total;1 de abril de 2019;""
02 Aragón;Total;Extranjera;Total;1 de enero de 2019;150.172
02 Aragón;Total;Extranjera;Total;1 de octubre de 2018;""
02 Aragón;Total;Extranjera;Total;1 de julio de 2018;144.933
02 Aragón;Total;Extranjera;Total;1 de abril de 2018;""
02 Aragón;Total;Extranjera;Total;1 de enero de 2018;141.166
02 Aragón;Total;Extranjera;Total;1 de octubre de 2017;""
02 Aragón;Total;Extranjera;Total;1 de julio de 2017;141.552
02 Aragón;Total;Extranjera;Total;1 de abril de 2017;""
02 Aragón;Total;Extranjera;Total;1 de enero de 2017;139.022
02 Aragón;Total;Extranjera;Total;1 de octubre de 2016;""
02 Aragón;Total;Extranjera;Total;1 de julio de 2016;139.427
02 Aragón;Total;Extranjera;Total;1 de abril de 2016;""
02 Aragón;Total;Extranjera;Total;1 de enero de 2016;141.140
02 Aragón;Total;Extranjera;Total;1 de octubre de 2015;""
02 Aragón;Total;Extranjera;Total;1 de julio de 2015;142.981
02 Aragón;Total;Extranjera;Total;1 de abril de 2015;""
02 Aragón;Total;Extranjera;Total;1 de enero de 2015;145.938
02 Aragón;Total;Extranjera;Total;1 de octubre de 2014;""
02 Aragón;Total;Extranjera;Total;1 de julio de 2014;147.498
02 Aragón;Total;Extranjera;Total;1 de abril de 2014;""
02 Aragón;Total;Extranjera;Total;1 de enero de 2014;151.680
03 Asturias, Principado de;Total;Extranjera;Total;1 de enero de 2025;68.989
03 Asturias, Principado de;Total;Extranjera;Total;1 de octubre de 2024;66.241
03 Asturias, Principado de;Total;Extranjera;Total;1 de julio de 2024;63.436
03 Asturias, Principado de;Total;Extranjera;Total;1 de abril de 2024;61.774
03 Asturias, Principado de;Total;Extranjera;Total;1 de enero de 2024;60.330
03 Asturias, Principado de;Total;Extranjera;Total;1 de octubre de 2023;58.175
03 Asturias, Principado de;Total;Extranjera;Total;1 de julio de 2023;56.257
03 Asturias, Principado de;Total;Extranjera;Total;1 de abril de 2023;55.389
03 Asturias, Principado de;Total;Extranjera;Total;1 de enero de 2023;53.572
03 Asturias, Principado de;Total;Extranjera;Total;1 de octubre de 2022;51.259
03 Asturias, Principado de;Total;Extranjera;Total;1 de julio de 2022;48.886
03 Asturias, Principado de;Total;Extranjera;Total;1 de abril de 2022;46.982
03 Asturias, Principado de;Total;Extranjera;Total;1 de enero de 2022;45.679
03 Asturias, Principado de;Total;Extranjera;Total;1 de octubre de 2021;45.108
03 Asturias, Principado de;Total;Extranjera;Total;1 de julio de 2021;44.778
03 Asturias, Principado de;Total;Extranjera;Total;1 de abril de 2021;45.083
03 Asturias, Principado de;Total;Extranjera;Total;1 de enero de 2021;45.309
03 Asturias, Principado de;Total;Extranjera;Total;1 de octubre de 2020;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de julio de 2020;44.639
03 Asturias, Principado de;Total;Extranjera;Total;1 de abril de 2020;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de enero de 2020;43.337
03 Asturias, Principado de;Total;Extranjera;Total;1 de octubre de 2019;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de julio de 2019;41.305
03 Asturias, Principado de;Total;Extranjera;Total;1 de abril de 2019;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de enero de 2019;39.647
03 Asturias, Principado de;Total;Extranjera;Total;1 de octubre de 2018;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de julio de 2018;39.071
03 Asturias, Principado de;Total;Extranjera;Total;1 de abril de 2018;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de enero de 2018;38.614
03 Asturias, Principado de;Total;Extranjera;Total;1 de octubre de 2017;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de julio de 2017;37.931
03 Asturias, Principado de;Total;Extranjera;Total;1 de abril de 2017;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de enero de 2017;37.856
03 Asturias, Principado de;Total;Extranjera;Total;1 de octubre de 2016;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de julio de 2016;37.679
03 Asturias, Principado de;Total;Extranjera;Total;1 de abril de 2016;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de enero de 2016;38.576
03 Asturias, Principado de;Total;Extranjera;Total;1 de octubre de 2015;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de julio de 2015;38.565
03 Asturias, Principado de;Total;Extranjera;Total;1 de abril de 2015;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de enero de 2015;39.142
03 Asturias, Principado de;Total;Extranjera;Total;1 de octubre de 2014;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de julio de 2014;40.134
03 Asturias, Principado de;Total;Extranjera;Total;1 de abril de 2014;""
03 Asturias, Principado de;Total;Extranjera;Total;1 de enero de 2014;41.869
04 Balears, Illes;Total;Extranjera;Total;1 de enero de 2025;270.891
04 Balears, Illes;Total;Extranjera;Total;1 de octubre de 2024;268.811
04 Balears, Illes;Total;Extranjera;Total;1 de julio de 2024;265.620
04 Balears, Illes;Total;Extranjera;Total;1 de abril de 2024;262.302
