Edad simple;Comunidades y ciudades autónomas;Sexo;Periodo;Total
Todas las edades;Total Nacional;Total;1 de enero de 2025;49.128.297
Todas las edades;Total Nacional;Total;1 de octubre de 2024;48.999.880
Todas las edades;Total Nacional;Total;1 de julio de 2024;48.821.936
Todas las edades;Total Nacional;Total;1 de abril de 2024;48.701.130
Todas las edades;Total Nacional;Total;1 de enero de 2024;48.619.695
Todas las edades;Total Nacional;Total;1 de octubre de 2023;48.486.865
Todas las edades;Total Nacional;Total;1 de julio de 2023;48.320.520
Todas las edades;Total Nacional;Total;1 de abril de 2023;48.205.962
Todas las edades;Total Nacional;Total;1 de enero de 2023;48.085.361
Todas las edades;Total Nacional;Total;1 de octubre de 2022;47.940.295
Todas las edades;Total Nacional;Total;1 de julio de 2022;47.781.354
Todas las edades;Total Nacional;Total;1 de abril de 2022;47.609.145
Todas las edades;Total Nacional;Total;1 de enero de 2022;47.486.727
Todas las edades;Total Nacional;Total;1 de octubre de 2021;47.424.595
Todas las edades;Total Nacional;Total;1 de julio de 2021;47.346.836
Todas las edades;Total Nacional;Total;1 de abril de 2021;47.356.065
Todas las edades;Total Nacional;Total;1 de enero de 2021;47.400.798
Todas las edades;Total Nacional;Total;1 de octubre de 2020;""
Todas las edades;Total Nacional;Total;1 de julio de 2020;47.344.852
Todas las edades;Total Nacional;Total;1 de abril de 2020;""
Todas las edades;Total Nacional;Total;1 de enero de 2020;47.318.050
Todas las edades;Total Nacional;Total;1 de octubre de 2019;""
Todas las edades;Total Nacional;Total;1 de julio de 2019;47.087.778
Todas las edades;Total Nacional;Total;1 de abril de 2019;""
Todas las edades;Total Nacional;Total;1 de enero de 2019;46.918.951
Todas las edades;Total Nacional;Total;1 de octubre de 2018;""
Todas las edades;Total Nacional;Total;1 de julio de 2018;46.715.383
Todas las edades;Total Nacional;Total;1 de abril de 2018;""
Todas las edades;Total Nacional;Total;1 de enero de 2018;46.645.070
Todas las edades;Total Nacional;Total;1 de octubre de 2017;""
Todas las edades;Total Nacional;Total;1 de julio de 2017;46.510.461
Todas las edades;Total Nacional;Total;1 de abril de 2017;""
Todas las edades;Total Nacional;Total;1 de enero de 2017;46.497.393
Todas las edades;Total Nacional;Total;1 de octubre de 2016;""
Todas las edades;Total Nacional;Total;1 de julio de 2016;46.427.100
Todas las edades;Total Nacional;Total;1 de abril de 2016;""
Todas las edades;Total Nacional;Total;1 de enero de 2016;46.418.884
Todas las edades;Total Nacional;Total;1 de octubre de 2015;""
Todas las edades;Total Nacional;Total;1 de julio de 2015;46.384.379
Todas las edades;Total Nacional;Total;1 de abril de 2015;""
Todas las edades;Total Nacional;Total;1 de enero de 2015;46.425.722
Todas las edades;Total Nacional;Total;1 de octubre de 2014;""
Todas las edades;Total Nacional;Total;1 de julio de 2014;46.433.050
Todas las edades;Total Nacional;Total;1 de abril de 2014;""
Todas las edades;Total Nacional;Total;1 de enero de 2014;46.495.744
Todas las edades;01 Andalucía;Total;1 de enero de 2025;8.676.713
Todas las edades;01 Andalucía;Total;1 de octubre de 2024;8.666.148
Todas las edades;01 Andalucía;Total;1 de julio de 2024;8.648.311
Todas las edades;01 Andalucía;Total;1 de abril de 2024;8.636.779
Todas las edades;01 Andalucía;Total;1 de enero de 2024;8.631.862
Todas las edades;01 Andalucía;Total;1 de octubre de 2023;8.621.027
Todas las edades;01 Andalucía;Total;1 de julio de 2023;8.605.343
Todas las edades;01 Andalucía;Total;1 de abril de 2023;8.594.652
Todas las edades;01 Andalucía;Total;1 de enero de 2023;8.584.147
Todas las edades;01 Andalucía;Total;1 de octubre de 2022;8.564.311
