tema,anio_objetivo,id_hilo,titulo_resultado,url_hilo,fuente_descubrimiento
inmigracion,2015,4343322,Récord de saltos en la valla de Ceuta y Melilla en 2014,https://forocoches.com/foro/showthread.php?t=4343322,buscador_externo
inmigracion,2015,4508934,Reflexión sobre inmigración y política (TEMA SERIO),https://forocoches.com/foro/showthread.php?t=4508934,buscador_externo
inmigracion,2015,4514261,El problema que hemos creado,https://forocoches.com/foro/showthread.php?t=4514261,buscador_externo
inmigracion,2016,4730394,Un asunto delicado el tema INMIGRACIÓN y delincuencia. ¿Qué eliges?,https://forocoches.com/foro/showthread.php?t=4730394,buscador_externo
inmigracion,2016,4840201,"Refugees vienen, ven que España está hecho mierdas y se van desengañados",https://forocoches.com/foro/showthread.php?t=4840201,buscador_externo
inmigracion,2016,4930389,Según El Jueves Europa se llena de peligrosos nancys,https://forocoches.com/foro/showthread.php?t=4930389,buscador_externo
inmigracion,2019,7092240,ALERTA anti-INMIGRACIÓN ILEGAL +TemaSerio,https://forocoches.com/foro/showthread.php?t=7092240,buscador_externo
inmigracion,2019,7281127,Descubierta la mentira de las pateras,https://forocoches.com/foro/showthread.php?t=7281127,buscador_externo
inmigracion,2019,7602070,"Los extranjeros aportan el 10 % a la Seguridad Social y solo reciben el 0,9 %",https://forocoches.com/foro/showthread.php?t=7602070,buscador_externo
inmigracion,2023,9541304,Estoy a favor de la inmigración ilegal,https://forocoches.com/foro/showthread.php?t=9541304,buscador_externo
inmigracion,2023,9572133,Uno de los problemas del precio de la vivienda es la inmigración,https://forocoches.com/foro/showthread.php?t=9572133,buscador_externo
inmigracion,2023,9735179,Duda inmigración ilegal,https://forocoches.com/foro/showthread.php?t=9735179,buscador_externo
lgtbi,2015,4323181,It's a Trap: cuando ella es él y él es ella,https://forocoches.com/foro/showthread.php?t=4323181,buscador_externo
lgtbi,2015,4677567,Un hombre de 52 años se transforma en una niña de seis,https://forocoches.com/foro/showthread.php?t=4677567,buscador_externo
lgtbi,2016,4784732,Nueva agresión homófoba en la capital,https://forocoches.com/foro/showthread.php?t=4784732,buscador_externo
lgtbi,2016,4900779,La que me han liado por decir que los mariquitas no son normales,https://forocoches.com/foro/showthread.php?t=4900779,buscador_externo
lgtbi,2016,4932029,Árbitro deja el arbitraje por recibir continuos insultos homófobos,https://forocoches.com/foro/showthread.php?t=4932029,buscador_externo
lgtbi,2019,7268857,La obsesión homófoba de VOX empieza a ser enfermiza,https://forocoches.com/foro/showthread.php?t=7268857,buscador_externo
lgtbi,2019,7293798,¿VOX es un partido homófobo?,https://forocoches.com/foro/showthread.php?t=7293798,buscador_externo
lgtbi,2019,7306066,A favor o en contra de que se hagan cursos LGTB en las escuelas,https://forocoches.com/foro/showthread.php?t=7306066,buscador_externo
lgtbi,2023,9472060,Las empresas con más de 50 empleados tienen un año para implantar un plan LGTBI,https://forocoches.com/foro/showthread.php?t=9472060,buscador_externo
lgtbi,2023,9677912,Podemos quiere que Irene Montero siga como ministra de Igualdad,https://forocoches.com/foro/showthread.php?t=9677912,buscador_externo
lgtbi,2023,9763018,Ángela Pam: recopilación de políticas de Igualdad y avances LGTBI,https://forocoches.com/foro/showthread.php?t=9763018,buscador_externo
