tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28272699,28,27.0,--77365--,2019-11-17T01:11:03+00:00,0,10,#27 ¿Me estas diciendo que es mentira que se van de vacaciones y que se puede saber perfectamente de donde son aunque no tengan un pasaporte?. ¿O me estas diciendo que es mentira lo que tú dices de que no se puede saber de donde son y que no se van de vacaciones?
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28272425,27,26.0,powernergia,2019-11-16T23:22:59+00:00,0,11,"#26 Si, aquí todos tenemos amigos y conocimiento de todo.

Se trata simplemente de aplicar la normativa de la UE sobre este asunto.
La primera opción siempre es devolverlos a sus padres, pero para eso tiene que existir colaboración del menor, de los padres, y de los países receptores.

https://elpais.com/politica/2019/04/23/actualidad/1556045534_097603.html

Pero todo esto da igual, y se imponen las mentiras habituales."
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28272352,26,25.0,--77365--,2019-11-16T23:02:34+00:00,0,10,"#25 Querido amigo, tengo un amigo muy cercano que trabaja en uno de estos centros y sabe perfectamente de qué países son y están continuamente en contacto con sus familias.

Y sí, se van de vacaciones."
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28272244,25,22.0,powernergia,2019-11-16T22:30:36+00:00,0,11,"#22 No, no basta y no ""se van de vacaciones"".

Todos los días las mismas memeces."
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28272238,24,1.0,powernergia,2019-11-16T22:28:42+00:00,0,11,"#1 Se llama desinformación, y ya ves como triunfa."
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28272163,23,18.0,Nómada_sedentario,2019-11-16T22:07:14+00:00,0,7,"#18 Jajaja, no me has entendido. 
No somos mediocres los 45 millones de españoles, sólo lo son unos cuantos (millones)."
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28271699,22,19.0,--77365--,2019-11-16T20:38:39+00:00,0,10,#19 Basta con ver sus llamadas de movil y a donde van de vacaciones.
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28271647,21,,--611195--,2019-11-16T20:30:02+00:00,0,9,"""Cuando los inmigrantes culpan a los políticos de su vida de mierda es porque..."" Bah, déjalo"
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28270698,20,11.0,chatOGT,2019-11-16T17:53:43+00:00,0,10,#11 dinos alguno
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28268987,19,8.0,Cabre13,2019-11-16T12:55:04+00:00,2,29,"#8 Coño, nunca se me había ocurrido que la solución fuese tan sencilla. Solo habrá que preguntar a los menas uno a uno, que cada uno te diga de qué familia es, contactas con la familia y los mandas de vuelta al país.
Es un plan infalible."
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28268156,18,10.0,--618870--,2019-11-16T10:32:55+00:00,0,7,"#10 Está muy bien eso de autoflagelarse, pero me imagino que no seremos tan mediocres cuando los inmigrantes vienen aquí."
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28268141,17,1.0,--618870--,2019-11-16T10:31:15+00:00,2,24,"#1 Pues no se donde es ese fenomeno, pero en Murcia y en Almería donde hay muchisima inmigración han arrasado."
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28268022,16,2.0,tnt80,2019-11-16T10:15:52+00:00,0,10,"#2 Los recortes en sanidad, educación, etc., para darle dinerito fresco a los amigotes de los que mandan, no tienen nada que ver con los problemas de los que culpan a los inmigrantes {blank} es mera casualidad."
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28267949,15,14.0,--575756--,2019-11-16T10:05:36+00:00,1,13,"#14 gracias por el texto, aunque en estas regiones hay muy pocos inmigrantes (alguna menos de 4% de población inmigrante)  por lo que no tienen una tienda llevada por extranjeros de la que quejarse. Y aún así  están en contra."
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28267876,14,1.0,eu.gênio,2019-11-16T09:53:38+00:00,2,16,"#1 porque es muy fácil ver que el bar de al lado tuvo que cerrar cuando abrieron el restaurante chino, pero no es fácil ver que:
- el restaurante chino paga impuestos igual
- la gente del restaurante chino hace uso de los servicios y no manda todo el dinero a China, promoviendo la economía local, con el dinero que gana
- Para ganar dinero, también necesita proveedores, pagar la luz, la comida que cocina, etc. qué revierte en beneficio para España y en especial donde están
- la gente que estaba en el bar de al lado tiene la oportunidad de formarse, y conseguir un trabajo que produzca mayor valor añadido, lo que les va a beneficiar a ellos y a la sociedad

Realmente lo que perjudica a la economía local (y también es difícil de ver) es:
- las fábricas que cierran por los chinos que se quedan en China, y son más competitivos en sus fábricas, trabajando como chinos. Es decir, los que se quedan en su país
- La gente que se va al extranjero porque encuentran mejores oportunidades (porque no son tontos y quieren inmigrantes), es decir los emigrantes (no inmigrantes desde la perspectiva local) especialmente cuando es fuga de cerebros, es decir, gente con alta formación, que puede crear un alto valor añadido con su tiempo y que a menudo a costado muchos recursos al sistema educativo público en forma de inversión de la que se benefician otros

Me dejaré muchas cosas, pero creo que esto cubre lo básico, así que con este contexto y respondiendo a tu pregunta: las zonas más empobrecidas suelen ser las que tienen gente más ignorante, y con menor formación, por eso ven lo inmediato y no las consecuencias de segundo orden

https://www.meneame.net/story/como-hay-nuestras-cabezas-cambia-hay-mundo-eng"
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28267752,13,2.0,nemesisreptante,2019-11-16T09:27:45+00:00,1,24,#2 mi perro come comida para perros pero en la mesa hay una barra de pan.
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28267625,12,2.0,aListano,2019-11-16T09:05:41+00:00,3,50,"#2 en Oviedo lo hay, que es el que yo conozco."
inmigracion,https://www.meneame.net/story/cuando-politicos-culpan-inmigrantes-porque-han-quedado-sin,3212264,28267110,11,2.0,--584079--,2019-11-16T06:25:01+00:00,4,52,"#2 sí, los hay.
¿ Compruebas algo de lo que dices o lo sueltas a la espera de que alguien te corrija ?"
