tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/demografia-desmiente-casado-imposible-repuntar-nacimientos-sin,3080174,26329560,24,,box3d,2019-02-09T03:47:06+00:00,0,7,"Podemos importar venezolanos. Se integran bien, y en general son bastante majos. Al menos los que tocan por esa rama de mi familia {roll}"
inmigracion,https://www.meneame.net/story/demografia-desmiente-casado-imposible-repuntar-nacimientos-sin,3080174,26325884,23,22.0,Varelse,2019-02-08T14:35:47+00:00,0,6,"#22 Hay muchas formas de aportar a la sociedad que no pasa por tener hijos. Las cuentas no salen con el sistema actual y porque no se invierte en buenas políticas de inmigración. Gente sobra en el mundo, pero estamos acostumbrados a una economía que se ha fundamentado en un incremento de la población y del consumo de recursos por cada habitante. Poco a poco eso se esta transformando y más que se tiene que cambiar."
inmigracion,https://www.meneame.net/story/demografia-desmiente-casado-imposible-repuntar-nacimientos-sin,3080174,26325799,22,20.0,Vis3nya,2019-02-08T14:26:49+00:00,0,11,"#20 Así es. Y luego querrán las mismas pensiones que los demás. Las cuentas no salen... cotizando X treinta años, no puedes cobrar 2x otros treinta"
inmigracion,https://www.meneame.net/story/demografia-desmiente-casado-imposible-repuntar-nacimientos-sin,3080174,26325783,21,,Gry,2019-02-08T14:25:26+00:00,0,12,"Es fácil, que eliminen las pensiones y establezcan que los hijos son responsables del cuidado de sus padres cuando estos se jubilen. Así eliminas dos problemas de un plumazo. {troll}"
inmigracion,https://www.meneame.net/story/demografia-desmiente-casado-imposible-repuntar-nacimientos-sin,3080174,26325760,20,16.0,Varelse,2019-02-08T14:22:39+00:00,0,6,#16 Mucha gente sin dificultades económica no quiere tener hijos. También ha habido un cambio cultural y hay menos presión social para tener hijos.
inmigracion,https://www.meneame.net/story/demografia-desmiente-casado-imposible-repuntar-nacimientos-sin,3080174,26325715,19,,--334312--,2019-02-08T14:16:01+00:00,0,9,"Y mientras los ""expertos"" y Casado se inventan soluciones mágicas para el problema de la baja natalidad, en un país cercano, en Portugal...
https://www.meneame.net/story/desde-hace-10-anos-no-ha-creado-tantas-empresas-portugal-pt"
inmigracion,https://www.meneame.net/story/demografia-desmiente-casado-imposible-repuntar-nacimientos-sin,3080174,26325695,18,8.0,--586887--,2019-02-08T14:13:13+00:00,0,7,"#8 ¿esas estadísticas son un reflejo de condiciones económicas y/o culturales o de características biológicas genéticas de la raza española?

Porque si la causa es económica o cultural, la gráfica no demuestra que la inmigración sea necesaria."
inmigracion,https://www.meneame.net/story/demografia-desmiente-casado-imposible-repuntar-nacimientos-sin,3080174,26325658,17,,--592956--,2019-02-08T14:08:36+00:00,1,13,"Antes de la crisis la demografía ya iba cuesta abajo y sin frenos. Lógicamente. Con un poco de educación, cultura y contracepción la peña no de pone a tener 6 hijos. Por suerte para todos."
inmigracion,https://www.meneame.net/story/demografia-desmiente-casado-imposible-repuntar-nacimientos-sin,3080174,26325594,16,,Vis3nya,2019-02-08T13:59:05+00:00,0,11,"Cuando ganemos más dinero, tengamos horarios más decentes que no impliquen más de 8 horas de trabajo para mantener tu puesto y el precio de la vivienda baje (alquiler o compra), y después de todo eso estemos dispuestos a vivir un poco peor para mantener una familia... entonces subirá la natalidad.
Vamos que la cosa está muy difícil."
inmigracion,https://www.meneame.net/story/demografia-desmiente-casado-imposible-repuntar-nacimientos-sin,3080174,26325585,15,,Drewcastle,2019-02-08T13:58:14+00:00,1,16,"El 62,35% de las mujeres que interrumpen su embarazo lo hacen por causas que no están relacionadas con su situación económica, laboral o afectiva y de ese porcentaje, casi la mitad 48,47% abortaría""bajo cualquier circunstancia"" .

Es una de las principales conclusiones del estudio que ha presentado hoy la Asociación de Clínicas Acreditadas para la Interrupción del Embarazo (ACAI) sobre las condiciones que llevan a la mujer a abortar y que ha sido elaborado a partir del testimonio de 5.100 mujeres que lo han hecho en esas clínicas desde febrero hasta mayo de 2012. https://www.elmundo.es/elmundo/2012/06/15/espana/1339763255.html

El aborto se debe sobretodo a un tema cultural y no económico, de lo contrario ni gitanos ni marroquíes tendrían tantos hijos."
