tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37892031,47,38.0,--602246--,2023-02-28T20:10:08+00:00,0,10,"#38 Es irónico, pero estáis dando razón al ministerio de Igualdad respecto a la necesidad de leyes como la de integridad sexual. No hay nada de irónico en ello. Yo estoy de acuerdo en la necesidad de leyes como la de integridad sexual. ¿Donde está la ironía?

Tengo reparos respecto a los espacios de intimidad, pero no entiendo como eso se vuelve irónico respecto a otras leyes, con las que además estoy de acuerdo."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37856451,46,,Misc0,2023-02-23T14:44:18+00:00,0,8,"Lo que no soporto de estos ""activistas""  a la hora de defender sus posiciones o atacar. Siempre con la misma mierda, la falacia de falso dilema ""fulanita no defiende mis cagaleras mentales por que es una ""{inserte aquí lo que quiera}foba"" .
Madre no hay más que una. ¡HOMÓFOBA! Es que no se puede ser más gilipollas... {palm} 

Y mira que es fácil darle cera a la Ana Tonta, pero cuando empiezan con estas gilipolleces, no puedo."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37856420,45,38.0,RGr8888,2023-02-23T14:41:31+00:00,0,7,#38 jajaj que poco conoces a los hombres
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37856208,44,17.0,daniMate,2023-02-23T14:20:43+00:00,1,21,#17 suele pasar que los que están más en contra de esta ley son los que tienen una idea muy reduccionista de lo que es una mujer.
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37856199,43,5.0,daniMate,2023-02-23T14:19:37+00:00,0,11,#5 si hay que destruir un concepto para defender a las personas.... Hágase. ¿Cuál sería el problema de cambiar un idea por otra que se adapte más a nuestros tiempos?
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855954,42,41.0,angelitoMagno,2023-02-23T13:54:23+00:00,0,13,"#41 Si Pam está diciendo que si hay una agresión desde una mujer trans a otra mujer sigue siendo violencia y, por lo tanto, delito.
Gracias, estás demostrando que el señor psicópata con pene seguiría cometiendo delito si realiza actos de acoso sexual.

Y la ley de integridad sexual facilitará la denuncia."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855890,41,38.0,--698797--,2023-02-23T13:46:41+00:00,0,6,"#38 Si, por supuesto que si.

Y la puta ley que estais defendiendo, defiende precisamente a esos enfermos de la cabeza y pervertidos, en perjuicio de las mujeres de verdad... por que legalmente, un psicopata con pene que firme un papel, tiene exactamente los mismos derechos que una mujer biologica de lo que llevamos entendiendo toda la vida..

Mira lo que decia la estúpida de Pam.... y todavia teneis las santas pelotas de negar la realidad.
https://twitter.com/Mr_Jones_k/status/1627278883178352642"
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855878,40,36.0,Shuquel,2023-02-23T13:45:39+00:00,1,19,#36 Cuándo dices que la he justificado? Solo te he dicho que si te gusta ir a ver mujeres a las duchas que es cosa tuya
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855876,39,6.0,txillo,2023-02-23T13:45:34+00:00,1,25,"#6 sentarte a mirar en un baño es acoso, seas hombre, mujer o pokemon. Vaya argumentos te cuelan {lol}."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855862,38,29.0,angelitoMagno,2023-02-23T13:44:20+00:00,1,23,"#29  #31 ¿Pero creéis de verdad que hay hombres tan puto enfermos que van a hacer un trámite administrativo de cambio de sexo solo para poder sentarse a mirar mujeres desnudas en un gimnasio? 

Si hay tipos que están tan mal de la cabeza como para hacer eso, ya habrán estado haciendo actos de acoso similar antes, con o sin ley trans.

Es irónico, pero estáis dando razón al ministerio de Igualdad respecto a la necesidad de leyes como la de integridad sexual."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855858,37,5.0,ElTraba,2023-02-23T13:44:09+00:00,1,8,"#5 la mujer como concepto.

La biología ya tal."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855856,36,35.0,--698797--,2023-02-23T13:43:39+00:00,2,4,"#35 Aqui los unicos que estais defendiendo y justificando legalmente a pervertidos, sois practicamente los mismos que en su momento justificasteis la ley que de momento ha liberado a +40 violadores y reducido las penas a + 500 violadores."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855845,35,6.0,Shuquel,2023-02-23T13:42:30+00:00,0,16,#6 Si es lo que te gusta...
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855837,34,30.0,--698797--,2023-02-23T13:41:14+00:00,0,6,"#30 No te enteras de nada, he mencionado unos supuestos que la ley ridicula que defendeis, lo ampara.

Yo no me meto a mironear a nadie, soy bastante respetuoso en ese aspecto... solo estoy denunciando lo que la basura de ley que estais defendiendo, ampara... y que vamos a ver, como ya hemos visto en otros paises.

Tiempo al tiempo.. se aviso de violadores liberados y negasteis la realidad.. se os avisa de que van a ocurrir ciertas mierdas donde las mujeres van a ser puteadas, y estais negando la realidad. Pues nada, habra que esperar a que la realidad os golpee en toda la frente."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855835,33,27.0,KLKManin,2023-02-23T13:40:54+00:00,3,22,"#27 De lo creadores de ""no va a salir ningún violador a calle""..."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855821,32,29.0,StuartMcNight,2023-02-23T13:38:48+00:00,2,33,"#29 ¿Como proteges a los varones heterosexuales u homosexuales de que un varon homosexual se meta en el baño a mirar?

De verdad, tremendo argumento ridiculo habeis cogido por esa linde."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855816,31,28.0,--698797--,2023-02-23T13:38:13+00:00,0,6,"#28 Sigue en tu realdad paralela.

Del no se van a reducir penas a violadores ni van a salir libres, a te enumero dos articulos con la interpretacion de mis santos cojones.

Insisto, tiene mas posibilidades de acabar ante un juez por transfoba la denunciante, que el propio trans que haya firmado un papel administrativo.."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855811,30,25.0,StuartMcNight,2023-02-23T13:37:45+00:00,2,33,"#25 ¿Pero a que clase de baños vas tú que la gente se pone a mirar a los demás?

¿En que cabeza crees que tu argumento tiene algun sentido? ¿Que pasa con los varones homosexuales que entran en baños de varones? ¿O si una mujer lesbiana entra en un baño de mujeres?

Menuda chaladura, primo. Si te metes a un baño a mironear a los demás te pueden denunciar igual tengas el sexo que tengas y entres al baño que entres."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855807,29,28.0,--602246--,2023-02-23T13:37:21+00:00,1,16,"#28 Y si entras a un vestuario de un gimnasio a cambiarte, y de paso, mirar? Como se legisla eso, y como se protege a le mujer de eso?

No estoy en contra de la ley trans, pero entiendo por tu postura, que consideras que los espacios de intimidad no eran necesarios en primer lugar, o que ya no son necesarios y que por eso no va a existir un problema?"
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855789,28,25.0,angelitoMagno,2023-02-23T13:34:33+00:00,1,22,#25 Si vas al baño A MIRAR entraría dentro de los nuevos supuestos que introduce la Ley de Integridad Sexual sobre acoso callejero o contra la integridad moral.
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855768,27,6.0,StuartMcNight,2023-02-23T13:32:20+00:00,1,20,#6 De los creadores de “pero es que nadie va a penaar en los niñooolossw!!!!!” ahora nos llega “que se cambian de sexo para espiar en las duchas!!!!!”
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855754,26,2.0,StuartMcNight,2023-02-23T13:31:03+00:00,0,10,#2 De los creadores de “la progresía está destruyendo el concepto de familia…” ahora nos llega “estan destruyendo el concepto de mujer”.
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855729,25,22.0,--698797--,2023-02-23T13:28:07+00:00,3,-16,"#22 Tranquilo, que si una persona que antes era considerada hombre se cambia el genero mediante la ley que estais defendiendo, no ira ante un juez por entrar en un baño que se corresponde a su genero por mirar... tiene mas posibilidades de ir ante el juez la mujer con vagina que lo ""denuncie"", que la propia mirona con pene.

Esta ley es casi tan ridicula o mas que la ley del solo si es si."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855702,24,23.0,laruladelnorte,2023-02-23T13:24:02+00:00,1,22,#23 Hetero y poeta dobla la dificultad. {hug}
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855683,23,21.0,skaworld,2023-02-23T13:21:08+00:00,2,32,"#21 En casa tambien puedes perder la masculinidad fácilmente, al final la masculinidad es como una delicada flor que requiere cariño y cuidados constantes, si no le prestamos la debida atención alimentándola con la palabra de Bertín y el chiringuito de jugones, se nos escurre entre las manos como el agua y nos vemos empujados a practicar sodomia .

Ser un hombre hetero es muchisimo mas dificil de lo que parece."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855663,22,6.0,angelitoMagno,2023-02-23T13:19:14+00:00,2,33,#6 ¿Desde cuando piden algún tipo de papel para entrar en el baño? Si quieres ir a a acosar sexualmente a otras mujeres a los baños puedes hacerlo desde ya. Después no te quejes si acabas delante de un juez.
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855620,21,20.0,laruladelnorte,2023-02-23T13:15:07+00:00,2,32,"#20 En tu casa no en los públicos que a saber lo que puedes coger,hai que ter sentidiño."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855588,20,19.0,skaworld,2023-02-23T13:12:36+00:00,0,12,"#19 Una vez me senté en un baño publico y cuando me di cuenta ya llevaba comidas 4 pollas en el glory hole y me costo horrores que se corriese la quinta antes de poder levantarme.

Hay que tener cuidado al sentarse."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855549,19,18.0,laruladelnorte,2023-02-23T13:08:50+00:00,1,22,#18 También puedes mear sentado sin perder la masculinidad...
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855537,18,16.0,skaworld,2023-02-23T13:07:26+00:00,2,42,"#16 Al final todo se resume en que yo, como hombre, defino mi masculinidad teniendo un espacio propio en el que mear de pie y escribir mordaces chanzas en las paredes. Es lo que soy y lo que me representa. Prefiero mear de pie que previsiblemente volverme marica sentado."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855536,17,,camoran,2023-02-23T13:07:23+00:00,2,40,"Aquí vemos como cala el bulo, se explica un nuevo concepto y como no lo entienden o no lo quieren entender.   Por cierto, identificar el concepto mujer como sólo gestante, como algo que define su esencia es tener un concepto muy pobre de la mujer.  Hay mujeres que no pueden o no quieren ser madres y no dejan de ser mujeres por ello. Además las madres seguirán siendo madres, no se toca nada de eso."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855513,16,15.0,laruladelnorte,2023-02-23T13:05:00+00:00,1,22,"#15 Bua neno,eres tan profundo que me pierdo. {foreveralone}"
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855503,15,14.0,skaworld,2023-02-23T13:03:52+00:00,0,12,#14 acaso dudas que la civilización occidental se basa en el sustento de que el oído de un hombre jamas debería escuchar los pormenores de tu transito intestinal. Un pacto tácito y de naturaleza divina que impide que se propague el caos y la destrucción?
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855459,14,11.0,laruladelnorte,2023-02-23T12:59:48+00:00,2,42,"#11 Home claro,pa las cosas importantes. {grin}"
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855377,13,10.0,--698797--,2023-02-23T12:52:37+00:00,1,16,"#10 A misa? pero si estoy en contra de las sectas. Vuestro fanatismo os puede.

Te recomiendo que escuches a esta mujer, machacada por un hombre... el modelo de mierda que algunos defendeis.
https://twitter.com/Agenda2030_/status/1625831826337005569"
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855345,12,9.0,--698797--,2023-02-23T12:49:51+00:00,1,16,"#9 Cuñao? lo que he escrito, lo ampara totalmente la ley.

Esta debe ser una feminasi facha y todos los despectivos que se te ocurran.
https://twitter.com/Agenda2030_/status/1625831826337005569
A ver si estos dos minutos de una mujer que ha sido marginada y machacada por un HOMBRE ponen un poco de orden en tu cabeza."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855336,11,6.0,skaworld,2023-02-23T12:49:05+00:00,9,119,"#6 pa eso esta la constitución, pa garantizar el sagrado derecho divino a la segregación por sexos de los cuartos de baño... No si es que te tienes que reír {lol}

Cc #5"
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855332,10,2.0,panchobes,2023-02-23T12:48:43+00:00,2,50,#2 Vuelve a misa {troll}
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855324,9,6.0,metrosesuarl,2023-02-23T12:48:00+00:00,3,42,#6 Ya que estamos ¿cuál es tu concepto de cuñao?
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855305,8,4.0,jobar,2023-02-23T12:46:01+00:00,4,58,"#4 Si lo dices para reírte de las familias formadas por dos madres sí lo es.

Por ejemplo, si digo sin más: ""Cuando el burro coge la linde, la linde se acaba pero el burro sigue"" no es ofensivo per se, pero si lo dijese para reírme de tí  entonces sí que lo sería."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855303,7,4.0,Ratoncolorao,2023-02-23T12:45:53+00:00,4,68,#4 Cuanta necesidad hay de lectura comprensiva!
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855290,6,5.0,--698797--,2023-02-23T12:44:13+00:00,7,32,"#5 Que entiendes tu por mujer?
Te parece bien que yo, siendo hombre de +30 años, mañana vaya a firmar un papel administrativo, y a partir de ahi, tendria total derecho a entrar en los baños y duchas de mujeres a sentarme a mirar? No te das cuenta de la barbaridad que estais defendiendo."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855244,5,2.0,DavidMG,2023-02-23T12:38:35+00:00,6,63,"#2 En todo caso, estará destruyendo tu concepto de mujer."
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855221,4,,IkkiFenix,2023-02-23T12:36:25+00:00,3,12,"Decir ""madre no hay más que una"" ahora es también homófobo? {palm}"
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855216,3,,--332881--,2023-02-23T12:36:02+00:00,0,10,"Solo dos madres? Retrógrada, puede tener todas las que quiera!"
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855200,2,,--698797--,2023-02-23T12:34:53+00:00,1,13,La progresia esta destruyendo el concepto de mujer....  y son las mujeres las que lo van a sufrir en los proximos años. {palm}
lgtbi,https://www.meneame.net/story/repaso-minuto-activista-lgtbi-bulos-ana-rosa-quintana-ley-trans,3784222,37855194,1,,skaworld,2023-02-23T12:33:46+00:00,1,24,"Ana Rosa en esto tiene razón, ella siempre será madre porque aunque me joda, admito que queda demasiado rebuscado cagarme en su puta progenitora gestante."
