tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27311628,28,26.0,--600194--,2019-06-30T21:46:19+00:00,1,24,"#26 no gracias, me auto censuro, voy justito de karma"
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27311625,27,17.0,--600194--,2019-06-30T21:44:57+00:00,2,16,"#17 solo en el caso de ignorantes reaccionarios y homófobos.
Y no es una exigencia, es una reivindicación que apoyan en torno al 80% de la población, lo que lo convierte en un gesto de apoyo explícito y que una minoría fascista quiere ningunear con la derecha azul y naranja de cómplices."
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27311604,26,25.0,wondering,2019-06-30T21:40:53+00:00,0,12,"#25 No te cortes hombre, no te vayas a quedar con las ganas."
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27311596,25,22.0,--600194--,2019-06-30T21:38:15+00:00,1,24,"#22 no te diremos a ti lo que pareces, tu mismo nos lo muestras."
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27310691,24,13.0,--24179--,2019-06-30T18:20:28+00:00,0,10,#13 Se llama hipocresía y por estos lares es muy muy muy habitual.
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309904,23,13.0,bol,2019-06-30T15:44:32+00:00,0,6,#13 Una representa la libertad y la otra un territorio político. Son muy distintas.
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309808,22,17.0,wondering,2019-06-30T15:18:55+00:00,3,42,"#17 Disculpa, pero sí es obligatorio. Hay una ley que marca las medidas exactas que tiene que tener la bandera del arcoiris, el lugar concreto del edificio donde ponerla, así como la orientación y la calidad del tejido. Que pareces nuevo."
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309806,21,19.0,--420468--,2019-06-30T15:18:41+00:00,3,22,#19 Hola trifachito!!!!!
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309757,20,5.0,derp,2019-06-30T15:08:19+00:00,1,23,"#5 ¿Pensaste lo mismo cuando Dani Mateo se sonó la nariz con ""el trapo""?"
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309508,19,18.0,wondering,2019-06-30T14:04:50+00:00,0,12,#18 hola ofendidito!
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309303,18,5.0,--420468--,2019-06-30T13:15:59+00:00,1,24,#5 Hola!!!!
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309298,17,16.0,nontal,2019-06-30T13:14:13+00:00,0,7,#16 Cualquiera lo diría. Con tanta exigencia se provoca en muchos casos el efecto contrario.
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309254,16,6.0,--544853--,2019-06-30T13:01:32+00:00,4,41,"#6 No es obligarorio, es testimonial y de apoyo una semana al año."
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309250,15,4.0,--544853--,2019-06-30T13:00:48+00:00,2,34,"#4 Siempre está la bandera española, la de la comunidad de Madrid y la de la UE, ahora hay dos españolas y muy españolas."
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309239,14,1.0,albertiño12,2019-06-30T12:58:19+00:00,1,17,"#1 Todavía queda algún hueco para colocar más banderas {tongue} 

."
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309217,13,,grantorino,2019-06-30T12:54:12+00:00,4,45,"Cuando se habla de la bandera de España  siempre se la llama trapo, pero si es la arcoiris parece un derecho sacrosanto. Y estoy a favor de poner la arcoiris, pero uno flipa como cambia el cuento con una u otra."
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309077,12,,Kaprak63,2019-06-30T12:19:23+00:00,2,39,"Se nota que han puesto en nómina a montones de mamporrerilos de poca monta, desde el Partido Podrido y sus colegas del trifachito, para blanquear las cacicadas del alcalde más mediocre de la historia de Madrid porque ya están los de guardia tumbando la noticia."
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27309035,11,,--577438--,2019-06-30T12:11:10+00:00,0,7,"Lógico, para estos pptarras la extrema derecha es el centro. La bandera esta en la extrema derecha del ayuntamiento"
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27308931,10,,--55399--,2019-06-30T11:51:35+00:00,0,9,Comando antipp al ataque {lol} {lol} {lol}
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27308851,9,,--612594--,2019-06-30T11:34:22+00:00,1,15,"La bandera de España debe de ser siempre la principal y la mas alta, a partir de ahí, y siempre debajo de ella, que pongan la que quieran."
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27308828,8,,--394145--,2019-06-30T11:29:14+00:00,0,14,Solo faltan los pollos...
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27308824,7,,--574181--,2019-06-30T11:27:51+00:00,0,10,"Es tan pueril que algunos piensan que es un insulto a la inteligencia de los madrileños (solo a la de los que no les han votado, claro) {lol}"
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27308813,6,,nontal,2019-06-30T11:25:30+00:00,1,17,Resulta que ahora va a ser obligatorio colgar en los ayuntamientos la bandera gay.
lgtbi,https://www.meneame.net/story/alcalde-madrid-niega-esto-sea-orillar-bandera-lgtbi,3149565,27308806,5,,wondering,2019-06-30T11:24:09+00:00,2,15,Cuántos ofendiditos por un trapo.
