tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38870518,14,6.0,FatherKarras,2023-07-19T14:03:45+00:00,0,20,"#6 La noticia es que a fin de este mes entra en funcionamiento. Vamos, que se lo podían haber pensado...pero les sigue pareciendo buena idea."
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38870387,13,2.0,FatherKarras,2023-07-19T13:50:57+00:00,0,20,"#2 Es que el enfoque depende del artículo...yo he estado a punto de menear este, pero me salía el tuyo en similares: https://www.publico.es/internacional/bibby-stockholm-barco-carcel-refugiados-prepara-reino-unido.html
Y la entradilla sería esta: Pero el barco no es un simple alojamiento, sino una prisión flotante con la que el Gobierno británico quiere ahorrar dinero en hoteles donde tiene que alojar a los solicitantes de asilo. Según las cuentas del propio gobierno, actualmente se gasta seis millones de libras (casi siete millones de euros) al día en alojamientos para potenciales refugiados debido al gran retraso que acumula en la resolución de expedientes y al fuerte repunte migratorio del pasado año."
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38866009,12,,DangiAll,2023-07-18T22:08:49+00:00,0,11,Escape de Absolom
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38865268,11,,--494055--,2023-07-18T20:01:44+00:00,0,9,A eso antes se le llamaba buque presidio.
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38865159,10,,RoterHahn,2023-07-18T19:46:03+00:00,0,11,"Puntos neologismos.
Que le llamen por su nombre. 
Cárcel, centro de detención, ó loque sea, pues el que se pase más de 3 meses ahí, no creo que le vayan a parecer unas vacaciones. 
Y al que no les interese pueden deshacerse de él sin que pueda defenderse."
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38864976,9,,mariopg,2023-07-18T19:15:51+00:00,0,7,"jaja, esta gente son top nazi"
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38864885,8,,Findopan,2023-07-18T19:03:31+00:00,2,28,"Menuda ida de olla, que locura."
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38864876,7,,Tribuno,2023-07-18T19:02:09+00:00,0,6,Me recuerda a fortaleza infernal.
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38864525,6,3.0,Potopo,2023-07-18T18:06:08+00:00,2,43,"#3 pues mira que la busqué, pero no encontré nada. Ahora es tarde para descartarla"
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38864427,5,,vviccio,2023-07-18T17:52:17+00:00,1,24,La realidad está superando a cualquier novela distopica.
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38864408,4,,Mltfrtk,2023-07-18T17:49:21+00:00,4,46,Un centro de tortura flotante del que la única forma de escapar es la muerte. Menudo horror.
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38864013,3,0.0,--633646--,2023-07-18T16:51:46+00:00,1,24,#0 DUPE https://www.meneame.net/story/londres-recluira-inmigrantes-sin-papeles-claustrofobico-barco
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38864007,2,1.0,Potopo,2023-07-18T16:51:15+00:00,1,26,"#1 Algo así pensé yo, como llegue la derecha al gobierno los veo copiando la idea"
inmigracion,https://www.meneame.net/story/internado-flotante-asi-barcaza-flotante-reino-unido-alojar,3836090,38863989,1,,Socavador,2023-07-18T16:49:24+00:00,0,13,La turbopatera...
