tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/constitucional-dictamina-menores-transexuales-podran-cambiar,3158053,27432560,12,,--564852--,2019-07-19T05:46:09+00:00,0,9,"Joer, eso es un descontrol, se pasan por el forro el respeto al sexo con el que se nace."
lgtbi,https://www.meneame.net/story/constitucional-dictamina-menores-transexuales-podran-cambiar,3158053,27428559,11,,Nova6K0,2019-07-18T13:55:13+00:00,1,14,"Y vuelve a demostrarse lo de madurez o inmadurez de personas menores de edad, según nos convenga a las personas adultas. Para así poder controlar a dichos/as menores de edad.

Estoy de acuerdo con la sentencia, pero sigue resultándome lo anterior curioso.

Salu2"
lgtbi,https://www.meneame.net/story/constitucional-dictamina-menores-transexuales-podran-cambiar,3158053,27428454,10,5.0,Cancerbero,2019-07-18T13:39:33+00:00,1,-2,"#5 género. Tu sexo es Incambiable puesto que forma parte de tu adn.
Otra cosa es que tengas una resignación de genitales. O sea, maquillarlos, mutilarlos,...
Otra cosa es que coloquialmente se llame sexo a la genitalidad visible y género a con que opción de las 71 que hay, te identifiques"
lgtbi,https://www.meneame.net/story/constitucional-dictamina-menores-transexuales-podran-cambiar,3158053,27428194,9,4.0,--592956--,2019-07-18T13:04:14+00:00,0,7,"#4 no, la ley del paciente, por ejemplo, reconoce a mayores de 16 y menores de 18 capacidad para cosas como rechazar una quimioterapia y morirse. Así que no es todo tan sencillo ni simplista.

#8 no es lo mismo que un menor de edad pueda decidir sobre cosas que le afectan directamente, como el ejemplo que pongo arriba y la ley del paciente coma y otra que sean mayores de edad a nivel legal."
lgtbi,https://www.meneame.net/story/constitucional-dictamina-menores-transexuales-podran-cambiar,3158053,27427874,8,4.0,--613101--,2019-07-18T12:15:55+00:00,0,9,"#4 
Yo ahora espero que cualquier menor que demuestre la suficiente madurez para cometer un delito se le apliquen las mismas condenas que a un adulto."
lgtbi,https://www.meneame.net/story/constitucional-dictamina-menores-transexuales-podran-cambiar,3158053,27427810,7,4.0,justez,2019-07-18T12:07:48+00:00,0,7,"#4 Esto es todo un show, estoy leyendo ahora mismo la ley sobre esto, y en dependiendo de cada comunidad piden informes medicos, o no.
Asi que si te da la venada te vas a madrid y te declaras mujer/hombre y listo. 
Y ya despues que niños menores decidan hormonarse, ver para creer, pues bueno, eso si, votar no pueden {confused}"
lgtbi,https://www.meneame.net/story/constitucional-dictamina-menores-transexuales-podran-cambiar,3158053,27427774,6,5.0,--507437--,2019-07-18T12:04:17+00:00,0,19,"#5 Sexo, que es lo que por ejemplo refleja el DNI. Género no es exactamente lo mismo"
lgtbi,https://www.meneame.net/story/constitucional-dictamina-menores-transexuales-podran-cambiar,3158053,27427752,5,3.0,justez,2019-07-18T12:01:19+00:00,0,7,#3 Lo que no estiendo es si es sexo o genero
lgtbi,https://www.meneame.net/story/constitucional-dictamina-menores-transexuales-podran-cambiar,3158053,27427723,4,,anv,2019-07-18T11:58:55+00:00,2,23,"El Constitucional considera que cualquier menor ""con suficiente madurez"" Supuestamente la mayoría de edad era la que indicaba que una persona tenía ""suficiente madurez""..."
lgtbi,https://www.meneame.net/story/constitucional-dictamina-menores-transexuales-podran-cambiar,3158053,27427703,3,2.0,--507437--,2019-07-18T11:57:50+00:00,1,26,"#2 El Constitucional dictamina que los menores transexuales podrán cambiar de sexo en los registros públicos. Más legal que el DNI, no sé..."
lgtbi,https://www.meneame.net/story/constitucional-dictamina-menores-transexuales-podran-cambiar,3158053,27427680,2,,justez,2019-07-18T11:55:06+00:00,0,7,"Lo de  ""en situación estable de transexualidad""  que alguien me lo explique.
¿De todas formas a efectos legales el menor sera considerado del nuevo sexo, que pone en el registro publico?
No lo veo claro en la noticia."
lgtbi,https://www.meneame.net/story/constitucional-dictamina-menores-transexuales-podran-cambiar,3158053,27427606,1,,Cancerbero,2019-07-18T11:48:30+00:00,1,10,Será transgénero...
