tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/noruega-propone-enviar-refugiados-isla-artico-donde-hay-mas-osos,2478392,17715399,26,,camero500,2015-09-16T02:34:03+00:00,0,15,"¿Osos, dieta, alimentación?"
inmigracion,https://www.meneame.net/story/noruega-propone-enviar-refugiados-isla-artico-donde-hay-mas-osos,2478392,17713036,25,13.0,--482411--,2015-09-15T16:25:04+00:00,0,6,"#13 No solo podria sino que deberia hacerse , pero con planificacion , llevando grupos con oficios variados, que si mandas 30 abogados a un pueblo de la alcarria de 12 familias , mal vamos."
inmigracion,https://www.meneame.net/story/noruega-propone-enviar-refugiados-isla-artico-donde-hay-mas-osos,2478392,17713018,24,19.0,--482411--,2015-09-15T16:22:46+00:00,1,26,#19 Cuando he visto la noticia ha sido lo primero que me ha venido a la cabeza {smiley}
inmigracion,https://www.meneame.net/story/noruega-propone-enviar-refugiados-isla-artico-donde-hay-mas-osos,2478392,17712820,23,21.0,ur_quan_master,2015-09-15T15:55:17+00:00,0,9,"#21 ¿ Que te hace pensar que te van a aceptar, sucio migrante extranjero?"
inmigracion,https://www.meneame.net/story/noruega-propone-enviar-refugiados-isla-artico-donde-hay-mas-osos,2478392,17712464,22,21.0,--11417--,2015-09-15T15:12:51+00:00,0,9,"#21 Estos ya tienen experiencia en estas cosas, mira si no la propaganda que le hicieron a Groenlandia (la tierra verde) para que fuesen gente a vivir allí {grin}"
inmigracion,https://www.meneame.net/story/noruega-propone-enviar-refugiados-isla-artico-donde-hay-mas-osos,2478392,17712246,21,,MaximumPetrus,2015-09-15T14:46:25+00:00,0,6,"¿A Svalbard? {palm} 

Muy bien, hombre. Llevadlos al lugar más recóndito e inhóspito de Noruega, y sin embargo el más seguro (se dice que no hay casi delincuencia), el que más científicos tiene por km2 y más protegido geográficamente.

A tomar por culo mis planes de exilio.

Imbéciles."
inmigracion,https://www.meneame.net/story/noruega-propone-enviar-refugiados-isla-artico-donde-hay-mas-osos,2478392,17712066,20,1.0,Feindesland,2015-09-15T14:22:40+00:00,0,13,#1 Mentira. Mejor vivir calentito en Alemania con la casa pagada...
inmigracion,https://www.meneame.net/story/noruega-propone-enviar-refugiados-isla-artico-donde-hay-mas-osos,2478392,17711873,19,2.0,conversador,2015-09-15T13:54:47+00:00,1,24,"#2 En la serie ""Fortitude"" los osos se comen a uno de los personajes"
inmigracion,https://www.meneame.net/story/noruega-propone-enviar-refugiados-isla-artico-donde-hay-mas-osos,2478392,17711861,18,,ur_quan_master,2015-09-15T13:52:57+00:00,0,9,"Buena idea. Así serán mayoría las personas y podrán echar de una vez a una vez al ""Partido de los osos Polares"" del ayuntamiento."
inmigracion,https://www.meneame.net/story/noruega-propone-enviar-refugiados-isla-artico-donde-hay-mas-osos,2478392,17711850,17,15.0,Mister_Lala,2015-09-15T13:51:57+00:00,0,10,"#15 Mi pueblo tiene alrededor varias aldeas. Una tenía 300 habitantes cuando yo era pequeño, allá por los años 80. Se encuentra a 3 km del núcleo principal de población. La gente nueva se fue casando y abandonando el pueblo para irse al núcleo principal porque tenía el ayuntamiento, el ambulatorio, los bancos, los bares,..., pudiendo ir andando sin necesidad de usar coche (que en los 80 no todo el mundo disponía de él, ni mucho menos). Abandonaban el pueblo para irse a otro a 3 km porque había más servicios y más ocio. 

Ahora esa aldea tiene 50 habitantes. Está llena de casas viejas sin uso, que podrían ser ocupadas desde el minuto 1. En una década el pueblo quedará desierto porque casi todos los que viven allí superan los 70."
