tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39406346,15,6.0,nitsuga.blisset,2023-10-05T05:09:49+00:00,0,12,"#6 Eso venía a decir. Otra teoría explica la función evolutiva de la homosexualidad como mecanismo para que haya tíos y tías que ayuden con el cuidado de la descendencia. Por este mecanismo ayudan a la pervivencia de sus propios genes.

Lo que está claro es que, como dices, lo antinatural es la homofobia, no la homosexualidad."
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39400436,14,,elmakina,2023-10-04T08:29:46+00:00,0,7,"Ojo... que el artículo se inventa se inventa una película diferente de lo que dice la fuente original. Ya lo apunté en otro meneo sobre el mismo tema... el artículo original habla sobre comportamiento sexual entre individuos del mismo sexo, no de homosexualidad. [...] same-sex sexual behaviour is operationally defined here as any temporary sexual contact between members of the same sex. This behaviour should be distinguished from homosexuality as a more permanent same sex preference, as found in humans . For this reason, our findings cannot be used to infer the evolution of sexual orientation, identity, and preference or the prevalence of homosexuality as categories of sexual beings (https://www.nature.com/articles/s41467-023-41290-x)"
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39398676,13,7.0,--640173--,2023-10-03T21:30:38+00:00,1,25,#7 ¡!Macumba hasta la muerte!!
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39397202,12,,Soma86,2023-10-03T17:11:27+00:00,0,6,"Menuda basura de artículo y periodista, frustración sexual y confusión? A la altura de la mierda habitual de el país, el periodista (por aquí llamarlo) podría documentarse un poco más."
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39397106,11,6.0,jobar,2023-10-03T16:57:14+00:00,1,18,"#6 En realidad para la mayoria de intolerantes lo natural es lo que dicen que ha dicho diosito. Mira lo que pasa con la evolución, o hasta la esfericidad de la tierra."
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39397029,10,,superramon,2023-10-03T16:45:52+00:00,0,7,Me acuerdo de Cadena Perpetua.
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39396854,9,,angeloso,2023-10-03T16:22:06+00:00,0,11,La cara del monete que está recibiendo lo suyo es de felicidad total.
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39396682,8,,kosako,2023-10-03T15:56:14+00:00,0,11,"Vamos, que a falta de manos se parten el hojaldre para marcarse una pajilla y relajarse"
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39396676,7,,--84408--,2023-10-03T15:55:43+00:00,4,54,"- ¿Macumba o muerte?.
- Elijo muerte.
- Bien..... pero antes un poco de macumba."
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39396640,6,,Ratoncolorao,2023-10-03T15:50:05+00:00,5,81,Qué irónico! Al final la homosexualidad es natural y la homofobia antinatura
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39396587,5,,DayOfTheTentacle,2023-10-03T15:42:53+00:00,1,14,Que te enculen relaja o encabrona?
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39396537,4,,tiopio,2023-10-03T15:36:21+00:00,2,48,De ahí lo del jabón de las cárceles.
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39396533,3,,Apotropeo,2023-10-03T15:35:45+00:00,1,14,¡¡ Vete a tomar por culo!!
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39396525,2,1.0,BobbyTables,2023-10-03T15:34:52+00:00,1,34,#1 pon el culo que voy a relajarme!
lgtbi,https://www.meneame.net/story/homosexualidad-mamiferos-tiene-utilidad-evolutiva,3861643,39396491,1,,borteixo,2023-10-03T15:29:35+00:00,4,65,Vamo a calmarno {grin}
