tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/rajoy-cede-acepta-ir-forma-extraordinaria-congreso-ha-hablar,2588625,19143103,10,,--509896--,2016-03-28T20:30:19+00:00,0,8,"Son muy reveladores detalles como que presuman de dejar actuar a la Justicia libremente -como si nos hicieran un favor- o que, estando en funciones, acepte consensuar una respuesta común para trasladar a Europa. Gracias Marianico por no actuar, finalmente, como un dictador ¡Qué sería de la democracia sin ti! ¡Nunca nos dejes!  {foreveralone}"
inmigracion,https://www.meneame.net/story/rajoy-cede-acepta-ir-forma-extraordinaria-congreso-ha-hablar,2588625,19143032,9,,--80628--,2016-03-28T20:15:37+00:00,0,7,Y habrá que darle las gracias.
inmigracion,https://www.meneame.net/story/rajoy-cede-acepta-ir-forma-extraordinaria-congreso-ha-hablar,2588625,19142811,8,,--476340--,2016-03-28T19:37:09+00:00,0,9,Ya era hora.
inmigracion,https://www.meneame.net/story/rajoy-cede-acepta-ir-forma-extraordinaria-congreso-ha-hablar,2588625,19142754,7,,--489401--,2016-03-28T19:27:17+00:00,0,8,"Son refugiados, muy refugiados, y muchos refujidas. Ehh?? Je, je!!"
inmigracion,https://www.meneame.net/story/rajoy-cede-acepta-ir-forma-extraordinaria-congreso-ha-hablar,2588625,19142748,6,,Jiraiya,2016-03-28T19:26:30+00:00,4,52,"Hombre, si lo hace antes de que la Junta de Portavoces lo fuerce, ceder, ceder como que no es lo más descriptivo.

Más bien es: Rajoy se tira un #bienqueda obligado antes de que le hicieran un #malqueda."
inmigracion,https://www.meneame.net/story/rajoy-cede-acepta-ir-forma-extraordinaria-congreso-ha-hablar,2588625,19142731,5,,conversador,2016-03-28T19:22:17+00:00,0,20,O sea Rajoy perdona la vida al Congreso
inmigracion,https://www.meneame.net/story/rajoy-cede-acepta-ir-forma-extraordinaria-congreso-ha-hablar,2588625,19142717,4,,--75296--,2016-03-28T19:20:46+00:00,1,17,El titular pone la situación igual que cuando en mi casa me dicen de bajar la basura y acabo pillando la bolsa para que me dejen en paz.
inmigracion,https://www.meneame.net/story/rajoy-cede-acepta-ir-forma-extraordinaria-congreso-ha-hablar,2588625,19142709,3,1.0,--229659--,2016-03-28T19:20:06+00:00,1,20,#1 Corregido
inmigracion,https://www.meneame.net/story/rajoy-cede-acepta-ir-forma-extraordinaria-congreso-ha-hablar,2588625,19142694,2,,Todoporlapasta,2016-03-28T19:18:05+00:00,2,27,Corrige el titular q duele la vista {shit}
inmigracion,https://www.meneame.net/story/rajoy-cede-acepta-ir-forma-extraordinaria-congreso-ha-hablar,2588625,19142692,1,0.0,kikuyo,2016-03-28T19:17:37+00:00,3,49,#0 ¡Arg! ¡Ese titular!
