tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20849260,17,16.0,--506076--,2016-12-09T17:26:07+00:00,2,8,"#16 
Dale un vistazo a esta tabla y así podrás hablar con propiedad
https://es.wikipedia.org/wiki/Anexo:Pa%C3%ADses_y_territorios_por_tasa_de_fertilidad"
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20849039,16,14.0,KrisCb21,2016-12-09T16:46:47+00:00,0,9,"#14 ¿Y Asia?  No creo que el problema de la población sea exclusiva de un continente, si no más bien de regiones.

#15 Eso lo entiendo. Lo que no creo es que me hayas entendido a mí. Lo único que digo es que el foco se pone en el lugar equivocado. La raíz del problema no está aquí, en nuestras fronteras. Y hasta que no se den soluciones a esos problemas de raíz, el problema no va a desaparecer, sólo van a venir de otros modos."
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20848303,15,5.0,--506076--,2016-12-09T14:27:05+00:00,2,30,"#5 
Con un paro del 20% explícame tú como se van a ganar la vida esta pobre gente?"
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20848284,14,4.0,--506076--,2016-12-09T14:23:19+00:00,1,17,"#4 
El único continente que tiene el crecimiento de la población descontrolado es África, esta claro que hay que actuar allí"
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20846515,13,12.0,Rarepepelarana,2016-12-09T10:32:12+00:00,0,11,"#12  No me equivoco. Con un buen muro y leyes de expulsión nada más entrar se hace. Las leyes ahora permiten mucha actividad de  ONGs inmigracionista que financian su llegada y entrada para bajar/evitar la subida de salarios de los obreroa europeos.

En Hungría se paró está avalancha fácilmente con una valla y una pequeña contribución del ejército (para algo útil que hacen). Es muy sencillo, pero al capital le conviene esta mano de obra barata subdesarrollada en Europa."
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20846474,12,10.0,KrisCb21,2016-12-09T10:26:39+00:00,0,9,"#10 Creo que en eso te equivocas. No van a impedir que sigan viniendo, de un modo u otro, porque el problema de raíz seguirá existiendo."
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20846459,11,4.0,Rarepepelarana,2016-12-09T10:25:32+00:00,1,14,#4  No vivirá. La poblacion de los países con armas aniquilarán al resto y vivirán allí.
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20846449,10,8.0,Rarepepelarana,2016-12-09T10:24:41+00:00,1,30,"#8  A nosotros si se nos soluciona poniendo vallas más efectivas y modificando las leyes para echarlos directamenre aunque toquen suelo español.

Su problema y el nuestro sin problemas diferentes."
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20846431,9,3.0,gadish,2016-12-09T10:23:18+00:00,2,29,"#3 Pues si. Porque si lo hacen 1 vez al mes, son 12 veces al año, es decir 2400 personas más al año. imagina! En tan solo 100 años habremos recibido 240.000 personas, lo qeu implica un crecimiento del 0.5%. Inasumible."
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20846114,8,6.0,KrisCb21,2016-12-09T09:36:37+00:00,0,9,"#6 goto #4
No creo que el problema se vaya a solucionar impidiendo la entrada. De verdad, que creo que el foco se pone en un sitio equivocado del problema. Centrar el debate en nosotros, porque o empezamos a ser más conscientes del verdadero problema o cuando nos queramos dar cuenta, ya no se podrá solucionar.
cc/ #7"
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20846109,7,5.0,--523080--,2016-12-09T09:35:54+00:00,2,37,#5 Pero una cosa es que ellos lo intenten y otro que haya gente de aquí que quiera que se lo facilitemos.
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20846079,6,5.0,Caramierder,2016-12-09T09:32:14+00:00,3,52,"#5 Yo haría lo mismo, pero creo honestamente que ese no es el debate. España es un Estado moderno que tiene unas determinadas fronteras. Su obligación es proteger estas fronteras y no se puede entrar de forma ilegal al país. Por supuesto, España tiene el derecho de usar la fuerza para proteger su frontera, como lo tiene cualquier Estado en el mundo empezando por los Estados de donde provienen estas personas.
Este hecho no es discutible, el derecho del Estado español a proteger sus límites, y que no se puede entrar a un país de forma ilegal. O ahora vamos a pensar que todos los que vienen son refugiados? y un cuerno. Los traen aquí las mafias prometiéndoles un futuro que el estado español no puede proveerles."
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20846034,5,2.0,KrisCb21,2016-12-09T09:26:18+00:00,3,34,"#2 Creo que el problema es más complejo que eso. Tampoco puedes tratarlos como infrahumanos (metiendo a 1000 donde caben 500, tirándoles pelotas de goma cuando vienen a nado...). Ellos han pasado por un auténtico infierno hasta llegar aquí, porque lo que dejan atrás es aún peor. 
Si tu estuvieras en su lugar, ¿qué harías tú? Si soy sincera, probablemente haría los mismo. Huiría para tener al menos una esperanza."
inmigracion,https://www.meneame.net/story/mas-200-inmigrantes-realizan-nuevo-salto-masivo-valla-fronteriza,2707205,20845980,4,,KrisCb21,2016-12-09T09:17:28+00:00,4,48,"1º ¿Cuántos de esos inmigrantes vienen a España y cuantos quieren seguir su camino hacia el norte?
2º Bajo el mantra de ""inmigración mala"" nos olvidamos de los verdaderos problemas: ¿por qué vienen? La mayoría huyen de dictaduras, guerras o a causa del cambio climático. 
Ya lo comenté en otra noticia, ¿qué pasará cuando la superpoblación mundial tenga que vivir en franjas determinadas del planeta?"
