tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37675953,177,87.0,--721743--,2023-01-29T13:41:16+00:00,1,17,#87 te ha caído algun strike en tus otras cuentas?
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37675917,176,4.0,--721743--,2023-01-29T13:34:21+00:00,1,17,#4 hay un porron de ellas y presumiendo en medios de izquierdas.
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37669659,175,174.0,nilien,2023-01-28T11:17:15+00:00,0,11,"#174 El neutro son los padres... y la respuesta para cualquier sesgo, y sus constantes manifestaciones. {lol}"
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37669576,174,173.0,ElTraba,2023-01-28T11:03:48+00:00,0,7,"#173 el neutro es el masculino.

cuando cambie, me avisas. y gaslighting? piel muy fina mas bien."
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37669559,173,49.0,nilien,2023-01-28T11:00:28+00:00,0,11,"#49 TranquilA, en todo caso, las mujeres también escribimos por internet, por si no te habías enterado... {tongue}

(y en cualquier caso, es una interjección que no deberías dirigir ni a mujeres ni a hombres, no te vendría m echar un vistazo a lo que es el gaslighting)"
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37669550,172,53.0,nilien,2023-01-28T10:58:40+00:00,0,11,"#53 Ignorancia supina y confusión interesada. Pero vamos, que no hay nada nuevo bajo el sol... {tongue}"
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37669543,171,162.0,nilien,2023-01-28T10:57:23+00:00,0,11,"#162 Tienes un problema con tus sesgos, y no te vendría mal estudiar un poco las cosas que eliges odiar tan a la ligera..."
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37668394,170,169.0,spacos,2023-01-28T07:37:52+00:00,0,7,#169 Lo que tu digas.
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37667484,169,157.0,--2892--,2023-01-27T22:29:15+00:00,1,16,#157 Lo que es ridículo es que eches pelotas fuera cuando te has quedado con el culo al aire.
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37666721,168,167.0,manbobi,2023-01-27T20:08:24+00:00,1,27,"#167 Es el caldo de cultivo para los vagos y extremistas de la antipolítica, los aue vienen a ""regenerar"" haciendo nada, a robar y llevarse lo suyo, como el VP de CyL"
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37666714,167,160.0,--108680--,2023-01-27T20:06:46+00:00,0,9,"#160 al principio me chocó mucho esa frase, verla de alguien real que conocía pero el lavado de cerebro que se realiza desde las redes es impresionante como para creérmelo.

También usó frases como que ""todos son iguales"", ""que vienen a robar y llevarse lo suyo"" y esos mensajes panfleteros..."
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37666712,166,165.0,mcfgdbbn3,2023-01-27T20:06:30+00:00,0,11,#165: Lo intentaré cuando termine lo que estoy estudiando. {smiley}
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37666695,165,164.0,--733097--,2023-01-27T20:05:04+00:00,0,5,"#164 Mastodon es una especie de Twitter federado, como el correo. Te creas una cuenta en un servidor y desde ahí puedes seguir cuentas en otros servicios y también interactuar."
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37666684,164,163.0,mcfgdbbn3,2023-01-27T20:03:48+00:00,0,11,"#163: ¿Mastodon?
Es que a mí lo de los cuaternios y teoría de la señal se me atraganta un poco. {tongue}"
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37666626,163,46.0,--733097--,2023-01-27T19:56:49+00:00,0,5,"#46 #118 Mastodon es mejor para eso. Hasta Reddit es mejor. O incluso el IRC y Usenet en algunos grepúsculos científico-técnicos que aún siguen como los irreductibles galos en la aldea.
Twtr es una cámara de eco y fuente de radicales."
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37666595,162,22.0,--733097--,2023-01-27T19:53:07+00:00,0,5,"#22 El islam no debería entrar en ""derecho humano"" si no en ideología ilegalizada como el nazismo y el Mein Kampf. Y si me apuras, en el DSM-V bajo enfermedad mental."
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37666536,161,1.0,mariopg,2023-01-27T19:44:20+00:00,0,7,#1 la derecha sin trampas no valdría para nada
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37666425,160,159.0,manbobi,2023-01-27T19:30:54+00:00,1,27,"#159 La realidad supera a la ficción...
Yo creo que la mayoría de los que usan esas coletillas en la red es mentira, son generalmente trolls recién creados, reaparecen en elecciones, ussn las redes y ésta lo es, para hacer campaña. Lo de tu amigo conlcido pues no sé, lo conocerás mejor, pero eso de ser ""muy de izquierdas"" me parece un poco sospechoso, siempre. Yo me considero de izquierda pero seguro que tengo ramalazos (y soy un fascista para los hoologans antirrusia)"
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37666385,159,153.0,--108680--,2023-01-27T19:25:45+00:00,1,27,"#153 ayer un compañero de trabajo puso en el estado de Whatsapp el video del tío del radar que salió en TVE el otro día. Yo le mandé un artículo que salió en menéme explicando que el radar había sido contratado por el ayuntamiento que era del PP aunque el tío se quejaba de Sánchez.

Y me soltó entre otras cosas que: ""yo antes era muy de izquierdas, votaba a podemos y todo pero votaré a vox"" y me quedé a cuadros.

Le expliqué que aunque Sánchez tuviese cientos de cosas para quejársele, la del radar no era una de ellas. Que había sido contratado por el ayuntamiento del PP pero el mongolo de la entrevista se quejaba de Sánchez porque simplemente repetía las consignas que le dicen sus amos y ahí quedó la conversación.

Aquí en menéame había leído la frase: ""yo antes votaba a podemos pero votaré a vox"" y pensaba que eran chorradas pero es una realidad ahí fuera también.

La gente está polirizada a más no poder, sobre todo con el uso de redes sociales que solo te muestran lo que quieres ver, es una pena.

Yo no uso redes sociales a excepción de esta web así que desconozco ese mundo."
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37666121,158,,--739985--,2023-01-27T18:44:24+00:00,0,6,"No hacen falta cuentas trol, las femitontas de Podemos ya son proislam."
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37666052,157,143.0,spacos,2023-01-27T18:30:41+00:00,0,7,#143 Hablemos del derecho al aborto en algunas comunidades autonomas ya puestos ehhh. La tecnica del tu mas es ridicula.
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37665993,156,155.0,--113769--,2023-01-27T18:19:40+00:00,2,15,"#155 para nada. El mundo es multicolor, y bien bonito. Demasiado, como para dividirlo entre buenos y malos o estar todo el día polarizando"
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37665979,155,50.0,sivious,2023-01-27T18:18:09+00:00,0,7,#50 Los que veis el mundo en blanco y negro lo teneis dificil para entender que el mundo no se reduce a extremos.
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37665969,154,,DenisseJoel,2023-01-27T18:16:02+00:00,0,9,"Hay muchísima gente que vota de manera más o menos aleatoria. Mínimo un millón de personas. Si añadimos a los que excluyen a uno o dos partidos en concreto, igual nos ponemos en 4 o 5 millones."
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37665826,153,152.0,manbobi,2023-01-27T17:48:23+00:00,1,27,#152 Desarrolla porfa
inmigracion,https://www.meneame.net/story/feminista-favor-islam-podemos-cuentas-trol-twitter-hacen-pasar,3774020,37665819,152,1.0,--108680--,2023-01-27T17:47:17+00:00,0,9,"#1 pensaba que esos que dicen que antes votaban a podemos y después votarán a box eran como los unicornios, pero anoche uno me lo soltó hablando en serio {shit}"
