tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27677717,76,75.0,Mochuelocomun,2019-08-26T09:49:51+00:00,1,0,"#75 Una cosa que no tolero es que me llames racista. Puro subnormal, Vete a tomar por el culo!"
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27677669,75,74.0,--50303--,2019-08-26T09:44:15+00:00,1,0,"#74 Los buenistas? JAJAJAJA Perdona no ser un ""malista"" como tú, bueno realmente un racista como tú, que al fin y al cabo no sois más que racistas que os intentáis camuflar como personas civilizadas intentandonos vender la moto de que vivimos en un país lleno de delincuencia por culpa de los inmigrantes cuando lo único que pasa es que te da urticaria salir a la calle y ver que hay gente de distinto color al tuyo paseandose libremente.

Por supuesto que considero que un inmigrante puede delinquir, la diferencia entre tu y yo es que yo no diferencio entre españoles que delinquen e inmigrantes. Tú si lo haces, a ti te jode más un inmigrante que delinque que un español. Y eso, amigo es RACISMO."
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27677535,74,73.0,Mochuelocomun,2019-08-26T09:25:55+00:00,1,0,"#73  ""Es completamente FALSO que en España haya aumentado la delincuencia por la inmigración, absolutamente FALSO.""
Vives en Alicia en el país de las maravillas. Te cuentan en un artículo un cuento de cuna y te lo crees {roll}  
Los buenistas en el fondo tenéis aires de superioridad, y sois los verdaderos racistas ya que no consideráis que un inmigrante pueda delinquir! Algún día os cerréis del guindo de maduros!!"
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27677215,73,72.0,--50303--,2019-08-26T08:42:21+00:00,1,0,"#72 Lo que se ha hecho siempre? JA, JA y JA... Jamás ha habido inmigración controlada como dices porque lo que alguien como tú es incapaz de entender es que cuando alguien pasa hambre en su país y decide recorrer 3.000 kilómetros y cruzar mares para llegar a Europa NADA lo puede detener, ni muros ni concertinas ni políticos populistas como Salvini. 

Por otro lado partes de falsedades manifiestas, dudo mucho que ningún inmigrante venga a España a delinquir, vienen a tener una vida mejor pero cuando son discriminados y son obligados a vivir sin poder trabajar acaban delinquiendo para sobrevivir. De todas formas yo no tengo ningún problema en que se expulse a los inmigrantes que delinquen. 

Yo vivo en España y tú? Es completamente FALSO que en España haya aumentado la delincuencia por la inmigración, absolutamente FALSO. Si partes de falsedades en tu visión racista es normal entender tus comentarios:

El crecimiento de la inmigración en España no ha provocado más delincuencia
http://portal.uc3m.es/portal/page/portal/actualidad_cientifica/noticias/crecimiento_inmigracion"
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27677086,72,70.0,Mochuelocomun,2019-08-26T08:21:23+00:00,0,7,"#70 Voy a omitir la parte en que me tachas de ""discriminador"" y te voy a contestar sobre el modelo de inmigración. Pues mira yo quiero que se controle quién entra, a quién se le da papeles, si tiene antecedentes, que actitud trae etc. Vamos lo normal que se ha hecho siempre y en todos los países. 
Creo que estarás de acuerdo conmigo en que aquí no puede entrar toda la inmigración potencial que existe, simplemente es imposible. Por qué entonces no vamos a poder elegir a quién acogemos? Son los que van a convivir con nosotros, con el pueblo llano. Nosotros vamos a sufrir el aumento de delincuencia y demás problemas... 
No estas viendo los problemas que ya existen? Tú dónde vives?  en algún barrio de gente blanquita y progre guay?"
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27676803,71,68.0,--609928--,2019-08-26T07:34:59+00:00,0,7,"#68 es sencillo, los europeos no tenemos hijos, los inmigrantes tienen muchos hijos, va a haber sustitución de la población y en el caso de los islamistas es un retroceso a nuestro estilo de vida y valores. Por otro lado África sigue creciendo y cada vez hay más gente, hoy por hoy ya es un problema constante imagina si se facilita la inmigración."
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27676465,70,67.0,--50303--,2019-08-26T06:23:10+00:00,0,7,#67 Que modelo de inmigración? No conozco ningún inmigrante que no quiera venir a Europa a trabajar y tener una vida digna... Los getos y la discriminación los fomentáis gente como tú y las leyes que les impiden acceder a un trabajo digno por el mero hecho de ser inmigrante.
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27676181,69,1.0,Schrödinger_katze,2019-08-26T02:07:42+00:00,0,7,"#1 Como el Mitch McConnel, casado con una coreana, o Donal Trump, el cuál encontró dos de sus tres mujeres en el extranjero.

Para esta gente, los inmigrantes son los otros, no sus familiares."
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27675985,68,58.0,aljayam,2019-08-25T23:12:00+00:00,0,6,#58 Tú has sido el que ha hablado como si tuviese todas esas respuestas. Te estoy preguntando para saberlo y que todos nos enteremos de esa gran catástrofe por venir. Lo último que leí es que las proyecciones de población para Europa era bastante negativas pero igual tú tienes más información.
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27675925,67,66.0,Mochuelocomun,2019-08-25T22:41:32+00:00,1,0,"#66  #63 puede que no lo entiendas nunca pero hay muchos inmigrantes en contra de este modelo de inmigración, gente trabajadora que quiere integrarse y respetar la cultura del país de acogida. Y se encuentra con un país que no cuida a sus paisanos, trabajo precario y descontrol total en cuanto a inmigración. Se fomentan los getos y la discriminación perpetua.."
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27675909,66,63.0,Mochuelocomun,2019-08-25T22:35:51+00:00,1,0,"#63 claro que no es culpa de ellos. El simple eres tú que no entiendes que estar en contra de un modelo de inmigración, no  es estar en contra de las personas que vienen. Por cierto es un modelo perverso que solo beneficia a los de siempre, poderosos que logran sus fines convenciendo a ingenuos de que es el único modelo de migración posible."
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27675860,65,56.0,--50303--,2019-08-25T22:17:15+00:00,0,7,#56 que los marroquíes vienen en visado y en avión? Jajajajajajajajajaja... No habia oido algo tan gracioso en mi vida
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27675708,64,50.0,--494665--,2019-08-25T21:36:43+00:00,0,7,#50 Pues te lo recomiendo. Dedicale un poco de tiempo a escuchar lo que dice. Es un tio muy lúcido.
inmigracion,https://www.meneame.net/story/ivan-espinosa-monteros-inmigrantes-no-tienen-trabajo-ni-dignidad,3174131,27675640,63,59.0,--50303--,2019-08-25T21:20:13+00:00,0,7,#59 si realmente crees que la falta de riqueza en España es culpa de los inmigrantes es que sencillamente eres más simple de lo que pensaba.
