tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38869528,13,12.0,--633646--,2023-07-19T12:16:00+00:00,0,10,#12 https://www.meneame.net/story/llega-costa-inglaterra-barcaza-albergar-medio-millar-asilo
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38869309,12,5.0,HijosdeKroker,2023-07-19T11:48:17+00:00,0,11,#5 entiendo que esta noticia dice que ya esta listo el barco y añade información extra
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38868054,11,,Borgiano,2023-07-19T09:04:39+00:00,0,8,De racismo ni le podrán acusar al primer ministro
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38867688,10,,tyrrelco,2023-07-19T08:25:00+00:00,0,8,"Panda de descerebraos, qué lástima de país."
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38867339,9,,javibaz,2023-07-19T07:40:49+00:00,1,25,Australia style
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38867332,8,2.0,kkmonokk,2023-07-19T07:39:39+00:00,0,9,#2 ¡Ahí va el tráiler!
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38867320,7,,omega7767,2023-07-19T07:38:05+00:00,0,15,les llegan unos poquitos de inmigrantes en barcas y se agobian todos....
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38867300,6,3.0,--640173--,2023-07-19T07:35:29+00:00,4,11,#3 Hijos de los hombres.
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38867256,5,0.0,--633646--,2023-07-19T07:28:07+00:00,1,20,#0 https://www.meneame.net/story/londres-recluira-inmigrantes-sin-papeles-claustrofobico-barco
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38867241,4,3.0,Desideratum,2023-07-19T07:25:21+00:00,0,20,"#3 La serie es brutalmente inquietante. 

Era tan evidente lo que iba a pasar y tan intenso el sentimiento de repugnancia que estaba experimentando que al tercer capítulo tuve que dejar de verla."
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38867201,3,2.0,HijosdeKroker,2023-07-19T07:19:46+00:00,3,51,#2 totalmente Years and Years!
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38867149,2,,Mikhail,2023-07-19T07:13:14+00:00,2,27,"Pues ya empezamos las versiones ""en la vida real"" de las series de éxito. Years and years. Dentro de poco estrenaremos El cuento de la criada."
inmigracion,https://www.meneame.net/story/reino-unido-gigantesco-barco-encerrar-refugiados-mitad-mar,3836262,38867112,1,,kkmonokk,2023-07-19T07:09:15+00:00,1,29,"""Ocurrencias"" de la ultraderecha. 

¡Próximamente en la vicepresidencia de su país!"
