tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/derecha-alemana-quiere-obligar-refugiados-reconocer-derecho-como,2519109,18254942,12,7.0,tiopio,2015-11-28T19:47:18+00:00,1,20,"#7 la Yihad es así, hacer comulgar con ruedas de molino."
inmigracion,https://www.meneame.net/story/derecha-alemana-quiere-obligar-refugiados-reconocer-derecho-como,2519109,18254305,11,,--234048--,2015-11-28T17:36:00+00:00,0,15,¿pero que chorrada ni que? {palm}
inmigracion,https://www.meneame.net/story/derecha-alemana-quiere-obligar-refugiados-reconocer-derecho-como,2519109,18253876,10,,Raul_pm,2015-11-28T16:08:48+00:00,0,9,"La derecha o los conservadores en verdad no tienen ideología, se hace piensa y dice lo que el poderoso diga, antes el poder era cristiano, lo que digan los cristianos, ahora Israel es el poderoso, lo que diga Israel, y ahora que Qatar, EAU, Arabia Saudi, Turquía y otros regímenes islámicos van a sacar delantera ya nos están vendiendo al islam poco a poco."
inmigracion,https://www.meneame.net/story/derecha-alemana-quiere-obligar-refugiados-reconocer-derecho-como,2519109,18253694,9,1.0,--461787--,2015-11-28T15:31:17+00:00,1,17,#1 como aquí el franquismo
inmigracion,https://www.meneame.net/story/derecha-alemana-quiere-obligar-refugiados-reconocer-derecho-como,2519109,18253614,8,,--136007--,2015-11-28T15:19:56+00:00,0,6,"DE verdad, comentar sobre esta noticia no diciendo otra cosa mas que es pura basura solo cabe en las mentes totalitarias del marxismo."
inmigracion,https://www.meneame.net/story/derecha-alemana-quiere-obligar-refugiados-reconocer-derecho-como,2519109,18253599,7,1.0,--499734--,2015-11-28T15:17:01+00:00,7,61,"#1 Los que apoyan la caza del judío llamando nazis a los demás.

Cada vez más surrealista."
inmigracion,https://www.meneame.net/story/derecha-alemana-quiere-obligar-refugiados-reconocer-derecho-como,2519109,18253596,6,4.0,--329430--,2015-11-28T15:16:28+00:00,0,8,"#4 ¡Ya! ... por la Ley de Godwin , supongo. {wink}

https://es.wikipedia.org/wiki/Ley_de_Godwin"
inmigracion,https://www.meneame.net/story/derecha-alemana-quiere-obligar-refugiados-reconocer-derecho-como,2519109,18253588,5,,Uzer,2015-11-28T15:15:10+00:00,0,7,Europa una! y no cincuenta y una!
inmigracion,https://www.meneame.net/story/derecha-alemana-quiere-obligar-refugiados-reconocer-derecho-como,2519109,18253582,4,1.0,Nomegna,2015-11-28T15:13:51+00:00,1,11,#1 Está ilegalizado nombrarlo.
inmigracion,https://www.meneame.net/story/derecha-alemana-quiere-obligar-refugiados-reconocer-derecho-como,2519109,18253581,3,,Azucena1980,2015-11-28T15:13:50+00:00,2,23,Y a yahvé como único dios.
inmigracion,https://www.meneame.net/story/derecha-alemana-quiere-obligar-refugiados-reconocer-derecho-como,2519109,18253579,2,,--418333--,2015-11-28T15:13:06+00:00,2,43,A ver si la derecha Española toma ejemplo y obliga a los españoles a reconocer Catalunya  como un estado {grin}
inmigracion,https://www.meneame.net/story/derecha-alemana-quiere-obligar-refugiados-reconocer-derecho-como,2519109,18253571,1,,--329430--,2015-11-28T15:12:14+00:00,3,42,"Pero, ¿en qué quedamos? ... ¿el nazismo no estaba ilegalizado allí?"
