tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/espana-acogera-desde-junio-586-refugiados-16-000-prometidos,2618976,19538566,12,,--219330--,2016-05-24T09:59:51+00:00,0,11,"No quieren venir aquí, quieren ir al norte. Simple y llano."
inmigracion,https://www.meneame.net/story/espana-acogera-desde-junio-586-refugiados-16-000-prometidos,2618976,19538108,11,3.0,gilipipas,2016-05-24T09:10:58+00:00,0,11,"#3 En Valladolid alojaron a un familia de refugiados, les dieron casa, programaron clases para aprender el idioma, para buscar un trabajo e insertarse lo mejor posible y un buen día la familia entera desapareció. Sospechan que para irse a Alemania, de hecho."
inmigracion,https://www.meneame.net/story/espana-acogera-desde-junio-586-refugiados-16-000-prometidos,2618976,19537896,10,,Mister_Lala,2016-05-24T08:51:22+00:00,0,12,"Yo ya puse mi granito de solidaridad cuando dije que cedía una habitación de mi casa a una refugiada de 20 años, que conste."
inmigracion,https://www.meneame.net/story/espana-acogera-desde-junio-586-refugiados-16-000-prometidos,2618976,19537894,9,,Hastaloshuevos,2016-05-24T08:51:17+00:00,0,9,"El nuevo cassette con las canciones populares, ¡ya a la venta!

Con canciones tan famosas como ¡Nos invaden!, ¡Nos van a ROBAR TODOS los puestos de trabajo!, ¡Van a abusar de nuestra sanidad gratuita!, ¡Van a violar a nuestras hijas! ... ¡Y muchas canciones más!

Anunciado en TV"
inmigracion,https://www.meneame.net/story/espana-acogera-desde-junio-586-refugiados-16-000-prometidos,2618976,19537855,8,5.0,EuropeoDespierto,2016-05-24T08:45:51+00:00,1,14,#5 díselo a los nativos americanos
inmigracion,https://www.meneame.net/story/espana-acogera-desde-junio-586-refugiados-16-000-prometidos,2618976,19537801,7,,EuropeoDespierto,2016-05-24T08:40:05+00:00,1,6,"Estos son sólo los primeros, es obvio que nos nos los traen todos de golpe para que la opinión pública no se ponga nerviosa. La siguiente tanda será de mil en mil. 
Por cierto, no ed que España los acoja por buena voluntad, sino que ahora la UE te pone una multa de millones de euros si un estado miembro, en posesión de su soberanía, se niega a acoger refugiados inmigrantes. {undecided}"
inmigracion,https://www.meneame.net/story/espana-acogera-desde-junio-586-refugiados-16-000-prometidos,2618976,19537724,6,,--32677--,2016-05-24T08:31:09+00:00,0,10,Solo una palabra: vergüenza .
inmigracion,https://www.meneame.net/story/espana-acogera-desde-junio-586-refugiados-16-000-prometidos,2618976,19537673,5,,--515812--,2016-05-24T08:22:59+00:00,0,6,"HORDAS DE INVASORES - NOS QUITAN NUESTRAS CASAS PARA DÁRSELAS A ELLOS - COLONIZARÁN NUESTRA CULTURA - SE APROPIARÁN DE LOS VIENTRES DE NUESTRAS MUJERES - DESTRUIRÁN LA RAZA CON SU MESTIZAJE

...y otros grandes éxitos filonazis. Y eso que son sólo unos cientos."
inmigracion,https://www.meneame.net/story/espana-acogera-desde-junio-586-refugiados-16-000-prometidos,2618976,19537659,4,,ewok,2016-05-24T08:21:31+00:00,0,11,"Si cuando prometió 16.000 acogió a 18, ahora que promete 586 acogerá... 0'66. Es decir, acogerá a dos y expulsará a tres."
inmigracion,https://www.meneame.net/story/espana-acogera-desde-junio-586-refugiados-16-000-prometidos,2618976,19537656,3,,voidcarlos,2016-05-24T08:21:04+00:00,0,11,Luego querrán irse hacia Alemania de nuevo {lol}
inmigracion,https://www.meneame.net/story/espana-acogera-desde-junio-586-refugiados-16-000-prometidos,2618976,19537622,2,,manuelpepito,2016-05-24T08:17:03+00:00,0,12,"Esta gente viene a quitarnos los puestos de trabajo. Yo os aviso, y marrano no los trae porque sea un cabron, si no porque como yo lo sabe. A que coño vendran con lo bien que estaban en su pais."
inmigracion,https://www.meneame.net/story/espana-acogera-desde-junio-586-refugiados-16-000-prometidos,2618976,19537620,1,,--224275--,2016-05-24T08:16:44+00:00,1,19,Refugees welcome!
