tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,39012876,179,111.0,--758108--,2023-08-09T08:23:53+00:00,0,5,"#111 ""Esta cuestión plantea una curiosa contradicción, pues la concepción tanto de la madre como del hijo sería ""obra"" del mismo ""agente"", el Espíritu Santo""

La concepción de la madre no es obra del mismo agente. La idea es que la Virgen fue concebida sin que ella tuviera pecado (el pecado original que todo ser humano lleva consigo).

Puedes no creerlo, pero no existe esa inconsistencia que señalas de que ambas personas (madre e hijo) son obras de Dios o del Espíritu Santo."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38981528,178,141.0,turuleto,2023-08-04T05:37:31+00:00,1,19,"#141 Gracias por la explicación.

Creo que estéticamente ha quedado peor, y ahora es una bandera menos óptima desde el punto de vista del markéting."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38979437,177,176.0,Lekuar,2023-08-03T17:18:29+00:00,0,8,#176 Y bajando.
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38978739,176,175.0,blid,2023-08-03T15:26:03+00:00,1,19,"#175 De acuerdo con el Centro de Investigaciones Sociológicas se definió como católica un 59.8 % de la población española en marzo de 2021 {lol} {lol} {lol} 

Claro que sí."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38978631,175,174.0,Lekuar,2023-08-03T15:07:38+00:00,0,8,"#174 Nada es para siempre, con un país cada vez más secular, ya va sobrando."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38978616,174,173.0,blid,2023-08-03T15:05:27+00:00,1,19,"#173 Pues eso, son nuestras raíces y símbolos de nuestra cultura, tradición e historia. Y eso no va a cambiar por una cuestión personal."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38978578,173,172.0,Lekuar,2023-08-03T14:59:20+00:00,0,8,"#172 No la celebro desde la rebeldía atea ni desde ningún sitio. Que hago éste o haya estado arraigado no lo hace eterno. Y hablando de raíces, tanto la Navidad como la Pascua cristianas tienen raíces paganas."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38978549,172,171.0,blid,2023-08-03T14:54:05+00:00,1,19,"#171 Hay un fondo cultural occidental, y tradiciones cristianas que te guste o no te guste, están impresas en el pueblo español. Eso no va a cambiar, por mucho que quieras y te parezca.

Que la navidad la celebres desde el ateísmo, no deja de ser por una cuestión de tradiciones cristianas."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38978356,171,169.0,Lekuar,2023-08-03T14:28:11+00:00,0,8,"#169 La cultura y tradiciones son cosas de cada uno, y cada cual puede pasar de las que le parezca perfectamente."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38977967,170,12.0,Pedro_Bear,2023-08-03T13:31:34+00:00,0,10,#12 SAILOR MOON has vuelto? {0x1f60d}
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38977376,169,168.0,blid,2023-08-03T11:59:18+00:00,1,19,"#168 ¿Totalitaria? Pues si aquí el que quiere que el Estado no participe en una fiesta cristiana es usted, caballero.

Su cultura y tradiciones no se pueden cambiar, es historia. No es una cuestión de opinión."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38977338,168,167.0,Lekuar,2023-08-03T11:53:22+00:00,0,8,"#167 El problema no es la fiesta, sino el complejo y la postura de algunos en rechazar su cultura y tradiciones. Esa frase me parece un poco totalitaria, cada persona aceptará o rechazará los aspectos culturales que prefiera.

Se puede ser hetero, conservador, incluso criticar muchas cosas del movimiento LGTBI, y aceptar que la sociedad evoluciona y entender que una bandera de colorines es un símbolo más, como un cartelito que te desea feliz año. No pasa nada."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38977275,167,163.0,blid,2023-08-03T11:43:30+00:00,1,19,"#163 ¿Y por qué no?

El 31-1 de enero celebramos el fin de año, y los organismos públicos pues participan y decoran acorde.

El día de la constitución, celebramos nuestro día, con símbolos nacionales y os organismo públicos participan.

Cada comunidad tiene sus fiestas propias, sus tradiciones y el Estado participa también.

Y luego está navidad, que es una fiesta de tradiciones cristianas en nuestro país, y también la podemos celebrar.

El problema no es la fiesta, sino el complejo y la postura de algunos en rechazar su cultura y tradiciones. Se puede ser ateo, agnóstico, incluso criticar muchas cosas de la iglesia y la religión, y aceptar de donde venimos y entender que un belén es un símbolo más, como un cartelito que te desea feliz año. No pasa nada."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38977264,166,,MDman,2023-08-03T11:41:46+00:00,0,11,"Molaría poner una bandera de la virgen de las angustias dándose el lote con Maria Magdalena, porque virgen y santa no implica que no sea una lesbiana que le guste disfrutar de la vida."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38976647,165,158.0,Niltsiar,2023-08-03T10:30:59+00:00,1,18,#158 {hug}
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38976638,164,160.0,Niltsiar,2023-08-03T10:30:18+00:00,0,6,"#160 Nah, sigo"
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38975301,163,162.0,Lekuar,2023-08-03T08:17:25+00:00,0,8,"#162 No te discuto que sea festivo, te discuto si el estado debería participar."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38974544,162,161.0,blid,2023-08-03T07:04:22+00:00,1,19,"#161 Yo no concedo nada. Mira el BOE, es festivo por que se celebra una fiesta tradicional en todo el Estado.

El día que se le conceda lo mismo al orgullo, tendrá sentido poner los símbolos.

Que un Estado sea aconfesional quiere decir que no pertenece a ninguna religión, pero que se celebra un evento cristiano de forma oficial es una realidad. Ni con el BOE y un calendario, vas a bajarte de la burra, poniendo ambas festividades al mismo nivel. Es que es ridículo."
lgtbi,https://www.meneame.net/story/vox-contra-bandera-lgtbi-vera-no-pone-virgen-angustias,3841065,38974437,161,159.0,Lekuar,2023-08-03T06:50:58+00:00,0,8,"#159 Si el estado es aconfesional, el estado no tiene que celebrar nada, que para eso es aconfesional.

Y si tiene sentido que se ponga el belén en Navidad, también tiene sentido la.bandera lgtbi el día del orgullo.

Piruetas las tuyas para negar una cosa que concedes a otra."
