tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26626567,19,16.0,jamma,2019-03-21T08:08:22+00:00,0,10,#16  No deja de ser triste lo que dices a pesar de ser verdad. Yo es por eso que ésos tres estamentos los quiero bien lejos.
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26626451,18,12.0,Antonio_alh,2019-03-21T07:50:03+00:00,0,7,"#12 ""no somos ni de izquierdas ni de derechas, somos los de abajo y venimos a por los de arriba""

no dejes la frase a medias que si no desvirtuas el sentido de la misma {tongue}"
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26626430,17,,Antonio_alh,2019-03-21T07:47:28+00:00,0,7,ya está el comando fachéame intentando hundir la noticia {lol}
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26626404,16,,tierramar,2019-03-21T07:44:56+00:00,0,11,"El principal caladero de votos de VOX es el ejército, la guardia civil y la policia nacional. Su discurso lo han programado a medida de dichos colectivos."
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26626212,15,1.0,Urasandi,2019-03-21T07:12:09+00:00,1,23,#1 ¡Por favor! ¿Cómo puedes decir eso? He leído en MNM que nada así viene en su programa. {shit}
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26626189,14,,--601554--,2019-03-21T07:06:46+00:00,0,7,"VOX no quiere gobernar, quiere influir."
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26626175,13,,tiopio,2019-03-21T07:03:42+00:00,2,34,"El afán de Vox, de acuerdo con la estrategia de Bannon, es controlar el discurso que de hable de estas nimiedades para evitar que se hable de su ultraliberal programa político que traerá la miseria lo que queda de la clase trabajadora en España."
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26626076,12,,--24179--,2019-03-21T06:27:34+00:00,0,10,"Como pasó en su día con Podemos que decían que no eran ni izquierda ni derecha y luego se unieron a IU. VOX han sacado la patita y la gente ve que tal vez con esas ideas, no sea la mejor opción para votar. En España lo último que necesitamos es un aficionado imitando a Trump.
Vaya tiro en el pié que se han pegado con lo de las armas {lol} {lol} {lol}"
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26626071,11,,stigma1987,2019-03-21T06:23:48+00:00,0,8,"¿Dinamita?¡Claro, como sinamito el caso cifuentes en la C.Madrid! Se pondrán ni una más VOX, hasta que los palitos del sumatorio lleguen desde el parlsmento hasta la maestranza."
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26626053,10,1.0,oso_69,2019-03-21T06:16:01+00:00,0,10,"#1 O Vox va a resultar una quintacolumna, como algunos consideran a Podemos, para sabotear a los partidos de derecha más o menos moderada. {tinfoil}"
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26626032,9,,HimiTsü,2019-03-21T06:04:52+00:00,0,11,"Pues no pensaba votarles, pero si aprietan un poquito más .. lo mismo hasta me afilio. 
Viva. VOX !  Viva VOX.! Viva VOX .!!"
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26626020,8,,--516568--,2019-03-21T05:58:15+00:00,0,11,"{lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} 
Me meooo... {0x1f602}"
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26625999,7,,daniMate,2019-03-21T05:49:28+00:00,0,10,"Por lo menos a los de VOX los ves venir.
Nunca han ocultado su franquismo, su xenofobia, machismo, homofobia y su visión de una España dividida en malos y buenos españoles.
Lo sorprendente es que a alguien le sorprenda."
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26625997,6,,periko62,2019-03-21T05:49:15+00:00,0,9,"Es fascismo, idiotas."
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26625993,5,,erjuancho83,2019-03-21T05:46:17+00:00,1,23,Giro ultra? Desde cuando no es ultra derecha este partido?
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26625992,4,2.0,--424445--,2019-03-21T05:45:43+00:00,2,40,"#2 Opción  nivel chiquilicuatre. 

Los que les votan son básicamente para trolear. No me extrañaría que forocoches haya  orquestado esta campaña."
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26625990,3,,--517839--,2019-03-21T05:44:44+00:00,0,9,Ni que sus socios PPC fueran mejores
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26625978,2,,--604961--,2019-03-21T05:37:34+00:00,0,6,"VOX no es un partido que quiere gobernar, y se la da una atención mediática como si fuese una alternativa de gobierno.
Sus propuestas son las que son, no las tienen para asustar o no asustar: son una opción."
lgtbi,https://www.meneame.net/story/giro-ultra-vox-pistolas-homofobia-militares-franquistas-dinamita,3100679,26625977,1,,cromax,2019-03-21T05:37:27+00:00,9,84,¡Anda! ¡Los de Vox son tan fachas como parece! Ni imaginármelo podía. {lol}
