tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38708312,21,,motoleon,2023-06-26T22:16:23+00:00,1,9,"Hay que cumplir la ley, o no?"
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38708104,20,2.0,Toponotomalasuerte,2023-06-26T21:33:02+00:00,0,8,#2 Hay q darla.
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707751,19,5.0,Bottle,2023-06-26T20:34:21+00:00,0,10,"#5 #7 #10 No es una bandera, es un cartel, como otros tantos que han colgado en defensa de causas diversas: ""no a la guerra"", etc."
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707624,18,7.0,gale,2023-06-26T20:06:13+00:00,0,10,#7 ¿Sobran los políticos que creen que ser homosexual es pecado?
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707615,17,7.0,QesnoR,2023-06-26T20:03:21+00:00,1,9,"#7 No tiene nada que ver la bandera LGTBI con respecto a la del Real Madrid... seamos un poco serios... es evidente que la bandera LGTBI es una manera de dar visibilidad y dar seguridad a quien no se siente seguro por las agresiones que siguen sucediendo a diario hoy en día, una manera de decirle a esa persona que no está sola y que no tiene porque ocultar sus sentimientos por miedo a ser agredidos. La del Real Madrid no tiene nada de reivindicación en ese sentido, y la de alcoholicos anónimos tampoco se ha dado ese sentido, aunque si lo tuviese y ayudase a alcoholicos a pedir ayuda tampoco me parecería mal. Creo que hoy en día no hacía falta ni dar la explicación pero se ve que sí... desgraciadamente."
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707610,16,7.0,okeil,2023-06-26T20:02:38+00:00,1,13,"#7 Un trapo arcoiris en la fachada de un ayuntamiento como reconocimiento a una fiesta a la que todo el mundo está invitado ... eso no es una bandera, al menos a las banderas que se refiere el supremo. Es como pedir la retirada de una pancarta de fiestas ""patronales"" por tener una componente religiosa, católica concretamente."
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707518,15,5.0,--749834--,2023-06-26T19:49:57+00:00,2,21,"#5 ""No es por defender a vox pero voy a usar sus mismos argumentos para darle la razón aunque hagan lo contrario en otros lugares como es Salamanca, donde no se cuelga la bandera LGTBI dando esa patética excusa pero llenan de banderitas de follaniños en Semana Santa"" La bandera del 'orgullo' tampoco ondeará este año en el balcón del Ayuntamiento de Salamanca https://www.lagacetadesalamanca.es/salamanca/bandera-orgullo-balcon-ayuntamiento-salamanca-20230622100511-nt.html La fachada del Ayuntamiento de Salamanca se llena de color para anunciar la Semana Santa https://www.elespanol.com/castilla-y-leon/region/salamanca/20220408/fachada-ayuntamiento-salamanca-llena-anunciar-semana-santa/663434033_0.html"
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707486,14,5.0,SVSRTZ,2023-06-26T19:44:47+00:00,0,6,#5 Pues en ese caso Vox lo que debería de pedir es cambiar la ley para que sea obligartorio que la bandera arcoiris que simboliza la igualdad ondee en todos los ayuntamientos.
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707268,13,5.0,acoco,2023-06-26T19:10:32+00:00,0,6,"#5 #7 ¿Harán igual cuando llegue la S. S. o los dos sabemos la respuesta?
S. S. = Semana Santa Tengo claro que si llegasen las Schutzstaffel colgarían una bandera gigante con la prueba del pañuelo de sus diputados para demostrar su disponibilidad al partido o cualquier otra bizarrada protocolaria que les exigiesen desde el más allá."
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707265,12,5.0,Keep,2023-06-26T19:09:53+00:00,1,13,"#5 ¿Y qué ley es esa? Más que nada porque no lo han puesto al lado de las banderas oficiales sino aparte y no ondea en ningún lado, es una especie de faldón."
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707228,11,,perrico,2023-06-26T19:04:53+00:00,2,40,Supongo que también quitarán todos los símbolos religiosos.
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707161,10,,DangiAll,2023-06-26T18:54:51+00:00,1,21,"edificio oficial -> banderas oficiales, es lo que dijo el TS.

La bandera la pueden poner si quieren pero si alguien pide que se quite la deberían de quitar y cumplir la legalidad.

Lo suyo seria cambiar la ley y permitir que se pusiera o incluso que se considerara oficial, pero para eso hace falta voluntad política mas alla de hacerse una foto.

Para 8 #5"
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707114,9,4.0,Asimismov,2023-06-26T18:47:06+00:00,0,11,"#4 ya me acuerdo cuando Vox denunció a la Comunidad de  Madrid por poner a media asta las banderas por la muerte the Elisabeth the II.

Oh wait! Qué fue Sáchez y su delegado del gobietno"
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707109,8,5.0,--272179--,2023-06-26T18:46:29+00:00,6,45,"#5 las leyes tienen un grado de interpretabilidad, tanto ejecutiva como jurídicamente, si la interpretación es una u otra no es lo más relevante. Lo que jamás se debe hacer es interpretarlas arbitrariamente. Si valen unas cosas, valen otras, siempre evidentemente que hablemos de cosas que componen la realidad democrática del país. Lo digo porque en todos los hayunamientos y edificios institucionales, de Espana y de fuera de Espana, se ponen simbolos religiosos o políticos de todo tipo y pelaje, a veces estos símbolos son muy antiguos pero vigentes y forman parte de la propia fachada del edificio."
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707054,7,,--757996--,2023-06-26T18:37:59+00:00,6,45,"Sin ánimo de defender a VOX, y expresando por adelantado mi máximo respeto al colectivo LGTBI, opino que en las instituciones públicas sobra la bandera del arco iris, como también sobraría la del Real Madrid o la de Alcohólicos Anónimos.

Por una vez tengo que darle la razón a los retrógrados."
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707048,6,,manzitor,2023-06-26T18:37:15+00:00,4,56,"Que se apliquen la misma doctrina cuando usan los símbolos nacionales para uso propio no oficial, que eso también está regulado."
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707041,5,3.0,--719323--,2023-06-26T18:35:58+00:00,7,64,"#3 Pues no es por defender a VOX, pero la ley es muy clara sobre que banderas deben ondear en los ayuntamientos. La del arcoiris no es una de ellas."
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707028,4,,Condenación,2023-06-26T18:32:47+00:00,1,20,"Si es doctrina del TS, lo que no sé es por qué no está Vox denunciando a los ayuntamientos a troche y moche independientemente de que gobierne o no. Si es la ley hay que cumplirla guste o no la bandera de marras.

Lo que se ve en la foto es un cartel, no una bandera, habría que ver si de todas formas incumple eso de la neutralidad."
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707021,3,,KLKManin,2023-06-26T18:31:44+00:00,6,50,Tan correcto me parece ponerla como quitarla. En democracia el que gobierna elige las chorradas de cara a la galería que le da la gana.
lgtbi,https://www.meneame.net/story/vox-exige-retirada-bandera-lgtbi-ayuntamiento,3828435,38707005,2,,Ghandilocuente,2023-06-26T18:29:49+00:00,0,8,"No le demos visibilidad a los talibanes, por favor"
