tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26950159,26,25.0,--489332--,2019-05-07T16:21:38+00:00,0,7,"#25 ""Seré bobo por creer que eso no debe pasar."" ... si eso debe ser efectivamente, si tú lo dices ..."
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26949908,25,24.0,jbetancurt,2019-05-07T15:46:17+00:00,0,7,"#24 no se cual parte de la condena que tiene Leopoldo López... la de condenar a una persona por haber convocado una manifestación no la entiendo y tampoco entiendo como 43 personas asesinadas en una manifestación, en su mayoría asesinados por policías y por paramilitares al servicio del régimen chavista es culpa de los manifestantes y no de los que dan la orden...  Seré bobo por creer que eso no debe pasar... tu un doble moral que en otros lados criticas lo que en Venezuela aplaudes con las orejas"
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26948488,24,23.0,--489332--,2019-05-07T12:41:34+00:00,0,7,#23 ... desde luego a tu lado hasta el rebaño del Honorio parece un grupo inteligente ... pero ¿cuál de delincuente no entiendes?
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26948059,23,20.0,jbetancurt,2019-05-07T11:48:49+00:00,0,7,"#20 ??? Jajajaja el atinado ataca de nuevo...  En serio, siempre discutes tan ""inteligentemente"" siempre?...  A verda, simplemente dices cualquier bobada... Digo una cosa muy inteligente sin saber que está respondiendo...  Así como cuando te metes en una conversación sobre Leopoldo López y pregunta luego porque le hablan de Leopoldo López si no le interesa para nada ... Jajajaja atin tin tin"
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26946289,22,21.0,--489332--,2019-05-07T08:13:45+00:00,0,7,"#21 no, aprende a leer tú ... es un delincuente porque esta preso y condenado por la justicia ... el lugar en el que esté es lo de menos hay delincuentes en la carcel, en hospitales o en su casa pero siempre en prision."
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26946241,21,18.0,marioquartz,2019-05-07T08:06:56+00:00,0,9,"#18 Arresto domiciliario. Por eso he dicho especificamente que no estaba en prisión. Aprende a leer.

Puedes estar preso y no en prisión."
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26945992,20,19.0,--489332--,2019-05-07T07:23:27+00:00,0,7,"#19 ¡Vaya los tontoloscojones cada vez mas tontos!
Si, la puedo buscar y tambien la puedes buscar tú ... ¿pero, no decías que no estaba en prision?  ..."
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26944740,19,8.0,jbetancurt,2019-05-06T21:32:15+00:00,0,7,"#8 que?... jajajaja estos panfletarios cada vez más descarados.

Purden buscar la sentencia la cual lo condena por:
"" «participar e instigar las manifestaciones de 2014», ""

Donde murieron 43 personas (la mayoría a manos de la policía y paramilitares chavistas)...   Lógica de panfletario, si lo condenan por convocar manifestaciones es culpable de los asesinatos cometidos por las órdenes dadas de su amado líder a la policía"
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26944619,18,16.0,--489332--,2019-05-06T21:05:02+00:00,0,7,"#16 ... ¿Como que no estaba preso? ... no has leído un periódico, visto la tele u oído la radio en estos días? .... o quieres trolear."
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26944356,17,4.0,fral,2019-05-06T20:24:58+00:00,0,10,"#4 pasó de estar comodo  encerrado en su propia casa a estar encerrado en cada ajena, aunque eso si, ahora con más posibilidad de montar shows."
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26943571,16,15.0,marioquartz,2019-05-06T18:13:50+00:00,0,9,#15 No estaba en prision. Y en España antes de 1985 tambien había gente en prisión por motivos parecidos...
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26943543,15,14.0,--489332--,2019-05-06T18:05:54+00:00,1,6,#14 ¡No que va! ... por eso estaba en prisión ... por no hacer nada{grin} {grin}
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26942596,14,8.0,marioquartz,2019-05-06T15:35:25+00:00,1,-1,#8 No es delicuente y no ha matado a nadie.
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26942592,13,1.0,marioquartz,2019-05-06T15:34:55+00:00,1,-1,"#1 No es un traidor y simplemente hace cumplir la ley. Esa que no cumple el ""democrata"" Maduro."
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26942251,12,,HimiTsü,2019-05-06T14:43:39+00:00,1,12,"En mi casa , se ha entendido por.: "" impresentable "" a una persona que, no gozaria de nuestro favor ni simpatía y de la que no nos haramos valedores ante ningún otro. Especialmente, si este otro es un amigo o conocido.  Alguien a quien nunca diriamos que acuda a ninguna parte en nuestro nombre o mencionandonos como una credencial. IMPRESENTABLE."
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26941733,11,,Amonamantangorri,2019-05-06T13:16:40+00:00,0,12,"Traducción: ""A ver cómo sacamos la pata""."
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26941676,10,6.0,--419859--,2019-05-06T13:09:18+00:00,1,30,#6 ¿Un pre-Asange? {troll}
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26941648,9,,--587910--,2019-05-06T13:06:11+00:00,2,25,"Deberían abonarle un plus de peligrosidad al embajador, por tener que convivir con un criminal que al menor descuido puede cortarle el cuello..."
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26941566,8,2.0,--489332--,2019-05-06T12:55:03+00:00,3,34,#2 ... pero un delincuente condenado por 43 homicidios y ahora buscado por un golpe de estado no es eso ...
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26941490,7,5.0,sorrillo,2019-05-06T12:42:29+00:00,2,38,"#5 Se otorgó la nacionalidad española a sus padres, el padre también llamado Leopoldo López: https://www.lainformacion.com/asuntos-sociales/familia/espana-concede-la-nacionalidad-a-los-padres-de-leopoldo-lopez_hbw8hLrVRlO4Wg0wrw3yI4/"
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26941410,6,,--394145--,2019-05-06T12:34:04+00:00,2,41,Y lo que estan haciendo entonces como lo llaman?
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26941397,5,,Rhaeris,2019-05-06T12:32:30+00:00,0,9,¿ Este señor no tiene la nacionalidad española?
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26941365,4,,--334312--,2019-05-06T12:28:21+00:00,1,20,"¿Entonces todo ese espectáculo circense del ""alzamiento militar"" para liberar a Leopoldo con algunos muertos y heridos para nada?"
inmigracion,https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,3123200,26941358,3,,Pasoto,2019-05-06T12:27:02+00:00,2,31,"No es asilo pero que se quede. Una asilito pequeñito.

(Con paellas como la del otro día yo me habría ido antes de que nada)"
