tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38720459,24,,Bravok1,2023-06-28T12:20:28+00:00,0,7,Pero y lo feliz que está almeida con su nueva novia 20 años más joven y lo guapa que está ayuso y las fotos chulis que se hace? eso es lo que les importa a los madrileños.
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38720244,23,22.0,Ratoncolorao,2023-06-28T11:57:24+00:00,0,19,"#22 Ir contra la ley trans es ir contra los derechos humanos. 
Denuncia? Te refieres a la denuncia que habéis `puesto los machotes contra las leyes de Montero porque van en contra de la igualdad?"
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38720191,22,21.0,GorrinoRosso,2023-06-28T11:52:32+00:00,0,7,"#21 ""Lo contrario no va contra los derechos humanos, esa es la diferencia.""

Almeida va contra los derechos humanos? Y que hacéis los que creéis eso que no le estais poniendo ya una denuncia? A ver si es que no va a ser verdad..."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38720163,21,19.0,Ratoncolorao,2023-06-28T11:49:51+00:00,0,19,"#19 Lo contrario no va contra los derechos humanos, esa es la diferencia.
Solo por lo que hizo Ayuso en rueda de prensa gastando bromas transfobas con sus consejeros  ( ""Tendremos a Enriqueta López o Enriqueta Ossorio"") ya tendría que servir para ver la mierda homófoba que tiene en la cabeza. Ahora resulta que para la campaña se ha olvidado de todo eso y lo que pasa es que nos gusta lloriquear. YA."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38720115,20,17.0,Ratoncolorao,2023-06-28T11:45:18+00:00,0,19,"#17 Para identarismo el de la españolidad. Ahora va a tener la culpa el colectivo LGTBI de dividir a los trabajadores, no te joe. Inventa otra excusa que esa apesta. Y si hay un lobby victimista en este país es el de los voxquimanos que se pasan el día llorando  porque les quitan los valores pero los primeros que quieren quitar del mapa a alguien son ellos. Solo por la mierda de pancarta que apesta a nazismo que pusieron la calle Alcalá ya hay razón suficiente como para salir a las calles.
Con la inclusión forzada... ¿Te refieres a las hostias que nos daban a muchos de pequeños que nos hicieron sentir que formábamos parte del colectivo de los maricones cuando ni siquiera sabíamos lo que signficaba la palabra? Es eso? Porque muchos de los que me daban hostias a mí de pequeño ahora son de VOX y tienen los santos cojones de acusarnos a mí y a otros de víctimistas.
PD; la ley trans también es respetar a las personas LGTBI y bien que a muchos les jode."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38720073,19,18.0,GorrinoRosso,2023-06-28T11:42:08+00:00,0,7,#18 tampoco es que hacer lo contrario le haya servido de mucho a otros.
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38720055,18,15.0,Ratoncolorao,2023-06-28T11:40:51+00:00,0,19,"#15 Que hay que reconocer que al contrario que la izquierda contra Ayuso, la campaña de IDA contra la gente trans está siendo todo un éxito: haciendo bromitas transfobas en ruedas de prensa, diciendo que no existe la homofobia o poniendo como parte fundamental de su legislatura que va a derogar la ley trans. Vamos, que con esos mimbres como para no sospechar de sus intenciones."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38720031,17,16.0,IkkiFenix,2023-06-28T11:38:48+00:00,0,13,"#16 En contra del hembrimso más bien. En cuanto al orgullo o los derechos LGTB no tengo nada en contra, lo tengo contra los identitarismos que dividen a los trabajadores, la inclusión forzada y el continuo victimismo cuando España es uno de lso países donde se respetan más los derechos de las personas homosexuales (y me alegro de que sea así)."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719994,16,13.0,Ratoncolorao,2023-06-28T11:33:13+00:00,0,19,"#13 Teniendo en cuenta que tienes el historial de comentarios lleno de cosas contra el Orgullo, el colectivo LGTBI o el feminismo...Vaya si hay que reinvindicar...Aunque solo sea por ver a gente como tú echar espumarajos por la boca."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719988,15,14.0,GorrinoRosso,2023-06-28T11:32:28+00:00,0,7,#14 wtf? no entiendo nada. Que tipo de argumento es ese?
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719977,14,9.0,Ratoncolorao,2023-06-28T11:31:31+00:00,0,19,"#9 Claro, porque la campaña contra la gente trans de Ayuso está siendo un éxito...Bien que en su primera legislatura se fue a Chueca a mamporrear votos.
Y por cierto, qué gracioso lo de quejarse del lloriqueo de los demás cuando lo tuyo es una rabieta de niño de tres años..."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719939,13,1.0,IkkiFenix,2023-06-28T11:28:04+00:00,0,13,"#1 Lo es, sobretodo cuando en el fondo no es más que una macro-fiesta en la que poco queda que revindicar (en España) salvo el absurdo identitarismo. Pero el mejor ariete del gaypitalismo para alcanzar su incuestionable hegemonía ha sido, según Shangay, el Orgullo Gay. La primera manifestación homosexual en el Estado tuvo lugar en las Ramblas de Barcelona, en junio de 1977, y acabó disuelta a golpes por la policía. Al año siguiente, cuando se celebra en Madrid, unas 600 personas, principalmente gays y transexuales, están en la cárcel por vulnerar la Ley de Peligrosidad Social. Desde principios de los 90, la manifestación empieza a popularizarse y a mediados de aquella década comienza su inexorable mercantilización a lomos de las carrozas. https://www.lamarea.com/2016/09/23/la-comunidad-al-gaypitalismo/"
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719591,12,7.0,--461414--,2023-06-28T10:45:39+00:00,1,20,"#7 habrá que esperar para ver el resultado, igual provoca que muchos no vayan o que muchos que no iban ahora vayan, esperemos y tendremos la respuesta"
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719568,11,6.0,GorrinoRosso,2023-06-28T10:43:18+00:00,0,7,#6 el karma está para eso. Callarse para que no me quiten karma no parece la mejor manera de defender ninguna idea.
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719559,10,4.0,Jesucripto,2023-06-28T10:42:16+00:00,0,6,"#4 Pues esos son los colores de la bandera de los osos gays, creo que por los colores de la piel de oso negro, pardo y polar. {troll}"
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719542,9,1.0,GorrinoRosso,2023-06-28T10:40:46+00:00,0,7,"#1 no parece, lo es. Pero ¿para qué? la campaña contra Almeida o contra Ayuso de la izquierda se ha demostrado un colosal fracaso."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719527,8,4.0,--75126--,2023-06-28T10:38:17+00:00,0,10,"#4 pues me parecería cojonudo, salvo porque no me mola nada el pimiento {troll}"
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719511,7,,Chinchorro,2023-06-28T10:36:32+00:00,0,8,"No sé yo la gracia que le hará esto a los empresarios que ganan dinerito con el MadO, la fiesta que más beneficio económico deja en Madrid."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719499,6,1.0,strike5000,2023-06-28T10:34:59+00:00,1,19,"#1 Te contestaría, pero seguramente la turba de siempre malinterpretaría mi comentario y me crucificarían a negativos. Que no es que el karma me dé de comer ni nada, pero al final acaba cansando."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719475,5,4.0,jobar,2023-06-28T10:31:28+00:00,0,11,"#4 Es patético y denigrante, han utilizado la paleta de colores del corpus Christi, porque no es que tengan muy mal gusto en diseño es que se avergüenzan de la fiesta y manifestación más grande de Madrid por su sectarismo e integrismo religioso, luego se quejan de porqué no les invitan."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719443,4,1.0,Ratoncolorao,2023-06-28T10:27:29+00:00,7,77,"#1 Pues no. Imagina que para representar el 12 de Octubre pusieran un pimiento amarillo y dos pimientos rojos; la que se montaría te daría la verdadera imagen de lo que es llorar...
 Pero es que en la campaña no ponen ni las iniciales LGTBIQ+ ni el arco iris....De hecho, es que no hay ninguno de los colores del arco iris, han escogido precisamente los que no puedan relacionarse. Podría ser perfectamente la verbena de la Paloma."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719432,3,,MisterToad,2023-06-28T10:26:10+00:00,1,16,"Esto se lee nada más entrar a la web del evento: ""Del viernes 23 de junio al domingo 2 de julio de 2023. MADO es la gran fiesta del Orgullo LGBTIQ+ un gran festival para celebrar, debatir y mostrar la diversidad, cuyo acto central será la Manifestación Estatal del Orgullo LGBTIQ+""."
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719423,2,,Cehona,2023-06-28T10:24:59+00:00,2,47,Anterior corporación podía poner la excusa de acuerdos con Vox. Ahora no le hace falta y ha enseñado su verdadera patita.
lgtbi,https://www.meneame.net/story/ni-identidad-ni-diversidad-almeida-vacia-reivindicaciones-lgtbiq,3829090,38719407,1,,cenutrios_unidos,2023-06-28T10:23:09+00:00,12,70,A ver...¿Esto no parece ya un poco de lloro?
