tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/limpio-culo-bandera-gay-respuesta-cocinero-expulsado-salon-manga,3781715,37829071,24,21.0,--705521--,2023-02-19T23:52:49+00:00,0,7,"#21 Euskal Herria, por favir"
lgtbi,https://www.meneame.net/story/limpio-culo-bandera-gay-respuesta-cocinero-expulsado-salon-manga,3781715,37806496,23,,Rokadas98,2023-02-16T17:44:18+00:00,0,7,"Será cochino él tipo, cualquiera va a comer a su restaurante."
lgtbi,https://www.meneame.net/story/limpio-culo-bandera-gay-respuesta-cocinero-expulsado-salon-manga,3781715,37805565,22,,Xateru,2023-02-16T15:22:04+00:00,1,14,"Lo que no entiendo es lo de Franco, si lo que más le gustaba eran unos buenos güevos de legionario golpeandole la barbilla."
lgtbi,https://www.meneame.net/story/limpio-culo-bandera-gay-respuesta-cocinero-expulsado-salon-manga,3781715,37805478,21,13.0,MAJASTRABU,2023-02-16T15:14:24+00:00,1,3,"#13 Euskadi, por favor, no Pais Vasco.
Y se escribe ""no follas"", que el corrector te lo ha escrito mal."
lgtbi,https://www.meneame.net/story/limpio-culo-bandera-gay-respuesta-cocinero-expulsado-salon-manga,3781715,37805314,20,15.0,--662254--,2023-02-16T14:58:19+00:00,1,20,"#15 Y que me dices de la cantidad de gays que son machistas, por aquí pululan unos cuantos, da igual la tendencia sexual que tengan, idiotas los hay en todas partes."
lgtbi,https://www.meneame.net/story/limpio-culo-bandera-gay-respuesta-cocinero-expulsado-salon-manga,3781715,37805302,19,10.0,Franlloirrain,2023-02-16T14:57:22+00:00,1,20,#10 {lol} {lol} {lol} me ha llegado ya con la voz de Pablo Carbonell
lgtbi,https://www.meneame.net/story/limpio-culo-bandera-gay-respuesta-cocinero-expulsado-salon-manga,3781715,37805218,18,,gotxi85,2023-02-16T14:47:07+00:00,0,7,Dime lo homofóbico que eres y te diré lo gay que eres.
lgtbi,https://www.meneame.net/story/limpio-culo-bandera-gay-respuesta-cocinero-expulsado-salon-manga,3781715,37805213,17,,--693395--,2023-02-16T14:45:37+00:00,1,9,"Menuda noticia, babosadas de un calientacazos borracho.

¿Es que no hay otros temas?"
lgtbi,https://www.meneame.net/story/limpio-culo-bandera-gay-respuesta-cocinero-expulsado-salon-manga,3781715,37805150,16,11.0,amimeconvirtioengrillo,2023-02-16T14:37:17+00:00,2,23,#11 entre este y el de Txapote no juntan 3 neuronas
lgtbi,https://www.meneame.net/story/limpio-culo-bandera-gay-respuesta-cocinero-expulsado-salon-manga,3781715,37805082,15,,BastardWolf,2023-02-16T14:31:17+00:00,0,11,Yo he llegado a conocer algun gay asi de gilipollas y me parece flipante que tengan tanta homofobia interiorizada como parte de sus pensamientos.
lgtbi,https://www.meneame.net/story/limpio-culo-bandera-gay-respuesta-cocinero-expulsado-salon-manga,3781715,37805046,14,,--8899--,2023-02-16T14:27:44+00:00,1,23,"Pues nada, puesto que afirma que Franco tenía razón, propongo que le encierren durante dos años en un ""reformatorio"", como se hacía en ese ""periodo de extrema placidez"" con todos los homosexuales."
