tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/mas-53-000-migrantes-irregulares-llegan-espana-2023-segundo-dato,3891698,39943596,15,14.0,ChadMendez,2023-12-30T18:09:05+00:00,1,17,"#14 no estamos en el paraíso, pero por instagram parece eso.
Y luego, al margen de la teatralidad de mi comentario, la promesa de placeres aquí respecto al desastre que es eso es innegable.
Serás de los que dices: si si, se graban en la patera con un iphone{lol} {lol}"
inmigracion,https://www.meneame.net/story/mas-53-000-migrantes-irregulares-llegan-espana-2023-segundo-dato,3891698,39943014,14,7.0,--763598--,2023-12-30T16:01:03+00:00,0,7,"#7 Nada se puede hacer contra gente que prefiere morir por llegar al ""paraíso"" que beber agua de un charco marrón ni ellos beben agua de charcos marrones (no has estado en un tu vida en Africa, Hulio...) y ni mucho menos tú vives en el ""paraiso"" (la ignorancia es el motor de nuestra sociedad)

doble engaño para subnormales, el sistema está triunfando {wall}"
inmigracion,https://www.meneame.net/story/mas-53-000-migrantes-irregulares-llegan-espana-2023-segundo-dato,3891698,39942988,13,2.0,--763598--,2023-12-30T15:57:11+00:00,0,7,#2 pero menos cantidad por persona {troll}
inmigracion,https://www.meneame.net/story/mas-53-000-migrantes-irregulares-llegan-espana-2023-segundo-dato,3891698,39938385,12,,Ofendidito,2023-12-29T17:38:16+00:00,0,7,"Joder, vamos tarde a poner a la marina a patrullar y desviar todas esas pateras y cayucas hacia África.
Parecemos una puta ONG."
inmigracion,https://www.meneame.net/story/mas-53-000-migrantes-irregulares-llegan-espana-2023-segundo-dato,3891698,39937111,11,6.0,Urasandi,2023-12-29T13:38:37+00:00,1,21,#6 Incluso pueden ser oblongos.
inmigracion,https://www.meneame.net/story/mas-53-000-migrantes-irregulares-llegan-espana-2023-segundo-dato,3891698,39936659,10,6.0,Lekuar,2023-12-29T12:28:01+00:00,1,10,#6 Inmigrantes escalenos.
inmigracion,https://www.meneame.net/story/mas-53-000-migrantes-irregulares-llegan-espana-2023-segundo-dato,3891698,39936183,9,,Sigo_intentandolo,2023-12-29T11:18:29+00:00,0,7,"África... Crecimiento demográfico descontrolado, sus recursos naturales controlados/saqueados por empresas que no dejan dinero en local...

¿Exactamente que nos hace pensar que cientos de millones de personas en condiciones de miseria absoluta se van a quedar en su chavola mientras nos ven a nosotros por la tele/movil tirar a la basura todos los días más calorías de las que comen ellos en una semana???"
inmigracion,https://www.meneame.net/story/mas-53-000-migrantes-irregulares-llegan-espana-2023-segundo-dato,3891698,39936078,8,,kumo,2023-12-29T11:04:07+00:00,0,10,"Pero esto tampoco es un problema, por lo que se ve..."
inmigracion,https://www.meneame.net/story/mas-53-000-migrantes-irregulares-llegan-espana-2023-segundo-dato,3891698,39936064,7,5.0,ChadMendez,2023-12-29T11:02:31+00:00,1,14,"#5 es un fenómeno imparable.
Y qué quieres que te diga. Por un lado todos tememos al colapso en este lado de la valla. Pero si haces zoom hacia afuera, un mundo de dos velocidades, con las redes sociales haciendo de escaparate sobre cómo se vive aquí, estaba claro que no iba a funcionar
Nada se puede hacer contra gente que prefiere morir por llegar al ""paraíso"" que beber agua de un charco marrón
Siempre es el mismo ciclo: amasamiento de riquezas por parte de un imperio y decadencia por las oleadas de quienes quieren sentarse al mismo festín.
Y quien quiera vender otra cosa, es un populista engañabobos"
inmigracion,https://www.meneame.net/story/mas-53-000-migrantes-irregulares-llegan-espana-2023-segundo-dato,3891698,39936061,6,,diablos_maiq,2023-12-29T11:02:03+00:00,7,62,Recordemos que inmigrantes irregulares son aquellos que no tienen todos los lados iguales.
