tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/espana-recibira-87-refugiados-procedentes-grecia-pero-aun-faltan,2600382,19298091,72,57.0,--427498--,2016-04-19T16:35:25+00:00,0,7,"#57 Países vecinos a los que no hay que jugarse la vida cruzando el mar y con los que comparten valores cultura y religión.

¿A ti te parecería normal que cuando la guerra de los Balcanes los refugiados se hubiesen ido cruzando el mar a Libia?"
inmigracion,https://www.meneame.net/story/espana-recibira-87-refugiados-procedentes-grecia-pero-aun-faltan,2600382,19297319,71,31.0,--464038--,2016-04-19T15:14:26+00:00,0,7,"#31 En ningún país civilizado permiten que emigrantes ocupen los trabajos de sus ciudadanos pero aquí si se permite además sufriendo un paro descomunal todo por lo que ya sabemos..., ¿no va a pasar lo mismo con estos refugiados?,¿no van a proporcionarles trabajo, educación y vivienda ? , por cierto me gustaría verte a ti pidiendo refugio en sus países cuando las cosas les iban bien, ¿no se supone que somos iguales?,porque ellos no te iban a tratar del mismo modo."
inmigracion,https://www.meneame.net/story/espana-recibira-87-refugiados-procedentes-grecia-pero-aun-faltan,2600382,19296754,70,69.0,--234048--,2016-04-19T14:14:08+00:00,0,16,"#69 Es que yo ya no trabajo fisicamente... Ahora me toco los huevos a 2 manos de forma que puedo menear a gusto la mayor parte de mi horario laboral... o juguetear online.

Pero que no se entere mi jefe... Que me echa!!!

Y te creo. Se que estas en Grecia porque soy el primer ministro de allí... Por si no lo sabes. {grin}"
inmigracion,https://www.meneame.net/story/espana-recibira-87-refugiados-procedentes-grecia-pero-aun-faltan,2600382,19296733,69,68.0,oswald82,2016-04-19T14:11:52+00:00,0,6,"#68 O sea que eres de los que piensan que tú trabajas y el resto no trabaja...muy bien muchacho, vas muy bien encaminado. Estás cumpliendo con todos y cada uno de los tópicos del cuñado castizo que va de listo. Dime más, que me estás poniendo...además, para más señas y que te lo prepares bien: soy Andaluz y vivo (y trabajo, por cierto) en Grecia...lo tengo todo eh?"
inmigracion,https://www.meneame.net/story/espana-recibira-87-refugiados-procedentes-grecia-pero-aun-faltan,2600382,19296665,68,55.0,--234048--,2016-04-19T14:06:07+00:00,0,16,"#55 Como nunca has hecho nada parecido es evidente que no sabes que aun con guantes te haces daño en las manos... cuando lo haces durante horas y horas. 

Se llama trabajar... Si algún día lo pruebas, verás como es... {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}"
inmigracion,https://www.meneame.net/story/espana-recibira-87-refugiados-procedentes-grecia-pero-aun-faltan,2600382,19296656,67,58.0,--234048--,2016-04-19T14:04:54+00:00,0,16,"#58 Ah ya... como no pienso como tú entonces soy ( el insulto que mas te ayude a sobrellevar la realidad ).

Veo que tengo que usar esto a menudo... Queda bien. {grin}"
inmigracion,https://www.meneame.net/story/espana-recibira-87-refugiados-procedentes-grecia-pero-aun-faltan,2600382,19296650,66,60.0,--234048--,2016-04-19T14:04:03+00:00,0,16,"#60 ¿unos u otros? 

¿no será que eres incapaz de leer ""primero unos y luego otros""?"
inmigracion,https://www.meneame.net/story/espana-recibira-87-refugiados-procedentes-grecia-pero-aun-faltan,2600382,19296641,65,61.0,--234048--,2016-04-19T14:03:14+00:00,0,16,#61 ¿como crees que se cargan los camiones cuando llevas cajas y cajas de diferentes tamaños? ¿crees que se pone el camión vertical y se van colocando solas?
inmigracion,https://www.meneame.net/story/espana-recibira-87-refugiados-procedentes-grecia-pero-aun-faltan,2600382,19296639,64,63.0,--511087--,2016-04-19T14:03:12+00:00,0,6,"#63 No, vete a Público mejor {palm}"
inmigracion,https://www.meneame.net/story/espana-recibira-87-refugiados-procedentes-grecia-pero-aun-faltan,2600382,19296604,63,62.0,oswald82,2016-04-19T14:00:14+00:00,0,6,"#62 Me has convencido {clap} Voy a echar un vistazo en el abc y la gaceta, seguro que ahí tienen datos fiables al respecto..."
