tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39553477,15,8.0,BM75,2023-10-27T13:12:20+00:00,0,8,#8 Ojalá.
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39533136,14,13.0,Guanarteme,2023-10-24T15:53:15+00:00,0,17,"#13 Ahí hubo el último ""peak"", pero la emigración a América fue desde la colonización europea hasta principios de los ochenta....

Y a día de hoy continúa la sangría hacia las dos islas capitalinas...."
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39533094,13,12.0,manbobi,2023-10-24T15:47:38+00:00,1,33,#12 En los años 40-50 por la sequía.
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39533029,12,1.0,Guanarteme,2023-10-24T15:39:15+00:00,2,23,"#1 Y lo que tuvieron que emigrar.... Además en embarcaciones similares, lo que cambiando el motor por la vela....."
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39532796,11,9.0,--723633--,2023-10-24T15:01:37+00:00,0,10,"#9 Hombre, si es ""Fachas por el mundo"" tendrá que presentarlo Carlos Herrera que vive en Somalia, ¿no? {troll}"
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39532578,10,,Borgiano,2023-10-24T14:21:06+00:00,0,8,Ya se sabe que los Greyjoy siempre han sido un poco brutos.
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39532347,9,7.0,Verdaderofalso,2023-10-24T13:41:40+00:00,1,30,"#7 el problema es que presentador pones al mando del programa, porque hay demasiados candidatos"
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39532289,8,,Escafurciao,2023-10-24T13:29:44+00:00,0,8,Próximamente en memeame
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39532277,7,5.0,--723633--,2023-10-24T13:26:50+00:00,4,75,"#5 {lol} ""Fachas por el mundo""
Lo veo."
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39532264,6,5.0,alfre2,2023-10-24T13:24:14+00:00,1,21,#5 basta con hacerle colaborar en tareas de atención. Una semana ayudando en asistencia de primera mano le cambia las impresiones a cualquiera
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39532248,5,,skaworld,2023-10-24T13:21:08+00:00,6,103,"Deberían impartir penas mas divertidas pa este tipo de cosas.

Se le retiene el pasaporte, se le requisa el movil y se le bloquean las cuentas, luego se le abandona en un pueblo en Somalia a su cuenta con lo puesto y ahora regresa a casa y experimenta en tus propias carnes el gozo de ser un ilegal sin recursos intentando acceder a Europa.

Y si lo televisan ya sería la ostia. Te regalo la idea Telecinco. Yo lo llamaría ""Fascista a la Vista"" y como logo un cayuco"
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39532240,4,,ElenaTripillas,2023-10-24T13:19:02+00:00,2,46,Ya era hora que se tomara alguna medida contra alguno porque algunos confunden la libertad de expresión con violar derechos humanos básicos {blank}
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39532237,3,2.0,manbobi,2023-10-24T13:18:34+00:00,10,142,"#2 Da igual el periódico local que pilles, siempre hay el típico exaltado ultracentrado multicuenta preocupado por las cosas importantes"
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39532216,2,,--723633--,2023-10-24T13:14:17+00:00,4,66,No hay cárcel para tanto astroturfer.
inmigracion,https://www.meneame.net/story/detienen-hombre-hierro-fomentar-odio-hacia-inmigrantes-redes,3868933,39532207,1,,manbobi,2023-10-24T13:12:31+00:00,1,33,Que sigan por los comentaristas de la noticia... Con lo majos que son los Herreños!
