tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/detenido-yihadista-400-000-seguidores-redes-alentaba-atacar,3872376,39596546,24,22.0,OriolMu,2023-11-03T20:08:40+00:00,0,9,"#22 ¿Sabes si ha actuado a título propio o era un verdugo?

Echo mucho en falta la comprensión lectora del meneante medio. Vuelve a leer mi comentario, por favor, dónde digo que casualmente todos los estados que a día de hoy aplican la pena de muerte para casos de homosexualidad son de la religión innombrable en menéame ."
lgtbi,https://www.meneame.net/story/detenido-yihadista-400-000-seguidores-redes-alentaba-atacar,3872376,39596195,23,21.0,salchipapa77,2023-11-03T19:02:30+00:00,0,7,#21 Claro. Se me olvidó especificarlo.
lgtbi,https://www.meneame.net/story/detenido-yihadista-400-000-seguidores-redes-alentaba-atacar,3872376,39596027,22,9.0,Ghandilocuente,2023-11-03T18:30:37+00:00,0,7,"#9 Jerusalem Gay Pride: Six stabbed 'by ultra-Orthodox Jew' https://www.bbc.com/news/world-middle-east-33726634

Apuñalamientos de amor,. que nada tienen que ver con la religion,  segun tu.
Hay ejemplos a patadas, pero eh...  tu a tu bola!"
lgtbi,https://www.meneame.net/story/detenido-yihadista-400-000-seguidores-redes-alentaba-atacar,3872376,39595874,21,12.0,rafael90,2023-11-03T17:55:45+00:00,0,10,"#12 ""Israel es el único país en el que puedes ser abiertamente trans...""

El único país de oriente próximo, supongo que querías decir"
lgtbi,https://www.meneame.net/story/detenido-yihadista-400-000-seguidores-redes-alentaba-atacar,3872376,39595623,20,17.0,--764338--,2023-11-03T17:04:11+00:00,0,8,#17 gracias por la aclaración Turuleto.
lgtbi,https://www.meneame.net/story/detenido-yihadista-400-000-seguidores-redes-alentaba-atacar,3872376,39595555,19,9.0,Shinu,2023-11-03T16:54:00+00:00,3,38,#9 El otro día en Londres a alguien se le ocurrió la brillante idea de sacar una bandera arcoíris en una manifestación pro-Palestina y tuvo que salir por patas {lol}
lgtbi,https://www.meneame.net/story/detenido-yihadista-400-000-seguidores-redes-alentaba-atacar,3872376,39595500,18,15.0,salchipapa77,2023-11-03T16:44:10+00:00,0,7,#15 Totalmente de acuerdo contigo. Pero es que hay un usuario que me tiene en ignorados haciéndonos creer que los judíos de Israel tratan igual al colectivo lgbti que en los países musulmanes. No sé con qué intenciones.
lgtbi,https://www.meneame.net/story/detenido-yihadista-400-000-seguidores-redes-alentaba-atacar,3872376,39595495,17,,turuleto,2023-11-03T16:42:58+00:00,1,17,"Ghandilocuente #_7 Ghandilocuente
#6 ""La homosexualidad es un tema de debate dentro del judaísmo. Las primeras referencias se remontan al libro bíblico de Levítico que describe las relaciones sexuales entre varones como una «abominación» y que amerita la pena capital como castigo."" Israel y especialmente Tel Aviv son paraísos para las personas LGTBI, que pueden vivir allí su sexualidad libremente y sin problemas.
No así en Palestina.

Deja de manipular con supuestas citas de hace 2000 años. La realidad es la que es, manipulador."
lgtbi,https://www.meneame.net/story/detenido-yihadista-400-000-seguidores-redes-alentaba-atacar,3872376,39595492,16,,turuleto,2023-11-03T16:42:29+00:00,0,9,"#-4 Ghandilocuente hace 51 min *
A pudrirse en la sombra.

Por cierto, la policia podria ponerse tambien las pials con estos otros:

""La homosexualidad es un tema de debate dentro del judaísmo. Las primeras referencias se remontan al libro bíblico de Levítico que describe las relaciones sexuales entre varones como una «abominación» y que amerita la pena capital como castigo.""
es.wikipedia.org/wiki/Homosexualidad_y_judaísmo Israel y especialmente Tel Aviv son paraísos para las personas LGTBI, que pueden vivir allí su sexualidad libremente y sin problemas.
No así en Palestina.

Deja de manipular con supuestas citas de hace 2000 años. La realidad es la que es, manipulador."
lgtbi,https://www.meneame.net/story/detenido-yihadista-400-000-seguidores-redes-alentaba-atacar,3872376,39595489,15,11.0,--759667--,2023-11-03T16:42:08+00:00,1,14,"#11 es evidente que lo peor que te puede pasar siendo mujer o lgtbi es vivir en un país de mayoría musulmana, nadie con dos dedos de frente va a negar el retraso a lo que derechos humanos se refiere en según que países, pero eso no significa que Israel pueda bombardear indiscriminadamente a personas inocentes, los derechos humanos son universales."
lgtbi,https://www.meneame.net/story/detenido-yihadista-400-000-seguidores-redes-alentaba-atacar,3872376,39595480,14,11.0,salchipapa77,2023-11-03T16:41:28+00:00,0,7,"#11 #12 jaja me ha puesto en ignorados el tal gandilocuente. Madre mía qué infantil es la gente.
Mis comentarios eran respuestas a sus intentos de manipulación."
