tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26429570,67,66.0,--455200--,2019-02-22T08:50:57+00:00,0,6,"#66 Me gusta como te defines, no has sido agresivo conmigo, por eso espero no ser agresiva contigo. 
Quizás tu no te metes en política pero la política se mete contigo. Yo no me asumía feminista hasta que comprendí como el machismo restringía mi vida y la de muchas mujeres cercanas. El machismo hay que limpiarlo como se debe limpiar cualquier tipo de abuso y aprovechamiento ajeno por imposición de la fuerza (ya lo dice la declaración internacional de derechos humanos). Estas actitudes son condenables, pero cuando están entrelazadas con el tejido social entonces aparecen los debates. Matar y torturar a los toros es una aberración pero como esta basado en tradiciones entonces hay quienes defienden que eso es respetable. Lo mismo pasa con el machismo. Es una aberración de mas de mil años que hoy aun muchos creen que es correcta y respetable. Pero desde el momento que condiciona la libertad de otra persona a la m.... las tradiciones. 
Lo de no tomarme las cosas tan en serio es un buen consejo.
Que vaya bien."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26428032,66,65.0,automatix,2019-02-21T22:40:48+00:00,0,10,"#65 Un insulto es reportable, tienes un icono para reportarlo, una amenaza es un delito, todo lo demás ocurre cuando sales de la cámara de eco, de tu zona de confort, hay que asumir que el facebook de cada uno no refleja la realidad.

- El mundo no puede ser machista, los individuos pueden ser machistas.
- No soy machista, y hasta ahí llega mi contribución, no soy cristiano y no he heredado ningún pecado de mis padres, de mi sociedad, de mi pais, de mi cultura y mucho menos de mi género. Soy responsable de lo que hago, de cumplir la ley y de como gasto mi dinero. No me voy a involucrar en la cruzada postmoderna con la que han jodido a la izquierda por los próximas décadas. Y soy y me siento de clase obrera.
- Y dale con ""limpiar"", si tus argumentos son buenos ganarán, pero no puedes borrar lo que no te gusta porque ese es el camino a la locura. Te recomiendo esta entrevista:

https://www.letraslibres.com/espana-mexico/politica/entrevista-daniel-innerarity-tratar-gente-que-no-piensa-como-nosotros-impide-que-nos-volvamos-locos

Y no te tomes lo que veas aquí muy en serio, el karma no se puede cambiar por nada fuera de aqui. Si he parecido agresivo te pido disculpas, que pases buen fin de semana."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26425107,65,64.0,--455200--,2019-02-21T15:04:12+00:00,0,6,"#64 pues repasa mis comentarios y mira la cantidad de agresiones personales que he recibido EN ESTE SITIO x mis comentarios y luego hablamos. Yo no vine aqui a limpiar nada pero ahora veo que si hace falta una buena limpieza.

Ya que no eres machista dime:
¿Vivimos en un mundo machista si o no? 
¿aceptas el machismo en la sociedad o te involucras x el cambio?
Limpiemos juntos el machismo de este sitio."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26424807,64,63.0,automatix,2019-02-21T14:33:28+00:00,1,13,"#63 no, no soy machista, pero cada vez que leo la palabra ""LIMPIAR"" me da dentera. Soportar opiniones que no te gustan viene con el paquete completo de la libertad de expresión para no llegar a esto:

https://www.google.com/url?sa=i&source=web&cd=&ved=2ahUKEwjw_eCWhc3gAhURvxoKHS-jDQIQzPwBegQIARAC&url=https%3A%2F%2Felpais.com%2Finternacional%2F2015%2F11%2F19%2Festados_unidos%2F1447942381_757599.html&psig=AOvVaw32euTxtwZHVWnHifec9ip8&ust=1550845861677134

Y tener que acabar soportando estupideces manifiestas como la apropiación cultural."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26421534,63,62.0,--455200--,2019-02-21T08:21:54+00:00,0,6,"#62 no me has contestado. Yo quiero limpiar el machismo en el mundo. No solo aqui. Es curioso xk nadie se asume machista pero todos se sienten tocados. X eso mi pregunta. No tengo nada en contra de los hombres ni de sus cualidades masculinas. Me gustan. Aunque no siempre pero son naturales y las acepto como espero k se acepten las cualidades femeninas. Pero el machismo maldito que ha jodido el mundo, a miles de mujeres y ha retrasado la evolución, eso no lo tolero. El machismo es enemigo de todos. El problema es que la masculinidad y el machismo estan entrelazados x tradicion y nadie sabe separalos. X eso los hombres suelen sentirse tocados cuando no deberian. Hay hombres modernos que son feministas y masculinos a la vez. Jovenes x cierto. Entonces, ahora me vas a contestar?"
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26420488,62,61.0,automatix,2019-02-21T00:11:12+00:00,0,10,"#61 Solo me interesa como piensas ""limpiar este sitio""."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26419947,61,54.0,--455200--,2019-02-20T22:07:12+00:00,0,6,"#54 yo no dije espacio seguro. Segura ya estoy. Yo dije ""acabar con el machsimo"". Tu eres machista? Tengo argumentos de sobra."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26419465,60,33.0,--600467--,2019-02-20T20:54:16+00:00,0,12,"#33 Si, las abuelas eran muy de planchar todo. Yo no tengo tiempo (ni ganas)."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26418836,59,39.0,hinan,2019-02-20T19:15:01+00:00,0,7,"#39 No se me ocurre cómo podría ser aún más legal de lo que es. Eso de ""alegal"" es una estupidez."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26418557,58,56.0,Sulaco,2019-02-20T18:35:00+00:00,0,10,"#56 bla, bla, bla,....que si, hombre, que si, aquí nos conocemos todos, todas y todes."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26418518,57,39.0,Sulaco,2019-02-20T18:30:57+00:00,0,10,"#39 si no es ilegal, es legal.

Nadie puede imponerte ningún castigo por ejercerla. Salvo en situaciones expresamente indicadas en la L.O.P.S.C."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26418508,56,55.0,--32547--,2019-02-20T18:29:55+00:00,0,20,#55 Debes de pensar que me chupo el dedo. Pobre.
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26418487,55,8.0,Sulaco,2019-02-20T18:27:17+00:00,0,10,"#8 en mi casa ninguno plancha las bragas, ni ella ni yo, es estúpido.

Por eso ""planchabragas"" tiene unas connotaciones específicas.

Tú burdo intento (otra vez) de retorcer el contexto para deslizar el machismo en mi comentario es patético.

Ale, saca la tabla"
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26418229,54,52.0,automatix,2019-02-20T17:58:43+00:00,1,13,"#52 ¿quieres crear un espacio seguro en meneame?, ¿cómo propones ""hacer limpieza""?."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26418198,53,46.0,rutas,2019-02-20T17:53:55+00:00,0,11,"#46 Tranquilo, que al final habéis conseguido hundir la noticia con vuestros votos negativos.

Aquí un par de noticias de violaciones de inmigrantes que han llegado a portada recientemente:
https://www.meneame.net/story/nueva-manada-provincia-alicante
https://www.meneame.net/story/detenido-menor-tutelado-violar-dos-mujeres-aparcamiento-hospital"
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26418191,52,45.0,--455200--,2019-02-20T17:52:21+00:00,0,6,#45 no entiendo la pregunta
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26418112,51,47.0,--520660--,2019-02-20T17:41:53+00:00,0,12,"#47. Supongo que es para entendernos, como el derecho de tutela sobre las viudas, o el derecho de partición de bienes y sucesorio en los códigos forales.
Unos son leyendas urbanas, otros son particularidades y rarezas que hay que coger con pinzas, porque se dieron fugazmente y a escala local; pero que adoptamos algunos como acerbo común y no debiera serlo.

Como lo de llamar mordaza a la LOPSC. Si la llamo así, no saben ni de qué hablo."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26417970,50,,ctrlaltsupr1,2019-02-20T17:26:43+00:00,0,7,"¿Qué se podía esperar, siendo de Foios?"
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26417921,49,17.0,--89888--,2019-02-20T17:22:03+00:00,0,9,"#17 Pues va a ser que no, que  no  lo defendemos y le deseamos todos los males del infierno. ¿Tienes tan pocas luces como para tener alguna duda al respecto?"
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26417920,48,22.0,--32547--,2019-02-20T17:22:03+00:00,0,20,"#22 Lo mismo se puede decir al revés. ""Buaa, como es español mira como dicen la nacionalidad, si fuera extranjero la ocultarían porque Soros no quiere que se sepa"".

En realidad es estúpido en sí mismo quejarse de hipótesis y supuestos. La cuestión es quejarse, que los ofendiditos igualitarios necesitan hacerlo al menos 20 veces al día."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26417905,47,40.0,--89888--,2019-02-20T17:20:29+00:00,0,9,"#40 Anda que no está en discusión si realmente existió el derecho de pernada como tal derecho alguna vez.
Lo que sí está documentado es nobles que se aprovechaban de que eran ricos y poderosos para hacer algo que estaba efectivamente... prohibido.
Pero que realmente fuera legal en el medioevo lo tienen más en duda..."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26417826,46,,memnon,2019-02-20T17:10:42+00:00,1,22,"Han pasado por aquí decenas de noticias de violaciones de inmigrantes a españolas y creo que ninguna ha llegado a portada. Pero, claro, ésta, al ser al revés, ahí está."
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26417795,45,37.0,automatix,2019-02-20T17:07:08+00:00,1,19,#37 ¿Espacio seguro?
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26417773,44,13.0,--588378--,2019-02-20T17:03:43+00:00,0,10,"#13 {lol} {lol} {lol}, {hug}"
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26417706,43,,frigoneto,2019-02-20T16:54:39+00:00,0,6,"¿Un ""señor español"" empleando a sin papeles (pagos en negro y todo tipo de fechorías aseguradas) y usando su españolidad para intentar tapar o justificar delitos?

¡No me lo puedo de creer! /s^/s"
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26417653,42,6.0,cybermouse,2019-02-20T16:49:40+00:00,0,7,"#6 de bandera en el balcón y misa dominical, fijo {grin}"
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26417646,41,8.0,estoyausente,2019-02-20T16:49:08+00:00,0,10,"#8 Hombre indigno no, pero me parece una gilipollez planchar las bragas, los calzoncillos y esas mierdas {grin}"
inmigracion,https://www.meneame.net/story/condenado-violar-inmigrante-eres-sin-papeles-yo-senor-espanol,3086027,26417624,40,19.0,--520660--,2019-02-20T16:46:22+00:00,0,12,"#19. Quizá sí de señorío feudal con derecho de pernada sobre las tiernas mancebas más apetecibles de entre la gleba servil.
Que el pavo nació con ocho o diez siglos de retardo."
