tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/meloni-pide-ayuda-ong-ante-fuerte-aumento-llegadas-migrantes,3844548,39043806,96,2.0,vinola,2023-08-14T10:53:21+00:00,0,7,#2 No dijo esta hace poco que hacían falta inmigrantes en Italia? Pues ya los tiene
inmigracion,https://www.meneame.net/story/meloni-pide-ayuda-ong-ante-fuerte-aumento-llegadas-migrantes,3844548,39041282,95,90.0,apetor,2023-08-13T22:55:08+00:00,0,9,"#90 Bastante mejor ejemplo es Japon, pero Japon si tiene sus prioridades claras."
inmigracion,https://www.meneame.net/story/meloni-pide-ayuda-ong-ante-fuerte-aumento-llegadas-migrantes,3844548,39041274,94,,apetor,2023-08-13T22:53:23+00:00,0,9,"La verdad es que no tienes ni la mas puta idea. Decir lo que dices da mucho karma, supongo. Ponemos un poquito de totum revolutum, lo sazonamos con crisis climatica...
Solucionar se sulociona haciendo de la frontera algo muy impopular. Y si, ya saltaran con memeces de discurso de odio y demas autoengaños, pero ni hablar de eso. Que los haya vendidos a patronales y avaricias varias ? esta claro, pero ni la solucion es dejar que entre esa gente ni es tan dificil frenar eso de raiz."
inmigracion,https://www.meneame.net/story/meloni-pide-ayuda-ong-ante-fuerte-aumento-llegadas-migrantes,3844548,39040951,93,91.0,blid,2023-08-13T21:28:04+00:00,1,19,"#91 El ejercicio interviene los barcos y las personas van directas a un centro de repatriación; y por supuesto, se les retira toda posibilidad de volver a entrar incluso por vías legales.

Lo que tiene que ser vaya. En España la mayoría de la gente se cuela por aire. Son fácilmente identificables, y si se quisiese, un ban permanente y se acabó."
inmigracion,https://www.meneame.net/story/meloni-pide-ayuda-ong-ante-fuerte-aumento-llegadas-migrantes,3844548,39040925,92,,ÚltimoHombre,2023-08-13T21:23:21+00:00,0,7,"Ah, que eres de los que piensa que los inmigrantes vienen si está uno u otro?, pues nada, en Italia dejarán de ir en unos meses, no? Tan fácil como esperar a verlo."
inmigracion,https://www.meneame.net/story/meloni-pide-ayuda-ong-ante-fuerte-aumento-llegadas-migrantes,3844548,39040626,91,70.0,--365783--,2023-08-13T20:10:23+00:00,0,6,"#70 qué hizo Australia?
Aparte, en territorio italiano, dónde puede operar el ejército, tienen que rescatarlos no hundirles el barco. 
Así que sigo esperando la respuesta."
inmigracion,https://www.meneame.net/story/meloni-pide-ayuda-ong-ante-fuerte-aumento-llegadas-migrantes,3844548,39040501,90,,mettro,2023-08-13T19:38:28+00:00,0,7,"no hace falta tener mucha idea, con copiar a Australia que lo tiene solucionado y funciona es suficiente."
inmigracion,https://www.meneame.net/story/meloni-pide-ayuda-ong-ante-fuerte-aumento-llegadas-migrantes,3844548,39040438,89,15.0,neotobarra2,2023-08-13T19:23:18+00:00,1,18,"#15 Bueno, lo que describes es a los fachas de toda la vida.

Un fascista directamente mata u ordena matar a los pobres inmigrantes que intenten entrar al país, ya sea directamente o mediante minas o cualquier otro invento similar. Pero primero probablemente da un golpe de Estado para hacerse con el poder absoluto y no verse molestado por cosas como jueces, constituciones o similares a la hora de poner en práctica semejante barbaridad."
inmigracion,https://www.meneame.net/story/meloni-pide-ayuda-ong-ante-fuerte-aumento-llegadas-migrantes,3844548,39039963,88,24.0,harverto,2023-08-13T17:11:39+00:00,0,10,"#24 Entre nazis sí, desde luego."
inmigracion,https://www.meneame.net/story/meloni-pide-ayuda-ong-ante-fuerte-aumento-llegadas-migrantes,3844548,39039958,87,7.0,harverto,2023-08-13T17:10:44+00:00,1,22,#7 Son incompetentes plenos descubriendo la utilidad de poner puertas al campo.
