tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/madre-cede-vientre-hijo-gay-pueda-ser-padre,3149371,27349350,38,17.0,--609231--,2019-07-06T14:01:06+00:00,0,7,"#17 es q pensaba q una relación sexual era cosa de dos y no de uno a otro. Su vida sexual, creo q machistorra perdida, me interesa lo q a ti la flora."
lgtbi,https://www.meneame.net/story/madre-cede-vientre-hijo-gay-pueda-ser-padre,3149371,27308448,37,36.0,tdgwho,2019-06-30T10:22:14+00:00,0,8,"#36 entonces mi cuerpo no es mio ni mando yo no? ya no pueden usar el argumento contra nadie pues.

compararme ser madre de un amigo, vecino etc con donar organos (que eso si se hace, podrías perfectamente donar el alquiler de tu matriz) con vender organos de forma ilegal..."
lgtbi,https://www.meneame.net/story/madre-cede-vientre-hijo-gay-pueda-ser-padre,3149371,27308405,36,35.0,WarDog77,2019-06-30T10:13:57+00:00,0,10,"#35 y que vendas tus órganos también.  Estos ""libegales""...."
lgtbi,https://www.meneame.net/story/madre-cede-vientre-hijo-gay-pueda-ser-padre,3149371,27308178,35,33.0,tdgwho,2019-06-30T09:35:05+00:00,0,8,"#33 yo la permitiría en todos los.supuestos, no era que en mi cuerpo mando yo? O solo mando en lo que otros me dejan?"
lgtbi,https://www.meneame.net/story/madre-cede-vientre-hijo-gay-pueda-ser-padre,3149371,27307552,34,16.0,xizor,2019-06-30T07:07:39+00:00,0,9,"#16 es un embarazo de riesgo. Mami tiene 45.

¿Esta obviedad es para que me hagas casito?"
lgtbi,https://www.meneame.net/story/madre-cede-vientre-hijo-gay-pueda-ser-padre,3149371,27307325,33,2.0,WarDog77,2019-06-30T03:01:00+00:00,0,10,#2 Uno de los pocos supuestos en los que autorizaria la gestación subrogada: entre familiares directo.  Justo los que quiere capar Cs
lgtbi,https://www.meneame.net/story/madre-cede-vientre-hijo-gay-pueda-ser-padre,3149371,27306927,32,8.0,--31580--,2019-06-29T22:28:48+00:00,0,10,"#8 ok, entonces por esa regla de tres

- Como hay gente que viaja por la autopista a 200 prohibimos los coches... o mejor aun, demolemos las autopistas.

- Como hay gente que usa cuchillos de chef para apuñalar a gente, prohibamos los cuchillos de chef... o mejor, prohibamos todos los utensilios susceptibles de ese uso.

Si alguien trata de hacer un fraude en este tema es suficiente con legislar un sistema de seguimiento sanitario del embarazo y poner unas penas contundentes si se descubren pagos de algun tipo.

Pero negar la posibilidad de ser padres y madres biologicos a mucha gente porque a cuatro memas de pelo violeta les da por competir con los integristas catolicos en tema de reproduccion humana tiene tela.

Pero claro viniendo de gente que piensa que el que haya inocentes encarcelados por denuncias falsas es irrelevante, que podemos esperar.

Y todavia Podemos sigue preguntandose porque se hostio en las elecciones."
lgtbi,https://www.meneame.net/story/madre-cede-vientre-hijo-gay-pueda-ser-padre,3149371,27306885,31,19.0,jorgeesc,2019-06-29T22:17:22+00:00,1,13,"#19 creo que es más bien al revés, cómo hay tráfico de órganos, dejemos que se vendan."
lgtbi,https://www.meneame.net/story/madre-cede-vientre-hijo-gay-pueda-ser-padre,3149371,27306708,30,22.0,--509662--,2019-06-29T21:36:01+00:00,0,9,#22 no está prohibido se lleva a cabo todos a menudo sobre todo en parejas de lesbianas y se llama método ropa.
lgtbi,https://www.meneame.net/story/madre-cede-vientre-hijo-gay-pueda-ser-padre,3149371,27306703,29,10.0,--509662--,2019-06-29T21:34:56+00:00,1,16,"#10 y la subrogación del embarazo, pq el método ropa se lleva a cabo hace muchos años en España, pero la ley española estipula que la filiación se otorga a la mujer que pare, da igual si el embrión no es suyo... y eso crea inseguridad jurídica. Una buena ley tiene que tener en cuenta múltiples aspectos: civorcio, muerte, accidente, malformación, separación etc etc es un tema complejo pero se puede regular y debemos hacerlo, como con la eutanasia o  el aborto, mejor regulado que en el limbo."
