tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27183698,28,22.0,--500647--,2019-06-12T06:38:22+00:00,0,6,"#22 Ríete de él sin miedo, es un subser que intenta proyectar en los demás sus frustraciones e incapacidades. Usa los negativos porque el cerebro no puede así que simplemente ríete y a otra cosa, ya irás calando a la fauna de aquí {lol}"
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27167681,27,26.0,--611039--,2019-06-09T18:41:03+00:00,0,7,#26 tic tac...sigo esperando esa justificación.
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27167669,26,25.0,--611374--,2019-06-09T18:37:04+00:00,0,6,#25 tic tac...sigo esperando ese nombre
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27167657,25,24.0,--611039--,2019-06-09T18:35:01+00:00,0,7,"#24 No, porque no se trata de poner a un tóquen, sino de respetar los derechos civiles. 
Esperando estoy a que consigas blanquear el genocidio que esta cometiendo Israel en Palestina, o que justifiques que ese primer ministro gay financie a ISIS en Siria.

Ya os conocemos muy bien a vosotros y vuestras ridículas manipulaciones."
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27167643,24,23.0,--611374--,2019-06-09T18:30:13+00:00,0,6,"#23 Para decir igualito en Siria me deberías decir un ministro gay en el gobierno, cuñado.
Dejo que lo amplies a un gobierno de un país árabe. Tengo tiempo , crack"
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27167635,23,1.0,--611039--,2019-06-09T18:27:38+00:00,0,7,"#1 Igualito que en Siria, en realidad si, en Siria la homosexualidad no esta penada, cuñado.

¿Sabes que no hacen en Palestina, Iran o Siria? Utilizan la homosexualidad para blanquear su genocidio."
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27167603,22,18.0,--611039--,2019-06-09T18:20:33+00:00,0,7,"#18 Pobre debunker, te habrás quedado sin karma de tanto spamearme negativos {lol}

No, para la izquierda los buenos son los que no cometen genocidios, da igual que sea un islamista asesino de homosexuales, o un colono asesino de palestinos.

Israel no es un estado legítimo, y da igual detrás de cuantos terroristas financiados por la propia Israel te escondas. Nunca lo será."
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27157635,21,15.0,--499519--,2019-06-07T17:40:49+00:00,1,15,"#15 Creo que los gays de los paises de alrededor de Israel, no son muy expansionistas."
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27157440,20,7.0,xizor,2019-06-07T16:59:56+00:00,1,13,"#7 bueno, aqui se cuenta cuantas mujeres hay..."
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27157437,19,6.0,xizor,2019-06-07T16:59:15+00:00,2,12,"#6 una cosa no quita la otra. Israel es una democracia con unos locos con rizitos infiltrados en el parlamento, Gaza es una puta teocracia medieval y Cisjordania es lo que le dejan ser entre los de los rizitos y los barbudos.

Visto asi, me quedo con Israel, aunque no me guste del todo."
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27157404,18,1.0,debunker,2019-06-07T16:53:54+00:00,3,28,"#1 para la #BerdaderaHizkierda los buenos son los que matan a los gays en su país (árabe). Y en España están con ese mismo colectivo que padece persecución por sus tendencias sexuales.
Esquizofrenia, hipocresía, ""no saber atarse los zapatos "" quién sabe!"
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27157204,17,,--596443--,2019-06-07T16:15:08+00:00,0,20,El apartheid inclusivo
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27157187,16,,--544853--,2019-06-07T16:11:08+00:00,1,14,El que sea gay no le redime de ser ministro de un gobierno asesino.
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27157184,15,13.0,--544853--,2019-06-07T16:10:31+00:00,1,14,"#13 Sospecho que lo que menos les da es que sea gay, lo que si que les importa es que son asesinos expansionistas."
lgtbi,https://www.meneame.net/story/primer-ministro-gay-historia-israel,3138758,27157095,14,,Raul_pm,2019-06-07T15:48:35+00:00,0,11,Lo borrarán de las imagenes de los diarios con photoshop como hicieron con las ministras por ser mujeres?
