tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/fallece-pablo-cano-bombero-vallisoletano-implico-atender-lesbos,3111911,26786084,33,20.0,Cassiopeia,2019-04-12T19:50:19+00:00,0,6,"#20 puede, pero en muchas noticias es cáncer y se oculta."
inmigracion,https://www.meneame.net/story/fallece-pablo-cano-bombero-vallisoletano-implico-atender-lesbos,3111911,26783296,32,23.0,--520660--,2019-04-12T12:06:15+00:00,1,18,"#23. Si el humor podemita te irrita, pomadita."
inmigracion,https://www.meneame.net/story/fallece-pablo-cano-bombero-vallisoletano-implico-atender-lesbos,3111911,26780167,31,21.0,--520660--,2019-04-12T00:13:26+00:00,1,29,"#21. No sé si mandarían mucho o poco las autoridades aquellas; pero a los naturales de Lesbos siempre les han podido llamar de tres maneras: lésbicos, lesbianos o lesbios.
Lo que pasa es que, gracias a Safo, pasó a ser un epónimo erótico-sexual y tal.

Supongo que los griegos capearon el temporal según vino; coordinarse con sus archienemigos de toda la vida no se les da nada bien."
inmigracion,https://www.meneame.net/story/fallece-pablo-cano-bombero-vallisoletano-implico-atender-lesbos,3111911,26780152,30,,Belhross,2019-04-12T00:07:12+00:00,1,16,"Pues la verdad es que por un momento creí que sería depresión y suicidio, aunque lo de cáncer, dando fechas concretas cuadrase más, pero no me imaginé que todavía hubiera gente que no llamase al cáncer por su nombre..."
inmigracion,https://www.meneame.net/story/fallece-pablo-cano-bombero-vallisoletano-implico-atender-lesbos,3111911,26779951,29,,--178988--,2019-04-11T22:41:37+00:00,1,12,"Pues lo lamento. Que gente buena y sacrificada se nos vaya siempre es mala noticia.

Pero si la ""enfermedad devastadora"" es cáncer, debería decirse más, y sin tapujos o autocensura. 

Porque es una puta plaga, y en los últimos años se ha llevado a gente buena de verdad, un montón de gente, que conocía bien y que no. Y debería decirse y que se sepa, y que se haga esfuerzo por exponerlo, estudiarlo de forma equivalente a su impacto en la población, y financiar y acelerar estudios que posibiliten la cura."
inmigracion,https://www.meneame.net/story/fallece-pablo-cano-bombero-vallisoletano-implico-atender-lesbos,3111911,26779860,28,25.0,Mateila,2019-04-11T22:11:16+00:00,2,12,"#25 Joder, te he puesto un positivo por error. Lo siento. Te lo compenso en otro comentario."
inmigracion,https://www.meneame.net/story/fallece-pablo-cano-bombero-vallisoletano-implico-atender-lesbos,3111911,26779823,27,,Hjkk,2019-04-11T22:02:06+00:00,0,6,Buena gente. DEP
inmigracion,https://www.meneame.net/story/fallece-pablo-cano-bombero-vallisoletano-implico-atender-lesbos,3111911,26779784,26,,unaqueviene,2019-04-11T21:54:03+00:00,1,3,Le cambiamos por 3. Si dios o el diablo existieran estarían encantados de llevarse a los trifálicos y dejarnos a una buenísima persona.
inmigracion,https://www.meneame.net/story/fallece-pablo-cano-bombero-vallisoletano-implico-atender-lesbos,3111911,26779481,25,14.0,--587910--,2019-04-11T20:52:59+00:00,7,-35,"#14 Porque a lo mejor no es cáncer sino una enfermedad del tercer mundo que le contagió un ""refugiado""."
inmigracion,https://www.meneame.net/story/fallece-pablo-cano-bombero-vallisoletano-implico-atender-lesbos,3111911,26779457,24,,l42l,2019-04-11T20:50:03+00:00,1,17,"Un gran ejemplo. 
Descanse en paz."
inmigracion,https://www.meneame.net/story/fallece-pablo-cano-bombero-vallisoletano-implico-atender-lesbos,3111911,26779371,23,,neotobarra2,2019-04-11T20:35:14+00:00,2,26,"Todo un ejemplo, espero que no ensucien su memoria los de siempre (esos que tratan de criminalizar a todo el que trate con refugiados o inmigrantes excepto si es para deportarlos o bloquear su paso).

#11 #15 Viendo tus comentarios no tengo claro qué es lo que te falta por superar a ti, la verdad..."
inmigracion,https://www.meneame.net/story/fallece-pablo-cano-bombero-vallisoletano-implico-atender-lesbos,3111911,26779357,22,17.0,--351185--,2019-04-11T20:33:57+00:00,2,28,"#17  No se sabe si ha sido un cáncer pero si lo ha sido está peor que mal que se autocensuren haciendo de esa enfermedad  algo terrible y  ocultable cuando , en muchísimos casos tiene cura. Ya vale de demonizarlo y de hacer sentir mal  a los enfermos como si fueran apestados. CÁNCER,  las cosas claras."
