tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872992,23,21.0,Arya_Fae,2016-02-18T15:46:42+00:00,1,19,"#21 Por cierto. La mayoría de las chicas cis tampoco querrán que les ""pases sus genes"". Una mujer que vive una noche loca rara vez va a quedar embarazada. Usará protección."
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872932,22,21.0,Arya_Fae,2016-02-18T15:42:18+00:00,0,7,#21 Tu no eres un animal salvaje... espero. No veo el sentido de esa fábula.
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872883,21,20.0,--502538--,2016-02-18T15:37:45+00:00,0,6,#20 Imaginate un animal que lucha a muerte contra un rival para aparearse con una hembra y resulta que despues de recibir heridas y cortes profundos en un ultimo exfuerzo antes de pasar sus genes y morir se da cuenta que la hembra tiene rabo y su muerte sera en vano.
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872858,20,19.0,Arya_Fae,2016-02-18T15:34:42+00:00,1,19,"#19 ""Me da que no. El sistema reproductor es el que determina tu genero. ""

Pues no. Pero eso es indiferente. El caso es que la cuestión queda solucionada con que tu digas que no quieres tener sexo. Nunguna persona debe ser forzada a tener sexo si no quiere."
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872849,19,18.0,--502538--,2016-02-18T15:33:53+00:00,0,6,#18 Y una chica es una chica independientemente del aspecto de sus genitales. Me da que no. El sistema reproductor es el que determina tu genero.
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872824,18,17.0,Arya_Fae,2016-02-18T15:31:29+00:00,1,19,"#17 Se soluciona tan fácil como te he explicado. Si no te gusta se va y punto.

Y una chica es una chica independientemente del aspecto de sus genitales."
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872817,17,16.0,--502538--,2016-02-18T15:30:21+00:00,0,6,"#16 Pero no es una chica. Tiene rabo. 

No es tan facil de solucionar. Me lo tendria que haber dicho antes."
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872787,16,15.0,Arya_Fae,2016-02-18T15:27:09+00:00,1,19,"#15 ""Imaginate que me lio con un trans en una noche loca de juerga y disco y cuando vamos a casa se baja la falda y la tiene mas grande que yo. ""

vale, imaginado. Tienes dos opciones, si te atrae la chica tenéis sexo y si no no.

¿Ves que fácil se soluciona? ¿Ese era tu problema?"
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872725,15,14.0,--502538--,2016-02-18T15:20:29+00:00,0,6,#14 Imaginate que me lio con un trans en una noche loca de juerga y disco y cuando vamos a casa se baja la falda y la tiene mas grande que yo.
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872686,14,13.0,Arya_Fae,2016-02-18T15:16:40+00:00,0,7,#13 ¿ein? Si preguntas lo que supongo ¿que más te da?
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872679,13,12.0,--502538--,2016-02-18T15:16:12+00:00,0,6,#12 Y tu miembro reproductor con que se identifica?
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872656,12,11.0,Arya_Fae,2016-02-18T15:13:44+00:00,1,19,"#11 Soy una persona no binaria, pero me identifico más como demichica"
lgtbi,https://www.meneame.net/story/escuela-abraza-ninos-transexuales-noticias-sociedad,2567726,18872645,11,10.0,--502538--,2016-02-18T15:12:37+00:00,0,6,#10 Hombre o mujer?
