tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/israel-insto-ue-presionar-egipto-acogiera-refugiados-gaza,3871638,39593300,12,7.0,Tunguska08Chelyabinsk13,2023-11-03T10:44:18+00:00,0,13,"#7 Lo de Nagorno Karabaj es una limpieza étnica, no sé quien lo diría oficialmente (""se el llamó""), pero no se hizo NADA al respecto."
inmigracion,https://www.meneame.net/story/israel-insto-ue-presionar-egipto-acogiera-refugiados-gaza,3871638,39593275,11,2.0,Tunguska08Chelyabinsk13,2023-11-03T10:42:12+00:00,1,33,"#2 Bueno no salió la griega esa del parlamento europeo, con bolsas de pasta de Qatar... ¿han hecho algo contra Qatar?"
inmigracion,https://www.meneame.net/story/israel-insto-ue-presionar-egipto-acogiera-refugiados-gaza,3871638,39593257,10,1.0,Tunguska08Chelyabinsk13,2023-11-03T10:40:22+00:00,0,13,"#1 ¿No mataron a un soldado español en Libano?... envíar fuerzas de paz si no estás dispuesto a enviar 'fuerzas de guerra' si se las amenaza, es una tontería."
inmigracion,https://www.meneame.net/story/israel-insto-ue-presionar-egipto-acogiera-refugiados-gaza,3871638,39582654,9,6.0,Arachne,2023-11-01T14:32:36+00:00,1,18,"#6 Si salen de Gaza a Egipto, el próximo bombardeo contra Hamas será en Egipto."
inmigracion,https://www.meneame.net/story/israel-insto-ue-presionar-egipto-acogiera-refugiados-gaza,3871638,39581547,8,,DerTeufel,2023-11-01T11:22:55+00:00,0,12,"No solo USA, ahora Israel también nos dice con quién hay que hablar para que presionemos.

   Semos  Europedos..."
inmigracion,https://www.meneame.net/story/israel-insto-ue-presionar-egipto-acogiera-refugiados-gaza,3871638,39581483,7,,--423412--,2023-11-01T11:13:00+00:00,3,36,"Cuando hace poco más de un mes, 100.000 armenios tuvieron que huir de Nagorno Karabaj cuando fue reconquistada por Azerbayán, se le llamó 'Limpieza etnica"". Ahora estamos hablando de reasentar a 700.000 persona de Gaza, y.... no  se acusa a Israel de limpieza étnica!! 

La ironía de la historia. Gueto, genocidio, reasentamiento, .... 80 años después volvemos a oir hablar de todo esto."
inmigracion,https://www.meneame.net/story/israel-insto-ue-presionar-egipto-acogiera-refugiados-gaza,3871638,39581481,6,,zogo,2023-11-01T11:12:28+00:00,7,74,"Como salgan de gaza a egipto, ya no vuelven. 

Podían titular directamente que instan a la UE a ayudarles con la limpieza étnica"
inmigracion,https://www.meneame.net/story/israel-insto-ue-presionar-egipto-acogiera-refugiados-gaza,3871638,39581413,5,2.0,Cam_avm_39,2023-11-01T11:02:40+00:00,3,57,#2 más bien son injerencias externas en la UE.
inmigracion,https://www.meneame.net/story/israel-insto-ue-presionar-egipto-acogiera-refugiados-gaza,3871638,39581371,4,,Un_señor_de_Cuenca,2023-11-01T10:56:59+00:00,3,46,Es todo tan evidente que avergüenza hasta lo insoportable.
inmigracion,https://www.meneame.net/story/israel-insto-ue-presionar-egipto-acogiera-refugiados-gaza,3871638,39581344,3,2.0,jonolulu,2023-11-01T10:52:51+00:00,3,52,"#2 Si lo dice EEUU no, hombre"
inmigracion,https://www.meneame.net/story/israel-insto-ue-presionar-egipto-acogiera-refugiados-gaza,3871638,39581327,2,,Verdaderofalso,2023-11-01T10:50:54+00:00,5,79,Esto no son ingerencias externas en la UE?
inmigracion,https://www.meneame.net/story/israel-insto-ue-presionar-egipto-acogiera-refugiados-gaza,3871638,39581299,1,,Aokromes,2023-11-01T10:46:52+00:00,2,30,"como ya he dicho en otro envio, tenian que enviarse fuerzas de paz para evitar que los ladrones israelies roben mas territorio a los palestinos.
tenian que marcar claramente las fronteras en todos los mapas y todo israeli que quiera vivir fuera de las fronteras israelies que pagen impuestos al gobierno palestino o sirio o al cual pertenezca el territorio.
por supuesto a todo civil que quisiese vivir en esas zonas se les retiraria cualquier arma de fuego.
por supuesto cualquier papel que digan que tal terreno es suyo emitido por el gobierno israeli, seria invalido."
