tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27966429,26,10.0,apetor,2019-10-07T17:22:34+00:00,1,17,"#10 Es mas, no es el primer politico al que veo soltar esa sandez QUE SABEN QUE ES FALAZ, los que se van de aqui a otro pais de Occidente son occidentales yendo a Occidente, no hay problema cultural, estos son una cultura que ni se integra ni se quiere integrar en Occidente. Una invasion."
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27951241,25,19.0,--93115--,2019-10-05T07:03:26+00:00,1,23,"#19 claramente, más falso que un billete de 6 euros, el payaso de la superioridad moral, que le den."
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27950141,24,11.0,rojeame,2019-10-04T21:31:52+00:00,1,23,"#11 bla bla bla reportar x una opinión que no te gusta, muy valiente y como es esta web, gracias me banearan pq a ti no te gusta lo que lees, viva la democracia de meneame"
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949331,23,22.0,Maddoctor,2019-10-04T18:39:26+00:00,1,23,#22 Y aquí sigues...
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949327,22,21.0,--516568--,2019-10-04T18:39:01+00:00,1,25,"#21 Ley de Danth: “Si una persona tiene que insistir en que ha ganado una discusión en Internet, es probable que esa persona haya perdido el debate”."
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949304,21,20.0,Maddoctor,2019-10-04T18:34:49+00:00,0,17,#20 Gracias a Dios. Vencí a un trol!
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949288,20,19.0,--516568--,2019-10-04T18:31:18+00:00,1,25,"#19 {lol} {lol} {lol} {lol} {lol} Venga, no te dedico más tiempo. Un saludo."
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949271,19,16.0,Maddoctor,2019-10-04T18:27:31+00:00,0,17,"#16 Eres un trol que adopta el rol de ofendidito, eres muy evidente."
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949268,18,17.0,Maddoctor,2019-10-04T18:27:03+00:00,1,24,"#17 menor mayor de edad

Dale una vuelta"
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949251,17,15.0,--516568--,2019-10-04T18:23:52+00:00,1,25,"#15 No es ningún oxímoron. Se llama VIDA. Todos cumplimos años y todo niño deja de ser un niño en algún momento debido a esa cosa loquísima llamada e-n-v-e-j-e-c-e-r. Así que hubo, hay y habrá menores que dejarán de serlo. Y en este caso serán MENA que han cumplido la mayoría de edad. Qué cosas más locas."
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949228,16,13.0,--516568--,2019-10-04T18:20:19+00:00,2,19,"#13 {lol} {lol} {lol} Igual que un niño. ¿Yo busco gresca? Yo te he explicado de qué va el tema. Y aquí no estáis más que para extender un discurso de odio contra el extranjero, por el mero hecho de serlo. Y encima con chavales, menudos valientes. Permíteme que, como persona que tiene a dos hermanos en el extranjero y encima vivie junto a un centro de menores, os mande a ..."
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949213,15,14.0,Maddoctor,2019-10-04T18:17:19+00:00,1,24,#14 oxímoron
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949210,14,12.0,--516568--,2019-10-04T18:16:38+00:00,2,19,#12 {palm} ¿me estás diciendo de verdad que no lo entiendes?
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949203,13,11.0,Maddoctor,2019-10-04T18:15:47+00:00,1,24,"#11 Coño.me pones negativo por hacer hincapié en la redacción del periodista?  No te mereces ni que te ponga yo otro a ti de venganza.... Me sale más a cuenta seguir con lo que estaba haciendo y superar que hay gente como tu que busca gresca imaginado que los otros dicen cosas que no han dicho y poder discutir.

Qué penita..."
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949193,12,11.0,Maddoctor,2019-10-04T18:13:48+00:00,1,23,#11 Que sean menores mayores de edad
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27949119,11,4.0,--516568--,2019-10-04T17:58:53+00:00,2,19,"#4 ¿La gente como tú es siempre así de ...?
Son pisos tutelados para chicos que salen del centro de menores. Pisos donde pueden seguir integrándose, estudiando o trabajando para construir una vida adulta. Yo vivo a diez metros de un centro de menores no acompañados, y uno de mis amigos ha alquilado un piso suyo hace poco, para ser piso tutelado como en este caso. Son como los pisos tutelados para personas con discapacidades, etc. Conozco chicos que gracias a todo esto se han sacado una carrera y son adultos activos e integrados. ¿Qué coño os parece mal de eso?, ¿que se integren, que estudien, que los vigilen?. ¿¿Qué hostias os pasa en la cabeza??
#5 te acabao de reportar por incitar al odio (vivo junto a un centro así). Y no reporto el envío y sus obvias intenciones de intoxicar porque no puedo... Un saludo."
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27948806,10,,pollo,2019-10-04T16:49:58+00:00,4,38,"""González ha recalcado que estos jóvenes vienen de situaciones «muy duras», a lo que ha incidido en que cuando los jóvenes asturianos tienen que emigrar para buscarse la vida no se dice que se van a convertir por ello en gente mala."" ¿Para estos sí que hay dinero público, eh, hijos de la gran puta? Para los que se van siendo de aquí de toda la vida dejando atrás su tierra, amigos y familia no dais ni la hora.

Y lo dicen abiertamente, con sus cojonazos."
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27948750,9,3.0,Barney_77,2019-10-04T16:40:35+00:00,0,16,#3 Los que nos va a pagar las pensiones...
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27948713,8,,--614617--,2019-10-04T16:32:30+00:00,1,13,"""Pero ni se os ocurra ponerla en mi barrio..."", ha añadido."
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27948673,7,,EuropeoDespierto,2019-10-04T16:26:40+00:00,0,6,"Ya se adocian ellos solos, añadió"
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27948660,6,5.0,tpm1,2019-10-04T16:24:58+00:00,5,43,#5 Pero estoy seguro que la alcaldesa ha dado ejemplo y ha mandado abrir el centro enfrente de su casa.
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27948644,5,,rojeame,2019-10-04T16:22:32+00:00,3,25,Por eso ningún vecino quiere una casa de esa cerca suya
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27948610,4,,Maddoctor,2019-10-04T16:15:14+00:00,6,45,"Quedaros con esta frase

albergará la Casa del Mar para Menores Extranjeros no Acompañados *que ya han cumplido la mayoría de edad*"
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27948553,3,2.0,igorymi,2019-10-04T16:04:35+00:00,5,38,#2 porque sí no. Es que son chavales muy majos y tal y tal
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27948518,2,,--593244--,2019-10-04T15:59:47+00:00,17,132,la residencia que albergará la Casa del Mar para Menores Extranjeros no Acompañados que ya han cumplido la mayoría de edad Menores que no son menores y de los que tiene que hacerse cargo este país porque sí.
inmigracion,https://www.meneame.net/story/no-hay-asociar-inmigracion-inseguridad-recalca-alcaldesa-gijon,3192239,27948511,1,,Luiskelele,2019-10-04T15:58:51+00:00,3,22,Me temo que eso debería también dejarlo caer en la otra parte contratante...
