tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/ousman-umar-cuando-pateras-llegan-mar-batalla-esta-perdida,3119319,26884667,12,3.0,oesido,2019-04-27T21:02:40+00:00,0,11,"#3 Échale la culpa a sistema educativo, lo mismo le pasa a algunos de aquí."
inmigracion,https://www.meneame.net/story/ousman-umar-cuando-pateras-llegan-mar-batalla-esta-perdida,3119319,26884491,11,8.0,j-light,2019-04-27T20:25:39+00:00,0,7,#8 totalmente
inmigracion,https://www.meneame.net/story/ousman-umar-cuando-pateras-llegan-mar-batalla-esta-perdida,3119319,26884208,10,,--603113--,2019-04-27T19:30:24+00:00,0,7,"Nació como un niño maldito.

Tuvo que enfrentarse al desierto.

Arriesgó su vida porque su única opción era hacerlo enfrentándose al mar en una patera.

Cuando llegó a España era analfabeto.

Hoy gracias a España es licenciado en Administración y dirección de empresas, tiene un máster en cooperación internacional y habla tres lenguas.

Sería un duro competidor para Santi; seguro que Ousman Umar haría hasta la mili si hiciera falta.

Yo creo que por esto quiere Santi cerrar las fronteras.

Santi se divierte más abusando de españolas poniéndolas a luchar contra el feminismo en su partido."
inmigracion,https://www.meneame.net/story/ousman-umar-cuando-pateras-llegan-mar-batalla-esta-perdida,3119319,26884178,9,,antonioturpin,2019-04-27T19:23:56+00:00,0,8,"Y con este ejemplo ya está justificado traernos todas sus costrumbres e imponerlas por la fuerza, kumbayá."
inmigracion,https://www.meneame.net/story/ousman-umar-cuando-pateras-llegan-mar-batalla-esta-perdida,3119319,26883799,8,7.0,--599247--,2019-04-27T18:12:22+00:00,2,22,"#7 ojalá, pero luego la realidad te da una bofetada en la cara y ves cómo el 99,99% de los que llegan acaban siendo explotados, delinquiendo, mendigando o luchando con los pobres autóctonos por los ya de por sí escasos recursos."
inmigracion,https://www.meneame.net/story/ousman-umar-cuando-pateras-llegan-mar-batalla-esta-perdida,3119319,26883597,7,3.0,j-light,2019-04-27T17:27:44+00:00,1,15,#3 ojalá todos los que llegan en pateras terminaran como Ousman.
inmigracion,https://www.meneame.net/story/ousman-umar-cuando-pateras-llegan-mar-batalla-esta-perdida,3119319,26883441,6,3.0,--596452--,2019-04-27T16:57:02+00:00,0,7,#3 ¿El manchego o el leonés?
inmigracion,https://www.meneame.net/story/ousman-umar-cuando-pateras-llegan-mar-batalla-esta-perdida,3119319,26883103,5,,Christifidelis,2019-04-27T16:04:12+00:00,0,11,https://www.meneame.net/m/Entrevistas/sugerencia-preguntame-ousman-umar
inmigracion,https://www.meneame.net/story/ousman-umar-cuando-pateras-llegan-mar-batalla-esta-perdida,3119319,26882962,4,,--4371--,2019-04-27T15:39:09+00:00,8,-40,"No creo. Eso de no morirse de hambre, no matarse a machetazos entre vecinos y la división del trabajo se considera apropiación cultural e imperialismo yanki. Además se extinguirían los mugrosos de las ONG.

Sería toda una desgracia."
inmigracion,https://www.meneame.net/story/ousman-umar-cuando-pateras-llegan-mar-batalla-esta-perdida,3119319,26882930,3,2.0,Ratoncolorao,2019-04-27T15:30:07+00:00,7,94,#2 De gente que lleva viviendo en España porque nació aquí y ni siquiera sabe escribir bien el castellano...
inmigracion,https://www.meneame.net/story/ousman-umar-cuando-pateras-llegan-mar-batalla-esta-perdida,3119319,26882917,2,,--597772--,2019-04-27T15:26:33+00:00,0,6,100.000 votos más para vox.
inmigracion,https://www.meneame.net/story/ousman-umar-cuando-pateras-llegan-mar-batalla-esta-perdida,3119319,26882915,1,,aunotrovago,2019-04-27T15:25:36+00:00,0,20,Sesgo del superviviente.
