tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/ser-lgtbiq-en-rusia,3201310,28102346,12,11.0,--495817--,2019-10-24T14:32:34+00:00,0,12,"#11 le preguntamos al constitucional, que fue quien le permitió a Maroto casarse, en contra de la política que hace su partido."
lgtbi,https://www.meneame.net/story/ser-lgtbiq-en-rusia,3201310,28097149,11,7.0,ManTK,2019-10-23T21:40:42+00:00,0,11,"#7 Lo de la boda, ¿preguntale a Maroto?"
lgtbi,https://www.meneame.net/story/ser-lgtbiq-en-rusia,3201310,28097135,10,3.0,ManTK,2019-10-23T21:38:47+00:00,0,11,"#3 Pero habiamos quedado que España estaba a la cola del mundo en todo, ¿no?"
lgtbi,https://www.meneame.net/story/ser-lgtbiq-en-rusia,3201310,28096866,9,6.0,nontal,2019-10-23T20:49:56+00:00,0,8,#6 Pues porque creo que en España en cuanto a derechos el colectivo gay no se debe de quejar la verdad.
lgtbi,https://www.meneame.net/story/ser-lgtbiq-en-rusia,3201310,28096852,8,2.0,--624061--,2019-10-23T20:47:27+00:00,0,6,"#2 La 'izquierda' siempre ha estado en contra de la homosexualidad o, como mucho, se la tolerado
https://es.wikipedia.org/wiki/Persecución_de_los_homosexuales_en_la_Unión_Soviética
https://es.wikipedia.org/wiki/Diversidad_sexual_en_Cuba#Persecución_homofóbica_durante_los_años_1960_y_creación_de_las_UMAPs

La 'izquierda', 'derecha', 'centro', en cualquier parte del planeta en cualquier época menos en la que estamos viviendo."
lgtbi,https://www.meneame.net/story/ser-lgtbiq-en-rusia,3201310,28096487,7,5.0,--495817--,2019-10-23T19:56:18+00:00,3,42,"#5 mmmm, mandé ?
Te refieres a los yugos y las flechas que todavía se pueden ver por españistan?
A todas las calles dedicadas a los genocidas franqustas que todavía hay en españistan?
Al monumento a los caídos?
Al PP renegando del matrimonio homosexual?
A la imposición de estudiar religión católica y a los dogmas racistas homófobos y machistas que enseña?
Deja de fumar droja que no te sienta bien."
lgtbi,https://www.meneame.net/story/ser-lgtbiq-en-rusia,3201310,28096472,6,4.0,--495817--,2019-10-23T19:53:07+00:00,2,35,#4 un argumento de peso. Si señor.
lgtbi,https://www.meneame.net/story/ser-lgtbiq-en-rusia,3201310,28096465,5,1.0,--136355--,2019-10-23T19:52:01+00:00,0,10,"#1 tampoco se puede esperar mucho de un país lleno de símbolos enalteciendo a uno de los regímenes más genocidas de la historia de la humanidad.

 Por suerte, aunque algunos se empeñen en resucitar a la momia genocida del valle de los caídos, en España supimos dejar todo eso atrás, seguramente como ningún otro país salido de una dictadura, y en 2019 somos uno de los países más tolerantes y abiertos a las minorías que en otro tiempo estuvieron oprimidas"
lgtbi,https://www.meneame.net/story/ser-lgtbiq-en-rusia,3201310,28096440,4,3.0,nontal,2019-10-23T19:48:44+00:00,3,35,#3 Discrepo.
lgtbi,https://www.meneame.net/story/ser-lgtbiq-en-rusia,3201310,28096306,3,2.0,--495817--,2019-10-23T19:28:26+00:00,0,12,"#2 que en otros países estén peor, no quiere decir que en España se esté bien."
lgtbi,https://www.meneame.net/story/ser-lgtbiq-en-rusia,3201310,28096287,2,1.0,nontal,2019-10-23T19:26:26+00:00,1,16,#1 Pues parece que para muchos sectores de la izquierda el problema siempre es en España.
lgtbi,https://www.meneame.net/story/ser-lgtbiq-en-rusia,3201310,28096126,1,,--495817--,2019-10-23T19:02:39+00:00,0,12,"Hay un gran problema de homofobia en el este de Europa, no solo en Rusia, también en países europeos como Polonia."
