tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17401187,42,24.0,--423339--,2015-07-28T15:30:07+00:00,1,19,"#24 De hecho, el 100% de los que tienen la palabra ""rumanos"" en la punta de la lengua, no han vivido cerca de ni conocen a ni siquiera ven a menudo a ni un solo rumano.

Yo, desde luego, los 3 que he conocido (un físico que es profe de universidad, una chica que no tiene estudios y un electricista metido a currante de granjas), gente de lo más normal y trabajadores y educados. Un tío mío tiene una empresa de transportes y habla maravillas de los camioneros rumanos (a quienes por cierto paga exactamente lo mismo que a los españoles y todo legal)."
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400808,41,40.0,--189197--,2015-07-28T14:39:38+00:00,1,20,"#40 normal, pero yo no pienso emigrar a Alemania. Voy, hago turismo y me voy.

Cuando voy por Europa me identifico como catalán y así no me ponen con los españoles."
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400778,40,39.0,lameiro,2015-07-28T14:35:32+00:00,0,10,"#39 Craso error, los alemanes piensan de ti lo mismo que tú de los rumanos."
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400731,39,38.0,--189197--,2015-07-28T14:31:17+00:00,1,7,"#38 ¿prefieres vecinos rumanos o alemanes?

Yo me voy con los alemanes , tu con los rumanos y dime racista o lo que quieras.

#37 En el mio había esos además de andaluces,  extremeños, murcianos y castellanoloquequieras. Digo había porque me he largado. Pero no compares pakis,chinos , africanos  o españoles (que se comportan) con rumanos entre los que hay una mayoría que no se comporta ni aporta nada positivo (excepto si consideras que el reciclaje es positivo)."
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400675,38,19.0,lameiro,2015-07-28T14:25:33+00:00,1,13,"#19 Los que nos roban Las la educación,la sanidad,las pensiones,los pisos,el trabajo,la cartera y hasta la dignidad son españoles, aunque tambien hay alemanes."
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400636,37,9.0,lameiro,2015-07-28T14:22:17+00:00,1,1,"#9 Mira, en mi barrio hay pakistaníes,Chinos,Marroquíes,subsaharianos,sudamericanos,turcos ,kurdos y un largo etcetera y en general lo único que hacen es aportar riqueza tanto económica como cultural, y esto es lo que hace que este barrio esté tan de moda.
Viva el Soviet de Lavapies"
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400611,36,,fjcm_xx,2015-07-28T14:19:23+00:00,0,10,Y por eso hay que ir ...
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400554,35,,Swann,2015-07-28T14:12:36+00:00,1,0,"Supina imbecilidad racista, a la altura de las de Junqueras sobre la distinta genética de los catalanes. La política catalana se mueve en el friquismo."
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400534,34,33.0,--478685--,2015-07-28T14:10:39+00:00,0,8,"#33 Pues no. Porque la responsabilidad de ese político es protegerme de esos gitanos rumanos, entre otros."
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400332,33,29.0,--248918--,2015-07-28T13:50:18+00:00,0,8,"#29 Hasta los gitanos , así en general, aborrecen y temen a los gitanos rumanos, así en general. 
Pero estamos hablando de un representante político. Y por tanto una posible autoridad, cuyas opiniones se pueden convertir en decisiones ejecutivas. No es lo mismo ni de lejos que yo escriba cosas en un cuadradito lleno de letras, que un representante público diga que alguien es una lacra. Las consecuencias son muy distintas. En mi caso puede ser más o menos feo, o inmoral como mucho, pero en el caso de una autoridad que toma decisiones según un prejuicio racial es racismo, con todas las letras y todo el significado jurídico."
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400299,32,,capitan__nemo,2015-07-28T13:45:29+00:00,1,18,"¿Qué estudios y encuestas han realizado en el PP para este giro a la extrema derecha en Catalunya?
¿Se trata de impulsar definitivamente a otro partido?
¿Qué tipo de estrategia hay?
¿Buscan el efecto ""mejor que se hable del pp, aunque sea mal""?
¿Este candidato de extrema derecha avivará el voto al pp en otras regiones?
¿Se trata de este efecto en el que un candidato exagerado, casi caricaturizado, hace menos malo algún otro?
 https://www.meneame.net/c/17375946"
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400243,31,,imagosg,2015-07-28T13:36:52+00:00,0,9,La famosa regeneración del Pp...Garcia Albiol.. {lol} {lol} {lol} {lol}
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400203,30,28.0,Calomar,2015-07-28T13:32:19+00:00,1,20,"#28 Es de un capítulo de los Simpsons
https://www.google.es/?gws_rd=ssl#safe=off&q=simpsons+mi+hijo+no+es+comunista"
inmigracion,https://www.meneame.net/story/garcia-albiol-rumanos-son-plaga-suponen-lacra-ciudad,2453766,17400047,29,,--478685--,2015-07-28T13:11:23+00:00,0,8,"Albiol tiene razón. Una de las peores cosas que existen en Occidente, indicio de su debilidad moral, es el discurso hipócritamente politicorrecto. Todos sabemos que los rumanos son problemáticos, pero la hipocresía reinante te hace callar para que gente que piensa exactamente igual no te llame intolerante, o racista. Pasa con los rumanos, los gitanos..."
