tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/murio-cuando-venia-europa-notas-cosidas-ropa-vieramos-era-buen,3104220,26686789,94,,Keldon82,2019-03-29T08:46:41+00:00,0,6,¿Y para que son? Adelante ilústranos.
inmigracion,https://www.meneame.net/story/murio-cuando-venia-europa-notas-cosidas-ropa-vieramos-era-buen,3104220,26684788,93,,Opinator_2.0,2019-03-28T21:53:22+00:00,0,7,"""Yo debí enamorarme de Santi Abascal""
De venta en gasolineras."
inmigracion,https://www.meneame.net/story/murio-cuando-venia-europa-notas-cosidas-ropa-vieramos-era-buen,3104220,26681725,92,91.0,Funai,2019-03-28T14:23:52+00:00,0,7,"#91  que si, y la de Japon y otros que ni tienen una materia prima ni pueden cultivar la tierra volcanica tienen que importar toda la comida y todo, y son los mas desarrollados del mundo, y la historia de todos los que nadan en riqueza de materias primas y son tercermundistas  ..."
inmigracion,https://www.meneame.net/story/murio-cuando-venia-europa-notas-cosidas-ropa-vieramos-era-buen,3104220,26680400,91,90.0,XtrMnIO,2019-03-28T11:54:54+00:00,0,9,"#90 Por curiosidad, léete la historia de Angola."
inmigracion,https://www.meneame.net/story/murio-cuando-venia-europa-notas-cosidas-ropa-vieramos-era-buen,3104220,26678913,90,86.0,Funai,2019-03-28T09:13:18+00:00,0,7,"#86  Pues si le dice que estan asi gracias a que se llevan toda la riqueza de sus paises es mentira, es como aqui que la gente se cree que ""los negros le quitan el trabajo por eso hay tanto paro"", y nunca ha visto un chofer atubus negro, un carnicero negro, un electricista negro por ningun lado ..."
inmigracion,https://www.meneame.net/story/murio-cuando-venia-europa-notas-cosidas-ropa-vieramos-era-buen,3104220,26678625,89,52.0,edefakiel,2019-03-28T08:44:09+00:00,0,6,"#52 Pues justo había estado comprobándolo antes de mandarte el comentario, siempre es bueno repasar algo antes de opinar, y me encontré con esto:

""  The Basel, Switzerland, Anne Frank Fonds (Anne Frank Fund), which controls the copyright to the Diary of Anne Frank, has admitted that the book was in fact at least co-authored by Otto Frank, Anne’s father, after the war. 

 The admission proves that the book, which is still heavily promoted as a ""holocaust memoir"", is in fact largely a postwar fabrication which contained parts of the young Anne’s diary with extensive additions added by her father. This is obvious from even a cursory look at the 
actual diary. See, for example, the image below of two pages from the diary, which shows both Anne’s real youthful handwriting and her father’s obviously adult handwriting, although 
he signs his entries as “Anne Frank.”

https://orig00.deviantart.net/f55e/f/2017/289/1/0/anne_frank_diary_by_imglol-dbqqyqw.jpg

Normal copyright on books extends only 70 years after the author’s death. As Anne Frank died of typhus in Bergen Belsen in February 1945, the book theoretically entered the public domain in February 2015. But, as the New York Times went on to say, the Anne Frank Fonds has now 
decided to try to extend copyright on the book past the 70 year cut-off period by admitting that Otto Frank, who died in 1980, was indeed a ""co-author"" after all.""

Soy medio judío, así que ya me dirás tú cómo de filonazi puedo llegar a ser."
inmigracion,https://www.meneame.net/story/murio-cuando-venia-europa-notas-cosidas-ropa-vieramos-era-buen,3104220,26678313,88,85.0,--325390--,2019-03-28T08:11:15+00:00,0,7,#85 No. Soy alguien cansado del puto sentimentalismo imperante y de que la razón y la profesionalidad pasen al segundo plano en pro de la lágrima fácil.
inmigracion,https://www.meneame.net/story/murio-cuando-venia-europa-notas-cosidas-ropa-vieramos-era-buen,3104220,26677903,87,19.0,XtrMnIO,2019-03-28T07:08:40+00:00,0,9,"#19 Quien ha hablado de Marruecos? Anda, tómate el café y déjalo ya..."
inmigracion,https://www.meneame.net/story/murio-cuando-venia-europa-notas-cosidas-ropa-vieramos-era-buen,3104220,26677891,86,51.0,XtrMnIO,2019-03-28T07:06:57+00:00,0,9,"#51 El año pasado estuve trabajando una temporada en Luanda (Angola), se mejor que tú lo que digo. Listo, más qué listo."
inmigracion,https://www.meneame.net/story/murio-cuando-venia-europa-notas-cosidas-ropa-vieramos-era-buen,3104220,26677430,85,20.0,pax0r,2019-03-28T01:49:52+00:00,0,6,#20 eres un frio psicópata con bastante razón.
