tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/exito-sin-precedentes-marina-machete-primera-mujer-transgenero,3863023,39439227,85,80.0,Amonamantangorri,2023-10-09T23:35:50+00:00,0,13,"#80 Si están definidos por su función reproductiva, ¿los que no se reproducen, qué? O los que aun no lo han hecho .

Vale. Que no entiendes lo que significa función reproductiva. Desde la biología, y concretamente desde la biología evolutiva, es clave. Tampoco distingues las variaciones anómalas de las normales. Todas son iguales. De nuevo, los biólogos, no los charlatanes, sí las distinguen. 

Además, las personas con algún síndrome o variación anómala del desarrollo sexual siguen siendo igualmente varones o hembras. Padecen condiciones médicas concretas que pueden afectar únicamente a varones o a hembras. Y la ley está específicamente pensada para tratar esos casos (desde intersexualidad a transgénero, pasando por cualquier otra cosa que yo haya podido no considerar) desde un punto de vista legal. En algunos casos de mal llamada 'intersexualidad' es donde realmente se podría hablar de ""rectificación del sexo registral"". Porque el sexo del niño se identificó mal. 

En otros casos, no: algún caso puede haber por ahí de alguien que fue registrado con otro sexo por error y no quiere cambiarlo porque es con el que se siente más a gusto. 

En lo que se refiere a la llamada transexualidad, no hay ninguna ""rectificación"", aunque se le llame así; será siempre una ficción jurídica , como en los casos del párrafo anterior. 

Diciendo ficción jurídica no estamos insultando a nadie; es como se refiere a, por ejemplo, la maternidad compartida por dos mujeres, sin que conste el nombre del padre biológico. Por norma general, debe constar el nombre del padre biológico (e incluso a éste le corresponden algunas obligaciones, a menos que se apellide Borbón). Pero hay casos (de nuevo, excepciones ), donde la administración acepta que un individuo tiene dos madres o dos padres, aunque en términos biológicos sea un imposible. Los padres y madres adoptivos, lo mismo.

En la mayoría de democracias también se han contemplado otras excepciones , pensando en la mejora de condiciones de vida de un reducidísimo colectivo, que son esas personas que llegan a adoptar la decisión radical de declararse del otro sexo, e incluso sometiéndose a tratamientos de los que ahora me voy a ahorrar la opinión. 

No obstante, esa ""corrección"" o cambio no es un derecho universal, ni está abierto a toda la ciudadanía. O al menos no era así hasta ahora. En todo caso, cualquiera sabe que una 'mujer trans' no es realmente una mujer. 

Están constántemente intentando vender que es todo ""muy complejo"". En realidad, la norma general es bastante sencilla. Son las excepciones y las anomalías las que son complejas y pueden verse caso por caso. Pero tampoco son tantas, ni tan significativas, ni suponen un gran descubrimiento que nos obligue a cambiarlo todo."
lgtbi,https://www.meneame.net/story/exito-sin-precedentes-marina-machete-primera-mujer-transgenero,3863023,39435567,84,83.0,DayOfTheTentacle,2023-10-09T14:11:46+00:00,0,7,"#83 Pero si no podemos definir hombre/mujer sigo sin entender como puedes sentirte una cosa u otra más allà de la clasificación biológica. 

A nivel legal y social sería mejor si no se distinguiera por sexos si, oficialmente ni siquiera se hace según la constitución. 

¿hasta que punto puede uno definir como se siente? ¿puedo yo definirme como divinidad y que la gente tenga que hacerme reverencias y hacerme regalos por ley?"
lgtbi,https://www.meneame.net/story/exito-sin-precedentes-marina-machete-primera-mujer-transgenero,3863023,39434924,83,82.0,vvega,2023-10-09T12:48:59+00:00,0,7,"#82 Pero es que la categoría legal existe, quizás sería mejor si no, pero existe, entonces si no se puede definir... ¿Qué mejor que poner a cada persona en donde consideran que deben encuadrarse? Y la realidad social y psicológica también existen, es más complejo que quién juega al fútbol y quién a las muñecas (porque para empezar no son ni exclusivos ni exhaustivos), pero existe. Yo, si una persona viene y me dice que, dentro de los dos grupos en los que tradicionalmente la sociedad cataloga a las personas se siente más cómoda en uno de ellos le digo: pues cuando se te catalogue se hará en ese. Y me parece lo normal. Y de nuevo seguramente sería mejor si no los catalogásemos, o no tuvisiese ninguna relevancia, pero lo hacemos y la tiene, por lo tanto hagámoslo de la mejor forma posible. 

Y todo esto es desde un punto de vista legal  y social. ¿Que después hay una serie de consideraciones biológicas que conciernes aspectos diferentes de la realidad (aspectos médicos, genéticos, hormonales...), que son más a menudo de lo que creemos contradictorias o no decisivas (y ni exclusivas ni exhaustivas ni binarias), que desde luego tienen un cierto impacto y una correlación con lo que se considera legal y socialmente? Cierto, totalmente, pero la realidad es que a la hora de hacer una catalogación a efectos legales y socio-psicológicos, debemos de atenernos a aspectos legales (y esa ley lo que hace es definir cuáles son) y socio-psicologicos. Y ¿qué hay más fácil, claro, y humano que dejar que cada uno decida en qué sitio quiere estar? Que estamos hablando de definir el sexo de una persona, no de darle un título de ingeniería civil."
lgtbi,https://www.meneame.net/story/exito-sin-precedentes-marina-machete-primera-mujer-transgenero,3863023,39434579,82,81.0,DayOfTheTentacle,2023-10-09T12:08:04+00:00,0,7,"#81 pero no puedes decir que te sientes una cosa que no se puede definir. 

No lo digo por si tiene o no derecho a ser lo que quiera, que lo tiene, si no a que es un poco contradictorio. Entonces podemos decir que los niños juegan a futbol y las niñas con muñecas? Y eso define que te sientas hombre o mujer? No tiene mucho sentido."
lgtbi,https://www.meneame.net/story/exito-sin-precedentes-marina-machete-primera-mujer-transgenero,3863023,39434466,81,79.0,vvega,2023-10-09T11:54:29+00:00,0,7,"#79 «¿que es sentirse mujer?» No me corresponde a mí decidir por qué o en base a qué alguien se siente una cosa u otra, pero si una persona manifiesta que se siente mujer y quiere ser considerado legal/socialmente (porque cuando le tengan que hacer una terapia hormonal, genética, o una intervención quirúrgica corresponderá al médico decidir qué protocolos son los más adecauados en base a la realidad hormonal, genética o genital de la persona, que será la que sea) como mujer, pues adelante, ¿cuál es el problema?

«Entonces es un tema de educación en tópicos». Ya, es que el hecho de que alguien hubiese sido educado en ciertos tópicos no debería quitarle el derecho a ser la persona que quiera ser."
lgtbi,https://www.meneame.net/story/exito-sin-precedentes-marina-machete-primera-mujer-transgenero,3863023,39434380,80,76.0,vvega,2023-10-09T11:45:32+00:00,0,7,"#76 Si están definidos por su función reproductiva, ¿los que no se reproducen, qué? O los que aun no lo han hecho. La intersexualidad es un término que yo no he utilizado, yo he dicho que la pregunta «¿qué es un hombre/mujer?» en cualquier contexto medianamente técnico pero especialmente cuando estamos hablando de una ley que trata sobre qué es legalmente un hombre/mujer, es una pregunta mal formulada y necesita, al menos, de especificar desde qué punto de vista, ya que hay muchos y no siempre coinciden (la lista de preguntas que yo lanzo no se queda en la biología y alcanza bastante más que la intersexualidad). Y la ley está específicamente pensada para tratar esos casos (desde intersexualidad a transgénero, pasando por cualquier otra cosa que yo haya podido no considerar) desde un punto de vista legal."
lgtbi,https://www.meneame.net/story/exito-sin-precedentes-marina-machete-primera-mujer-transgenero,3863023,39434344,79,78.0,DayOfTheTentacle,2023-10-09T11:41:24+00:00,0,7,"#78 

""Y si una persona que se ha educado toda su vida como mujer y se siente mujer."" << Entonces es un tema de educación en tópicos? ¿qué es ser educado como mujer? 

""Si una persona se siente mujer, ¿en qué perjudica a nadie que se pueda identificar como tal? "" <<< Volvemos a lo mismo ¿que es sentirse mujer?"
lgtbi,https://www.meneame.net/story/exito-sin-precedentes-marina-machete-primera-mujer-transgenero,3863023,39434244,78,73.0,vvega,2023-10-09T11:32:34+00:00,0,7,"#73 ¿Qué es un hombre biológico? ¿El que tiene un par cromosómico XY? ¿En todas sus células o a partir de qué porcentaje? ¿Y si el cromosoma Y está ahí per no se expresa? ¿Y si tiene quimerismo? ¿O una multiplicidad cromosómica? ¿El que tiene testículos? ¿Y si no tiene gónadas? ¿O testículos y ovarios? ¿Y si tiene unas gónadas malformadas que no se puede decir que sean uno o lo otro? ¿Que produzca espermatozoides? ¿Y si es estéril? ¿Que tenga los hombros anchos, barba, carezca de pechos...? ¿Y si además todas esas cosas se contradicen unas a otras? ¿Y si una persona que se ha educado toda su vida como mujer y se siente mujer descubre de adulto que tiene rasgos genéticos/cromosómicos/hormonales/gónadas o produce gametos masculinos tiene que empezar a considerársele un hombre sólo para que tú te sientas cómodo con lo que aprendiste en primaria? Las realidades son complejas y las respuestas son complejas. Si una persona se siente mujer, ¿en qué perjudica a nadie que se pueda identificar como tal?"
lgtbi,https://www.meneame.net/story/exito-sin-precedentes-marina-machete-primera-mujer-transgenero,3863023,39434243,77,75.0,Amonamantangorri,2023-10-09T11:32:17+00:00,0,13,#75 Lo sé. Es equiparable a Fernández Díaz hablando de su ángel de la guarda Marcelo. Creencias personales irracionales.
lgtbi,https://www.meneame.net/story/exito-sin-precedentes-marina-machete-primera-mujer-transgenero,3863023,39434209,76,72.0,Amonamantangorri,2023-10-09T11:30:03+00:00,0,13,"#72 La llamada 'intersexualidad' es un término confuso y no ayuda nada, puesto que estas personas no se encuentran entre ningún sitio. 

Se trata de afecciones de salud, extremadamente infrecuentes y muy diversas. Es gente que puede padecer todo tipo de problemas como discapacidad intelectual, problemas cardíacos, en los huesos, riñones o carecer de sentido del olfato.

En términos estríctamente biológicos, tenemos un padre y una madre. Todos. Por eso hay dos sexos, aunque cualquiera puede venir ahora a contestarme que si se ha registrado un caso con adn de tres individuos, o que si la epigenética y las madres de alquiler. Las excepciones son explicables en su excepcionalidad. Hay dos sexos, definidos por su función reproductiva, que además existen desde hace un porrón de millones de años.

Y por supuesto, todo lo anterior no tiene nada que ver, pero nada, con lo que hemos llamado transexualidad."
lgtbi,https://www.meneame.net/story/exito-sin-precedentes-marina-machete-primera-mujer-transgenero,3863023,39434062,75,74.0,EISev,2023-10-09T11:14:09+00:00,0,12,#74 pues es la respuesta de Irene Montero... no le preguntaron por las consecuencias sociales
lgtbi,https://www.meneame.net/story/exito-sin-precedentes-marina-machete-primera-mujer-transgenero,3863023,39434038,74,56.0,Amonamantangorri,2023-10-09T11:11:06+00:00,0,13,#56 Confundir las consecuencias sociales de ser mujer con la definición de mujer. Es acojonante.
