tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37518041,19,18.0,Autarca,2023-01-06T18:31:21+00:00,0,12,"#18 A usted debería darle vergüenza obligar a unas mujeres a plegarse a su moral, aunque no la compartan.

""¿Y por qué hablas de usted?"" Así me contengo un poco más, y me provoco a mí mismo menos strikes. Que a menudo paso del ""tu"" al ""tu ********* """
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37517958,18,17.0,jobar,2023-01-06T18:18:44+00:00,0,11,"#17 No te prostituyes en nada, y debería darte vergüenza compararlo.

¿Y por qué hablas de usted? ¿Quién te crees que eres? ¿Cánovas del Castillo?"
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37517446,17,16.0,Autarca,2023-01-06T16:32:55+00:00,0,12,"#16 Y como les pagan, quieren follar con esas personas.

¿O para recoger fruta te tiene que gustar la horticultura?? 

Me prostituyo todos los días laborales ¿Se cree que me levanto a las seis y media por amor al arte?

Claro que es cuestión de moral, considera inmorales a esas mujeres que prefieren acostarse con otras personas por dinero, a hacer alguno de esos trabajos de mierda que usted considera ""íntegros"" y ""morales"""
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37517148,16,15.0,jobar,2023-01-06T15:35:25+00:00,0,11,"#15 No hace falta estar enamorado, solo tienes que querer follar con esa persona cosa que no pasa con las putas. Te repito, cuando te prostituyas me comentas si es más cómodo o no.

No es cuestión de moral, gracias a Dios tienes a tu alcance montones de formas de follar de forma voluntaria sin explotar a nadie, buscate la vida."
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37517117,15,14.0,Autarca,2023-01-06T15:29:51+00:00,0,12,"#14 O sea, que recoger fruta le parece comodísimo, y acostarse con gente una tortura.

¿Por qué demonios venden como bondadoso imponerle su moral a otras personas?

Hágase a la idea, no todo el mundo necesita estar enamorado para follarse a alguien.

¿Usted si? Pues maravilloso, pero respete a quien no siente igual que usted."
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37517066,14,11.0,jobar,2023-01-06T15:22:47+00:00,0,11,"#11 No, recoger fruta en condiciones justas, y seguras es dignísimo, tener que acostarte con gente que no quieres por necesidad es explotación y abuso entre otras cosas. Cambiar los adjetivos no lo arregla.
Además cuando pongas el culo y te comas un par de pichas y chochos por obligación me vienes a comparar."
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37516902,13,5.0,--731452--,2023-01-06T14:55:13+00:00,0,13,#5 No lo permiten las leyes.
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37516900,12,3.0,--731452--,2023-01-06T14:54:57+00:00,0,13,"#3 Los quieren, pero como esclavos. Por eso promueven el odio. Luego la idea es que si les permiten estar aquí, deben trabajar en esas condiciones míseras.
Da mucho asco."
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37516329,11,10.0,Autarca,2023-01-06T13:16:22+00:00,0,12,"#10 A ver si lo adivino

Romperse la espalda recogiendo fruta para hacer ricos a otros le parece dignísimo, acostarse con desconocidos es indigno y pecaminoso."
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37515800,10,9.0,jobar,2023-01-06T11:23:39+00:00,0,11,"#9 No, solo perseguir las condiciones que van en contra de la dignidad de las personas. Repito, aunque se acepten de manera voluntaria la explotación sigue siendo explotación."
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37515779,9,4.0,El_empecinado,2023-01-06T11:19:26+00:00,1,21,"#4 Pero se sigue dando, como indica el artículo, ergo hay que prohibir el trabajo en si para evitarlo. O al menos eso dicen los y las abolicionistas."
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37515744,8,,Verdaderofalso,2023-01-06T11:14:12+00:00,1,40,Esto parece una noticia duplicada #0 {lol} {lol}
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37515668,7,4.0,Aokromes,2023-01-06T11:00:11+00:00,1,13,"#4 existe algo mas rentable para el empresario, y mas barato, se llama el becario.
no tienes que darle de comer.
no tienes que darle un lugar donde dormir.
no tienes que darle tratamientos medicos.
no tienes que darle ropa

y ademas se paga su transporte al trabajo."
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37515492,6,,laruladelnorte,2023-01-06T10:31:21+00:00,3,46,"Después de las averiguaciones realizadas, los investigadores consideran que las empresas analizadas también podían estar cometiendo diversos fraudes tributarios relacionados con los impuestos del IVA, IRPF e impuesto de sociedades, y que el grupo criminal contaba con la colaboración de varios empleados de una gestoría y una abogada. Toda una cohorte de hijos de puta aprovechandose de  la precariedad de la gente."
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37515477,5,,kastanedowski,2023-01-06T10:27:44+00:00,1,-4,"Es la primera vez?  no
Volvera a pasar?  si
es culpa de las leyes?  si, asi como de su aplicacion. El tema es mas cultural ya que es una costumbre que no ha dejado de existir. Se permite, se ve normal... y este es el verdero problema"
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37515449,4,2.0,jobar,2023-01-06T10:21:38+00:00,3,41,"#2 La esclavitud, incluyendo la voluntaria, está abolida desde hace mucho, por suerte."
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37515371,3,1.0,DerTeufel,2023-01-06T10:04:08+00:00,6,82,"#1.  Los que se desgañitan gritando contra los inmigrantes... y se quejan de que abusan del sistema... y de que los 'ilegales' deberían ser expulsados... los usan como 'mercancía' para emgañar al Estado, y además los extorsionan.

   Todo ventajas. {sad}"
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37515359,2,,Ainhoa_96,2023-01-06T10:02:26+00:00,5,69,"Voy a meter un calzador {calzador} {grin} 

Si aboliesen el trabajo estas cosas no pasarían (a buen entendedor... pillará el cinismo de mi comentario) {tongue}"
inmigracion,https://www.meneame.net/story/43-detenidos-malaga-desmantelar-grupo-dedicado-explotacion,3766499,37515287,1,,Veelicus,2023-01-06T09:48:36+00:00,5,80,cuantas pulseritas con la bandera han sido decomisadas?
