tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39562232,48,47.0,okeil,2023-10-29T08:32:54+00:00,0,10,"#47 No, podemos no te odia, todo lo que logren, y ya han logrado, es y será también para tí, y para todos que está a tu alrededor, incluso para  todos los fachas. Vuelves a confundir la realidad con las mierdas que te han contado, has estado viviendo en el universo paralelo en el que sólo se odia, crees que todos te odian y tú debes odiar a todos. No se odia a nadie por ser facha, bastante tienen ya, los pobres, pero hay que llamarles por su nombre. Todo lo que dices que es podemos es que tampoco te afecta a los fachas en su día a día, es más, los fachas tienen sus ídolos, Franco, musolini, hitler ... los cuales destacaron en la historia, no por luchar por salarios dignos ni nada de eso, ni por eliminar la diferenciación entre abuso y agresión sexual, al contrario se cargaron a todo el que pensara o simplememte representara cualquier cosa que les perjudicase minimamente, lo cual, de buenas personas no es, ni confesándose con el mismísimo papa."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39561234,47,46.0,--758659--,2023-10-28T22:02:28+00:00,3,0,"#46 Podemos odia a occidente y nuestra cultura. Toda sus referentes son odiadores de occidente.

Lenin, Stalin, El Ché, Palestina, Iran, Las narcodictaduras…

Es un hecho."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39561194,46,45.0,okeil,2023-10-28T21:52:19+00:00,0,10,"#45 Eso es como llamar basura a spiderman, pero nadie se cree que haya realmente un superhéroe que llega a serlo por la picadura de una araña radiactiva ... ¿o si? ... Claro, si uno ve pelis de ficción como si fueran documentales es lo que tiene ...
La parte fanática de la denominación facha es que tiene muchos adeptos también, lo son porque su vecino lo es, porque el vecino le regaló un llavero, en fin ..."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39561068,45,44.0,--758659--,2023-10-28T21:15:36+00:00,3,0,"#44 Si, esa Es la verdad de lo que es Podemos. Basura."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39560999,44,41.0,okeil,2023-10-28T20:56:21+00:00,0,10,"#41 Pero esos podemitas son los del guión de la peli que le han contado a los aprendices de facha. Es una ficción construida en torno a lo que tú dices, la maldad que rezuman las dictaduras comunistas de sudamérica y, por supuesto, regímenes totalitarios en general, sean del signo que sea, donde por supuesto están incluidos Irán y Rusia, adoradores de Putin les han llamado en algún capítulo de la serie. Si lo trasponemos al ámbito religioso incluso podrían algunos ser adoradores de belcebú y familia ... Y últimamente también serían antisemitas y hamasistas por defender que los palestinos tienen derecho a la vida. Sin olvidar su pertenencia a ETA, que sigue más viva que nunca, en ese guión ..."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39560995,43,42.0,tdgwho,2023-10-28T20:54:56+00:00,0,10,"#42 Degradar el nuestro?

Para nada.

Basta con no compartirlo, que no han venido de visita o turismo, son inmigrantes ilegales.

A ti si alguien intenta entrar en tu casa, le pones pijamita y cama? O llamas a las autoridades para que lo echen?

Pues lo mismo con tu país.

Métete la demagogia donde te quepa, ""ero luego no te quieras ir a ningún sitio a buscar una vida mejor eh, te quedas donde dios te puso no vaya a ser que molestes a alguien con la imagen de tu pobreza.""

Una cosa es entrar legalmente en un país, y otra ilegalmente.

Que haya que explicar esto me da vergüenza."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39560987,42,25.0,Findopan,2023-10-28T20:52:32+00:00,0,8,"#25 Lo del efecto llamada es otro chiste, te creerás que el efecto llamada es que no les peguemos un tiro en la frontera. El efecto llamada son nuestras condiciones de vida comparadas con las suyas, si quieres podemos degradar nuestro modo de vida hasta que no les compense el riesgo de venir hasta aqui, suena bien, pero luego no te quieras ir a ningún sitio a buscar una vida mejor eh, te quedas donde dios te puso no vaya a ser que molestes a alguien con la imagen de tu pobreza.

Uno tiene que hacer revisión de su pensamiento de vez en cuando y joder, cuando se da cuenta de que está llamando a que monten campos de concentración en su país a lo mejor debería hacer un poquito de reflexión."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39560770,41,40.0,--758659--,2023-10-28T19:56:54+00:00,4,4,"#40 Es ser podemita es decir, ser de extrema izquierda, estar en contra del modelo de vida occidental, a favor de Iran, en contra de la democracia, a favor de las dictaduras sudamericanas, comunista... en fin. Todo lo que es Podemos."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39560730,40,38.0,okeil,2023-10-28T19:47:41+00:00,0,10,"#38 ¿Y qué es ser de podemos exactamente? ... Se puede ser facha y estar apuntado a podemos, que los hay, e incluso votar en sus consultas. Y para ser independentista y facha con tener carné de junts ya tienes unos cuantos ...
Ser facha es un arte, como el de los toros, lamentable, pero un arte (según los propios fachas)."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39558574,39,,--42429--,2023-10-28T11:39:03+00:00,0,12,"#_37 Ponte discursos de Hitler, Franco y Musolini, que parece que es más tu rollo."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39558569,38,23.0,--758659--,2023-10-28T11:38:13+00:00,0,10,"#23 Y no olvides la primera premisa, que es que o eres de podemos/separatista o ya directamente eres facha fascista.

Ley de pensamiento único."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39558545,37,33.0,--758659--,2023-10-28T11:33:43+00:00,2,-9,"#33 Paso de ti, me aburrís los progres."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39558019,36,31.0,Procurador,2023-10-28T09:51:08+00:00,0,10,"#31 En la práctica ... las fronteras de España están ""abiertas""."
inmigracion,https://www.meneame.net/story/reparto-polemica-asi-distribuyen-miles-inmigrantes-llegados-cada,3870265,39557942,35,,traviesvs_maximvs,2023-10-28T09:36:16+00:00,0,11,"Falta un debate serio sobre inmigración desde hace años pero nadie se atreve a levantar la liebre (los zoquetes de vox se pronuncian a su manera sobre esto) por miedo a la siempre socorrida acusación de racismo por parte de unos y de otros. A mi me parece que a medio plazo la inmigración va a traer cambios y tensiones sociales importantes, como el problema de un islam en expansión que no casa con muchos de nuestros ideales y modos de vida occidentales, y que en cuanto haya un número suficiente de seguidores de la secta mahometana vamos a volver a revivir viejos problemas que ya tuvimos con la secta cristiana. Y esto no lo digo yo, ha pasado en la historia, véase Roma con los 'bárbaros', mesoamerica con los Aztecas (llegaron los últimos y sometieron al resto) o paises antes relativamente progresistas convertidos en cortejos de un grupo de fanáticos follacabras como Irán o Afganistán. Y eso desde el lado de vista cultural-religioso. Desde el punto de vista puramente económico, tenemos el problema de asimilar, dar cobertura sanitaria y social, y convertir en productiva a un monton de gente que ni siquiera habla nuestro idioma. Si sigue llegando gente lo que vamos a tener son guetos al estilo Francia. Debido a todo esto me parece bastante claro y obvio es que no creo que podamos acoger a un numero virtualmente infinito de humanos del otro lado de forma indefinida, y al final va a romper por algún lado. No sé si esto me convierte en un monstruo nazi fascista comenegros, pero vaya, asumo y acepto los cumplidos de quienes no tienen otro modo de razonar."
