tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16384677,15,14.0,--403703--,2015-02-26T12:18:32+00:00,0,9,"#14 Esto lo hacen las policías de todo el mundo, desde Alemania hasta los nórdicos."
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16370997,14,,dphi0pn,2015-02-24T12:37:10+00:00,1,10,"Digan lo que digan, esto si podemos catalogar de #marcaespaña total {troll}"
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16370594,13,12.0,wendigo,2015-02-24T11:52:39+00:00,2,32,"#12 Ferpecto. Por lo demás, sigo pensando lo mismo... no veo la noticia por ningún lado, ni ningún motivo por el que rasgarse las vestiduras, como ya he comentado en el par de mensajes anteriores.

Han pillado a uno, bueno pues si ese uno ""canta"", obtendrá prebendas y beneficios. ¿Donde esta lo raro?

En el caso de la trata de blancas, desde hace años se sabe que ofrecen papeles por informacion, si conocen donde están otras chicas, negocios que las usen, pisos donde vivan,denuncien a los proxenetas, etc.

Saludos"
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16370307,12,7.0,marcusramius,2015-02-24T11:16:07+00:00,2,29,"#7 la grabación está incluida en el artículo: título, tres subtítulos, vídeo y texto corrido.

Ahí el vídeo por si no lo encuentras: http://youtu.be/UXLFfJ5Kjmw"
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16369923,11,,dolicocranea,2015-02-24T10:37:13+00:00,0,9,La tolerancia e indiferencia que tenemos en este país a los grandes escándalos es pasmosa...
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16368577,10,3.0,landaburu,2015-02-24T06:47:10+00:00,1,13,"#3 yo no soy periodista. Incluso un periodista puede tener su ""enfoque"", pero aportando pruebas..."
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16368430,9,,cuarentaytresbotas,2015-02-24T03:47:24+00:00,1,12,"Desde luego, es muy grave. No entiendo los negativos."
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16368176,8,,--371029--,2015-02-24T00:44:18+00:00,0,8,eso lo he visto yooo no hace falta irse a inmigracion.
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16367930,7,5.0,wendigo,2015-02-23T23:17:58+00:00,1,24,"#5 Pues que pongan dicha grabación y así nos enteramos todos. Que estoy un pelin harto de que hagan estas cosas.Y estoy de acuerdo contigo, todo debería estar grabado.
Por lo demás...no me sorprende, si tu nos ayudas, nosotros te ""ayudamos"", es como al que pillan con un par de gramos y le dejan ir si les llevan hasta el camello.

Saludos"
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16367890,6,,pichas23,2015-02-23T23:07:12+00:00,3,21,"Y yo q pensaba q la Guardia Civil disparaba con pistolas de agua y repartía flores en los controles... Se me cae un mito. 
Enhorabuena a eldiario.es por su gran labor de investigación. Los grandes medios no se atreven a contar este tipo de cosas."
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16367854,5,2.0,--470730--,2015-02-23T23:01:44+00:00,5,30,"#2 Pues por tu comentario no parece mucho que la hayas leído, si me perdonas. Precisamente el artículo va de una grabación , que suponer poder detallar bastante una conversación que ha tenido lugar. Por lo demás, un policía debería portar una cámara de grabación de forma obligatoria, en todo momento que esté de servicio. No encuentro la noticia, pero en alguna ciudad de los Estados Unidos probaron este sistema, y al año siguiente habían disminuido un 90% las denuncias a la policía. La iniciativa ya está prendiendo en muchas otras ciudades de allí. 
http://www.sdpamerica.com/2014/08/alcalde-de-california-pide-que-policias.html"
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16367723,4,,--439127--,2015-02-23T22:41:25+00:00,2,19,"elDiario.es, endofobia en estado puro."
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16367705,3,2.0,comunerodecastilla,2015-02-23T22:38:20+00:00,13,77,"#2 ""supuestas confesiones de gente interesada y de la presunción de culpabilidad de los currelas de la guardia civil ."" Para eso que tu comentario destila imparcialidad en cada palabra. {lol} {lol} {lol}

Patetico"
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16367567,2,,landaburu,2015-02-23T22:20:45+00:00,8,10,"Ya lo he leído. SENSACIONALISTA de cojones. El diario no presenta ninguna prueba, parte de supuestas confesiones de gente interesada y de la presunción de culpabilidad de los currelas de la guardia civil.

Lamentable"
inmigracion,https://www.meneame.net/story/grabacion-revela-como-guardia-civil-ofrece-papeles-inmigrantes,2360591,16367542,1,,GustavoEnfurecido,2015-02-23T22:17:05+00:00,5,49,"""Si me ayudas, te puedo dar las llaves de Europa. Si me mientes, nos vamos a ver durante mucho tiempo"". Terrorífico."
