tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/condenas-hasta-7-anos-carcel-celula-yihadista-llego-espana,3863792,39461486,11,,Procurador,2023-10-13T09:23:19+00:00,0,10,Milagro que han agarrado a unos ...
inmigracion,https://www.meneame.net/story/condenas-hasta-7-anos-carcel-celula-yihadista-llego-espana,3863792,39439321,10,2.0,Jatetu,2023-10-10T00:31:37+00:00,0,6,#2 Entiendo que lo decía a modo de sarcasmo... pero después de leer tantas gilipolleces ya me haces dudar.
inmigracion,https://www.meneame.net/story/condenas-hasta-7-anos-carcel-celula-yihadista-llego-espana,3863792,39439319,9,,Jatetu,2023-10-10T00:30:38+00:00,0,6,Murió en la cárcel tan sólo por rapear.
inmigracion,https://www.meneame.net/story/condenas-hasta-7-anos-carcel-celula-yihadista-llego-espana,3863792,39438638,8,,pax0r,2023-10-09T21:12:31+00:00,1,19,"vaya perla el colega, alá lo tenga en su gloria."
inmigracion,https://www.meneame.net/story/condenas-hasta-7-anos-carcel-celula-yihadista-llego-espana,3863792,39438584,7,,porcorosso,2023-10-09T21:02:54+00:00,1,20,Spam racista
inmigracion,https://www.meneame.net/story/condenas-hasta-7-anos-carcel-celula-yihadista-llego-espana,3863792,39438485,6,,gontxa,2023-10-09T20:49:08+00:00,0,9,Pero si los que vienen en pateras son inocentes que huyen de los conflictos armados y del hambre y hay que abrirles las puertas de par en par. Dudo mucho que sean terroristas. Esto es un invent de los rubiales con toga {troll}
inmigracion,https://www.meneame.net/story/condenas-hasta-7-anos-carcel-celula-yihadista-llego-espana,3863792,39438470,5,4.0,El_Repartidor,2023-10-09T20:46:28+00:00,0,7,#4 en Menéame ser conservador es ser un ladrón y ser de izquierda ser un vago perroflauta.
inmigracion,https://www.meneame.net/story/condenas-hasta-7-anos-carcel-celula-yihadista-llego-espana,3863792,39438459,4,1.0,--759667--,2023-10-09T20:45:10+00:00,0,8,"#1 como decir que todos los musulmanes o católicos son terroristas, bonito mundo nos está quedando…"
inmigracion,https://www.meneame.net/story/condenas-hasta-7-anos-carcel-celula-yihadista-llego-espana,3863792,39438441,3,1.0,thekeeper,2023-10-09T20:43:18+00:00,0,10,#1 {calzador}
inmigracion,https://www.meneame.net/story/condenas-hasta-7-anos-carcel-celula-yihadista-llego-espana,3863792,39438407,2,1.0,LordVader,2023-10-09T20:38:16+00:00,0,10,#1 Porque tu lo digas.
inmigracion,https://www.meneame.net/story/condenas-hasta-7-anos-carcel-celula-yihadista-llego-espana,3863792,39438400,1,,plutanasio,2023-10-09T20:36:53+00:00,6,-24,los únicos terroristas son los judíos. negativazo
