tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28442526,307,306.0,--294839--,2019-12-12T06:03:00+00:00,0,11,"#306 ¿De qué grupo y enlace hablas?

Madre mia los cacaos mentales de la peña."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28442293,306,40.0,Marco_Pagot,2019-12-12T01:05:33+00:00,0,8,"#40 "" ¿Qué tiene que ver Vox con nada de lo que ha peusto el usuario que referencias?""

cuando comparten el enlace de menéame en vuestro grupo, cualquier insulto a la inteligencia que soléis escupir aparece de color naranja. El ser humano es cuanto menos sorprendente."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28433558,305,301.0,--622978--,2019-12-10T22:26:22+00:00,0,6,"#301 Pobrecita, te ha dolido el zasca que te he metido. Corre a llorar."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28432267,304,303.0,--622978--,2019-12-10T18:30:15+00:00,0,6,"#303 Desde hace un tiempo me pongo nicks de enfermedades.

Cosas como los vientres de alquiler, la regulación de las drogas y la prostitución, la ayuda a la violencia doméstica, la liberación sexual, la cosificación de los cuerpos, la lucha de clases... siempre han sido reivindicaciones de la izquierda. Pero con la llegada del feminismo la izquierda se ha ido a la mierda.

Y no me extraña, viendo la poca memoria que tiene la gente por aquí manipulan a las masas como les da la gana."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28432185,303,268.0,Keep,2019-12-10T18:15:48+00:00,1,15,"#268 Con tu nuevo nick no te había reconocido...ahora ya sé quien eres, me alegro de que hayas vuelto.
Sí,  conocía la plataforma pero no sabía que había asociaciones que se habían salido, es una pena que cuatro feminazis impongan su criterio."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28432063,302,300.0,thingoldedoriath,2019-12-10T17:51:42+00:00,0,10,"#300 En ningún momento te he jugado!! A no ser que consideres que contarte algunas de mis circunstancias personales, sea juzgar las tuyas. 
Si en algún momento te has sentido juzgado por mi (o atacado, como decías en un comentario anterior); lo lamento... esa no era mi intención y suelo tener bastante cuidado con lo que escribo, aunque siempre se puede interpretar de otra forma, claro. 

He contado algunas cosas de mi vida, para que se entendiera que mi pensamiento y mi personalidad tienen un trasfondo vital. Y que ese trasfondo no es el mismo que el de otra persona. 

Pero, mira... yo puse a los 16 años, porque tengo cotizaciones a la seguridad social de esa época; lo de antes no lo cuento porque no tenía contrato y era ""en negro"" (si es que en aquellos años se podía llamar así... éramos bastantes aprendices y se nos contrataba cuando ya habíamos aprendido; era otra época). 

Ahora soy un ""jubilado"", pero sigo pensando lo mismo que pensaba entonces: creo que si teníamos edad para trabajar y para casarnos!! porque cuando yo tenía 14 años, si ""tu chica"" se quedaba embarazada, no sólo no te impedían casarte, es que te llevaban al la iglesia y te casaban (tampoco había ningún impedimento legal, claro); lo que no era de recibo es que se nos prohibiese conducir un coche (yo lo necesitaba y lo usé, y nunca me pararon, no se si porque coincidió o porque me dejaba crecer la barba... hasta que pude examinarme) o votar... 

No se si tu pensabas algo similar cuando trabajabas a esas edades. Pero lo incongruente es que se te considere ""menor"" para unas cosas (ahora ya han cambiado las edades para algunas cosas... pero para trabajar, sigue en los 16 años) pero no para trabajar, pagar el IRPF y cotizar a la SS!! 
Yo lo pensaba entonces y lo sigo pensando ahora. La fecha de nacimiento no debía ser el único factor para considerar a una persona capacitada para tomar decisiones y en todo caso; si se sitúa la edad penal en una edad y el derecho/deber al trabajo en otra edad; la edad para conducir un coche o votar, no tendría que estar tan alejada (2 o 4 años después)."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28431414,301,299.0,BM75,2019-12-10T15:56:03+00:00,0,6,"#299 Insisto, he intentado debatir sobre las ideas. 
Al parecer, si no son las tuyas, no se pueden debatir, yo no puedo aportar nada y la única manera que tienes de debatir es atacarme e insultarme personalmente.

Hasta nunca."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28429785,300,295.0,--243043--,2019-12-10T12:45:33+00:00,0,7,"#295 Te voy a dar un dato, para que dejes de juzgar a mi persona, cosa que no tiene nada que ver con lo que era el debate, ni quita ni pone razón a ninguna de las partes. A los 14 yo ya trabajaba, 17 primer contrato."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28428743,299,296.0,--622978--,2019-12-10T10:38:39+00:00,0,6,"#296 Coño, eres el mismo que defiende la corrupción separatista!!!! Lo que decía, eres una persona sin criterio, solo repites los mantras de tus amos."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28428730,298,296.0,--622978--,2019-12-10T10:36:53+00:00,0,6,"#296 Como estás quedando como un carca hipócrita ahora te inventas eso de ""se paga por bebes"" cuando NADIE lo ha mencionado.

Por cierto, yo sí pago por los abortos con mis impuestos, pero eso te parece fenomenal como buena feminista que eres."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28428690,297,296.0,--622978--,2019-12-10T10:31:16+00:00,0,6,"#296 Estás adoctrinado si crees que se compran bebes, cuando en países como EEUU pagar por ellos es ilegal, la maternidad subrogada se hace de forma altruista. 

La propuesta de Cs prohibe el pago por alquilar el vientre. Por tanto supongo que rectificarás y estarás de acuerdo con estas medidas.

Vayaaaa, y luego dices que no estás adoctrinado jajajajaj  Venga, a repetir mantras feminista."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28428597,296,294.0,BM75,2019-12-10T10:16:12+00:00,0,6,"#294 Estoy intentando mantener el debate en las ideas, no en los ataques personales como tú. Si sigues con ad hominem es imposible. Deja de atarme personalmente. 

La diferencia entre aborto y gestación es el mercadeo. Por eso estoy a favor de una cosa y no de la otra. No considero que el aborto sea asesinato. 

¿De dónde sacas que esté en contra de la donación? Por favor, deja de debatir INVENTÁNDOTE cosas que no he dicho. He hablado de la compra, no de la donación.

Por último, reflexiona sobre el hecho de creer que los demás son los adoctrinados."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28428571,295,289.0,thingoldedoriath,2019-12-10T10:11:41+00:00,0,10,"#289 Que yo ataque tu modo de pensar no es lo mismo que, que tu te sientas atacado por mi forma de expresar mi pensamiento. Y ya te dije hace unos cuantos comentarios que no estábamos de acuerdo y que no íbamos a estar de acuerdo. No puedo estar de acuerdo contigo por muchas razones. 

Tu escribes: #113 Ni psicólogo ni nada! Eso solo debería ocurrir teniendo la mayoría de edad, no se puede, beber, conducir, votar, y un largo etc, no hay ""cabeza"" para eso a esas edades legalmente, pero sí para elegir un tratamiento médico a capricho, que te cambiará la vida, increíble lo de esta sociedad. Yo no bebí ni en la mayoría de edad ni bebo ahora... pero comencé a trabajar a los 16; y tenía cabeza para eso. Comencé a conducir un año antes de tener edad para hacer el examen del permiso de conducir. Muchos adolescentes comienzan a trabajar a esa edad aún hoy (en España) y eso no está prohibido en ninguna ley como las que les prohíben ""beber, conducir, votar, y un largo etc""...

Es sencillo; nacimos en generaciones diferentes y es probable que en lugares y familias diferentes. Tenemos vivencias y experiencias diferentes. Razonamos de formas diferentes Y lo expresamos de formas diferentes. 
No he escrito nada para atacarte. Pero no puedo controlar por qué expresiones puedes sentirte atacado en tu forma de pensar.  

Un saludo."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28428434,294,293.0,--622978--,2019-12-10T09:48:22+00:00,0,6,"#293 Pues entonces eres un hipócrita si otorgas capacidad a la mujer para abortar pero no para engendrar una vida para otras personas. Matar está bien pero parir está mal. Sí señor.

Si quieres comparar ambas cosas lo hacemos. Si te parece bien donar organos, cosa que es legal, también te parecerá bien donar bebes, sino vuelves a ser un hipócrita.

Estás utilizando el argumentario feminista de la donación de órganos, lo que demuestra que te han adoctrinado a base de bien. Supongo que estarás a favor de la ley de violencia de género y todo."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28428031,293,292.0,BM75,2019-12-10T08:44:24+00:00,0,6,"#292 Sigues atribuyéndome cosas que no he dicho, y enlazas con temas desde una perspectiva simplista haciendo asociaciones de ideas no necesarias. Por ejemplo, soy un pro-abortista convencido. No conoces mis valores.
La pregunta es mía ahora ¿Qué piensas tú de la venta de órganos? ¿Lo legalizarías porque es decidir sobre tu cuerpo?"
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28427911,292,291.0,--622978--,2019-12-10T08:27:34+00:00,0,6,"#291 Mentira? Estás pidiendo que el Estado prohiba a las mujeres decidir sobre su vientre. Lo próximo será prohibir el aborto? Prohibir la prostitución? Que no puedan exhibir sus cuerpos como azafatas??? (bueno, esto ya lo habéis cinseguido).

Lo que pasa es que te fastidia verte retratado como un conservador y como sabes que llevo razón te niegas a argumentar."
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28427168,291,281.0,BM75,2019-12-10T04:35:13+00:00,0,6,#281 tú prefieres que el Estado o la religión controle nuestros cuerpos Si recurres mentiras inventadas como esta no se puede debatir...
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28427015,290,100.0,Conde_Lito,2019-12-10T00:54:23+00:00,0,11,"#100 Se te va a caer el pelo, mira lo que pone dentro del libro. {troll} ""Reservados todos los derechos. De acuerdo a lo dispuesto en el art. 270 del Código Penal, podrán ser castigados con penas de
multa y privación de libertad quienes sin la preceptiva autorización reproduzcan, plagien, distribuyan o comuniquen públicamente,
en todo o en parte, una obra literaria, artística o científica, fijada en cualquier tipo de soporte."""
lgtbi,https://www.meneame.net/story/iu-desmarca-declaraciones-partido-feminista-sobre-transexualidad,3223002,28427011,289,282.0,--243043--,2019-12-10T00:53:33+00:00,0,7,"#282 Sigues defendiendo lo mismo, apruebas cirujia a petición de un niño con aprobación de un adulto. Sinceramente diferimos yo no apruebo la cirujia o tratamientos que ponen en riesgo a un niño, cuando su vida o su salud física están perfectamente. Si crees que no es así, entonces lo consideras enfermedad, que es tratable y curable con esos tratamientos. Yo no lo considero así. Tu problema médico no se parece en nada al problema identitario que pueda tener un trans, deja de intentar ser ejemplo. Creo que tus argumentos son disonantes y que te basas en experiencias que no son comparables, y que no justifican nada incluso siendo iguales, y que sigues atacando personalmente a mi modo de pensar. Yo sin embargo respeto tu postura. Cierro la conversación,por mi parte, un saludo."
