tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38650175,29,28.0,sauron34_1,2023-06-19T10:02:02+00:00,0,11,#28 a qué te refieres?
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38650016,28,20.0,Expat_Guinea_Ecuatorial,2023-06-19T09:43:26+00:00,0,10,#20 No conoces al PP
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38650009,27,,Expat_Guinea_Ecuatorial,2023-06-19T09:42:51+00:00,0,10,"Ya decia yo que el PP, que es el partido conservador de las medidas del PSOE, raro es que hiciera algo asi"
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38647801,26,,--136355--,2023-06-18T22:33:11+00:00,1,20,"Ribó se va haciendo el ridículo, supongo que es un homenaje a su desastroso mandato como alcalde"
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38647656,25,13.0,MAD.Max,2023-06-18T21:58:32+00:00,2,9,"#13 #20 pues en teoría no se puede 

Hay sentencia del tribunal Supremo que dice que no se pueden poner banderas no oficiales en los ayuntamientos. Así que no debería estar ni esa ni la del jubileo católico

En el ayuntamiento de Madrid la pusieron en 2019 y en 2020 salió esa sentencia
https://www.eldebate.com/espana/madrid/20220624/que-bandera-gay-no-puede-ondear-ayuntamiento-madrid.html"
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38647628,24,12.0,MAD.Max,2023-06-18T21:54:23+00:00,0,7,"#12 no respetan ni a los que vienen ni a los suyos, que es a quienes han intentado engañar"
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38647623,23,10.0,MAD.Max,2023-06-18T21:53:31+00:00,2,29,"#10 ponerla para quitarla y decir que ha sido otro el que la ha quitado.... Es ser muy cutre, lo haga quien lo haga.

Es mucho peor que no ponerla, porque es claro que no le interesa realmente y que solo la utiliza con fines políticos, sin importarle de verdad."
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38646699,22,13.0,hoplon,2023-06-18T19:15:04+00:00,2,22,#13 El problema es mentir y acusar a otros de algo que has hecho tú.
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38646477,21,14.0,baraja,2023-06-18T18:39:25+00:00,1,27,"#14 los símbolos son solo símbolos, que tenemos a los patriotas de bandera que quieren muy poco a su país y menos a sus compatriotas, nosésisementiende ..

Para mí lo importante son los hechos, no los símbolos {smiley}"
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38646451,20,,sauron34_1,2023-06-18T18:36:17+00:00,2,24,"Vale, cagada de Ribó. Ahora el PP todavía tiene todo el mes de Junio para volverla a poner y 4 años para no cargarse la celebración que ha montado Compromis en 2 legislaturas. Y ya os digo yo que eso no va a ocurrir."
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38646150,19,9.0,Vendemotos,2023-06-18T17:38:54+00:00,1,17,"#9 Toda la razón, con una puntualización: borrego sera quien participe de semejante circo votando a cualquier partido político en las elecciones. Todos nos toman por gilipollas, sin excepción."
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38646103,18,16.0,--642930--,2023-06-18T17:31:42+00:00,7,61,"#16 A ver pero Ribo es de los buenos, los que están en lado bueno de la historia, que se mee en la bandera da igual, lo importante es que los nuevos patata.
Si es que es pa reirse."
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38646008,17,11.0,--29750--,2023-06-18T17:13:44+00:00,12,88,"#11 Ribo hizo algo q nadie le va a echar en cara pq si hubiera salido bien, estaría con 1000 meneos aquí, pero como salió mal pasará sin pena ni gloria.

Lo normal"
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38645992,16,13.0,NeSilento,2023-06-18T17:11:03+00:00,9,73,#13 ¿El problema podría ser usar a un colectivo como herramienta política y demostrar que se es un hipócrita?
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38645981,15,4.0,NeSilento,2023-06-18T17:08:15+00:00,3,31,#4 Era su ultimito día.
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38645939,14,12.0,mcfgdbbn3,2023-06-18T16:58:43+00:00,0,12,"#12: Yo no le quitaría tanto la importancia a la bandera, es un gesto sencillo pero que dice bastante.

Si sienten que la bandera les ""pringa"", mal asunto."
lgtbi,https://www.meneame.net/story/ribo-reconoce-ahora-bandera-lgtb-no-quito-pp-sino-gobierno,3825502,38645931,13,,joangg,2023-06-18T16:57:12+00:00,2,25,"¿Cuál es el problema? Ahora la volverán a poner lo nuevos, no? Mejor espero sentado verdad? lol"
