tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38716590,14,12.0,--757112--,2023-06-27T22:19:48+00:00,0,7,"#12 Ah, que es que resulta que vivimos en un país donde hay una discriminación y persecución a los gays a nivel de Europa del este o países musulmanes y desde las instituciones se tiene que mandar constantemente señales de apoyo.

Qué apoyo más raro, solo durante X días {lol} . Ojalá tuviéramos leyes que castigasen la discriminación por motivo de orientación sexual y similares {roll} .

Ahora, el discursito demagogo culpándome a mí de todos sus males te ha quedado muy emotivo. Una basura argumentativa e intelectual, pero muy emotivo {cry}"
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38716438,13,12.0,--434302--,2023-06-27T21:49:37+00:00,2,33,"#12 Don't feed the troll.

Cuenta tocapelotas creada ad hoc dos días después de la convocatoria electoral.
No sé, Rick..."
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38715900,12,9.0,--693335--,2023-06-27T20:25:02+00:00,6,69,"#9 Porque aún hay gente como tú que no se ha dado cuenta de que no es la «bandera gay» sino la de la diversidad. Y en esa diversidad cabe todo el mundo, incluso yo, que soy hetero (al menos hasta ahora) y tú (con ese discurso)"
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38715882,11,2.0,--693335--,2023-06-27T20:22:35+00:00,1,21,#2 Qué pena dais (por no decir asco)
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38715853,10,9.0,powernergia,2023-06-27T20:19:13+00:00,2,33,"#9 #2  Aquí la única denuncia, presión y posible obligación sin un juez lo decide,  viene los abogados cristianos."
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38715828,9,,--757112--,2023-06-27T20:15:18+00:00,3,3,¿Pero por qué tienen que colgar la bandera gay?
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38715823,8,4.0,--461414--,2023-06-27T20:14:48+00:00,0,10,#4 Hunters
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38715806,7,3.0,--461414--,2023-06-27T20:12:29+00:00,1,-1,#3 por un trapo de colores {lol} {lol} {lol}
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38715783,6,2.0,Yonny,2023-06-27T20:09:24+00:00,3,23,#2 A qué presiones te refieres? quién presiona en contra de la igualdad de los españoles?
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38715746,5,4.0,Rorschach_,2023-06-27T20:05:18+00:00,1,-10,#4 {palm} {tongue}
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38715739,4,2.0,powernergia,2023-06-27T20:04:04+00:00,19,205,"#2 Si, es como cuando nazis y judíos se ""presionaban"" mutuamente."
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38715718,3,,ChanzaEtChascarrillo,2023-06-27T20:01:26+00:00,1,19,como locos por un trozo de tela {popcorn} {troll}
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38715678,2,,Rorschach_,2023-06-27T19:56:28+00:00,8,-37,Y colocarla es ceder a otras presiones.
lgtbi,https://www.meneame.net/story/ayuntamiento-logrono-vuelve-lucir-bandera-lgtbi-fachada,3828875,38715666,1,,robustiano,2023-06-27T19:55:29+00:00,1,38,La fachada estará que trina... {troll}
