tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/quien-da-menos-impactante-video-califica-reparto-refugiados-como,2475407,17669393,12,1.0,LuisPas,2015-09-09T14:10:19+00:00,1,21,#1 yo vi un informe de ACNUR hace año y medio que ya decia que esto iba a ser la peor crisis de refugiados de la historia... y no les han hecho ni p*** caso.
inmigracion,https://www.meneame.net/story/quien-da-menos-impactante-video-califica-reparto-refugiados-como,2475407,17669366,11,8.0,--484360--,2015-09-09T14:07:12+00:00,0,7,"#8 La guerra sigue su curso. No se ha conseguido todavía la victoria pues el ejército sirio está recibiendo apoyo de Rusia. Este inconveniente se arreglará pronto. Tampoco hay mucha prisa, pues mientras el pais se vaya vaciando el tiempo corre a favor.

Mientras tanto se realizarán más actos de propaganda, aunque se están acabando los monumentos importantes. Se guardan los mejores para el final.

El video de la notícia, aun sin ser muy bueno, es una contribución a la causa y se agradece. Esperamos que facilite reacciones acogedoras para con los inmigrantes. Los futuros emigrantes esperan esta clase de notícias ansiosamente. Cuando se hayan ido, sus casas desaparecerán y el territorio será ocupado por gentes de otro talante que echarán de allí al odioso, malvado, horrible estado islámico."
inmigracion,https://www.meneame.net/story/quien-da-menos-impactante-video-califica-reparto-refugiados-como,2475407,17669344,10,,cathan,2015-09-09T14:04:38+00:00,0,10,"Al estilo Homer Simpson: Me quedo con ese, ¿no lo tienen en rubio?"
inmigracion,https://www.meneame.net/story/quien-da-menos-impactante-video-califica-reparto-refugiados-como,2475407,17669277,9,,--484360--,2015-09-09T13:57:19+00:00,0,7,Vaya. Más propaganda.
inmigracion,https://www.meneame.net/story/quien-da-menos-impactante-video-califica-reparto-refugiados-como,2475407,17668625,8,,LaGataAgata,2015-09-09T12:35:46+00:00,1,17,"Vale por la ayuda a los refugiados, aunque a saber en qué parará. Lo que me pregunto es qué están haciendo (bueno) para acabar con la guerra y que esa gente pueda volver a sus casas, que es donde querrán estar. No han salido por gusto."
inmigracion,https://www.meneame.net/story/quien-da-menos-impactante-video-califica-reparto-refugiados-como,2475407,17668189,7,,--280619--,2015-09-09T11:30:48+00:00,0,9,El tipo de subasta que se ve en el vídeo se llama subasta inversa y es el que se usa en las lonjas de pescado. Me parece significativo.
inmigracion,https://www.meneame.net/story/quien-da-menos-impactante-video-califica-reparto-refugiados-como,2475407,17668059,6,5.0,--375782--,2015-09-09T11:13:38+00:00,0,6,"#5 Sí. Piensa que entre esas personas que huyen en el mar se encuentra algun hermano, o pariente tuyo, ¿Como te sentirías?. Es ofensivo. Si yo fuera uno de ellos y lo veo, me largo al desierto de Gobi.
 Y no respondo más ""preguntitas"". Una y basta."
inmigracion,https://www.meneame.net/story/quien-da-menos-impactante-video-califica-reparto-refugiados-como,2475407,17668025,5,3.0,--195023--,2015-09-09T11:09:02+00:00,0,7,#3 no entiendo tu comentario.  ¿Estás en contra del vídeo?
inmigracion,https://www.meneame.net/story/quien-da-menos-impactante-video-califica-reparto-refugiados-como,2475407,17667961,4,1.0,tul,2015-09-09T11:00:20+00:00,0,15,"#1 ahora que ha tomado prisa el control no les hubieran dejado hacerlo, #marcaespaña"
inmigracion,https://www.meneame.net/story/quien-da-menos-impactante-video-califica-reparto-refugiados-como,2475407,17667957,3,,--375782--,2015-09-09T10:59:50+00:00,0,6,"Estas cosas son las que envenenan a la sociedad.
Día a día TODOS los medios de comunicación ponen más dificultades y filtros para que los ciudadanos podamos opinar libremente.  En dos palabras. ESTAMOS HARTOS, de todos los que nos dirigen. INÚTILES. No os defendeis más que a vosotros mismos y a los de vuestra casta.
Qué necesidad hay de hacer esto?."
inmigracion,https://www.meneame.net/story/quien-da-menos-impactante-video-califica-reparto-refugiados-como,2475407,17667936,2,0.0,Raditz,2015-09-09T10:57:15+00:00,2,37,#0 https://www.meneame.net/story/quien-da-menos-subasta-refugiados-union-europea
inmigracion,https://www.meneame.net/story/quien-da-menos-impactante-video-califica-reparto-refugiados-como,2475407,17667920,1,,natrix,2015-09-09T10:55:41+00:00,5,68,"Muy bueno.
Han entrevistado a uno de los creativos esta mañana en la SER y me ha llamado la atención que ha dicho que el anuncio lo hicieron en junio.

En 3 meses seguimos en las mismas.

Y Siria lleva ya 5 años en guerra."
