tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27522770,16,11.0,--72046--,2019-08-01T21:50:40+00:00,0,6,#11 españa es el pais del mundo con menos nacimientos. Hace falta gente. Mejor hispanoamericanos que africanos. La 2a mejor postura de vox sin duda alguna.
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27519370,15,,--576374--,2019-08-01T11:32:07+00:00,0,6,VOX es PP del campo.
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27519354,14,,--302145--,2019-08-01T11:29:40+00:00,0,6,Putas mariconas cobardicas. Ya empiezan a defraudar a su electorado. Así no.
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27519343,13,,io1976,2019-08-01T11:28:42+00:00,0,7,Como no se van a poner deacuerdo si son lo mismo y defienden a los mismos. ¿A quienes van a defender los marqueses de Valtierra y Casa Fuerte?
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27519269,12,9.0,--441703--,2019-08-01T11:18:31+00:00,0,10,"#9 Es al revés. El que provocaría el castañazo sería Cs, no Vox. Y Cs bajaría y Vox subiría. Pero aún así, como no son los sillones su motivación, si no arreglar el desaguisado que provoca la izquierda cuando gobierna, es responsable y favorece la formación de gobierno. No como la ultraizquierda atrapasillones podemita, que va a lo suyo, ya que ven la debacle cercana, y los lujos de la nueva vida de diputados, no se mantienen solos."
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27519213,11,,tierramar,2019-08-01T11:11:01+00:00,1,5,"VOX es PROINMIGRACIÖN latina, para mantener el dumping laboral : para mantener altos indices de paro, sueldos miserables y precariedad; VOX es otro instrumento de los amos como PPSOE y C´s. Lean su programa en cuanto a inmigración, promueven la inmigración latina, que al no tener la barrera del idioma, permite mantener el dumping laboral en puestos cualificados también: médicos, ingenieros, informáticos. PROGRAMA de VOX: ""Reconocimiento constitucional de la Comunidad Histórica conformada por España y las naciones hispano-americanas . Contribución a la integración confederal del espacio ibero-americano.""Impulsar un gran Plan Nacional de Cooperación Internacional con las naciones de la comunidad histórica hispana..., garantizar la seguridad jurídica en los países de acogida y ordenar el flujo migratorio..   VOX con su publicidad hecha a medida de cada colectivo: en España se vende como antiinmigracionista; pero a la vez hace campaña en colectivos hispanos (Venezuela, Mexico, prometiendo la nacionalización)"
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27518923,10,1.0,--38321--,2019-08-01T10:28:06+00:00,1,15,"#1 

Y sillonera. Dame el sobre y me callo (como pasaba en la época en que el PP aunaba todo el trifachito)"
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27518885,9,4.0,xaviqaz,2019-08-01T10:24:53+00:00,2,19,"#4 Vox sabe que si provoca elecciones en la C. de Madrid podría pegarse un castañazo y gobernar la izquierda. Al final, como dice Javier Ortega, lo que les motiva es evitar gobiernos de izquierda.

No está por lo sillones... porque no se los dan. Vox está fuera de los gobiernos autonómicos y municipales. A mediados de junio decían que debían entrar sí o sí. Se verá si entorpecen la gobernabilidad o no. De momento en Andalucía ya han apoyado los presupuestos (con 5% más de gasto)."
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27518881,8,,--613485--,2019-08-01T10:24:26+00:00,0,10,Editado.
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27518857,7,,Qevmers,2019-08-01T10:21:15+00:00,0,7,"Esto no es una bajada de pantalones...
Se han bajado hasta las bragas y se agarran los tobillos sin doblar las rodillas..."
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27518828,6,,--44380--,2019-08-01T10:17:59+00:00,1,19,"Pues me parece genial, ya se acercan a la humanidad. Solo les queda condenar el terrorismo franquistas y sus acciones pasadas, dejar de homenajearlos, dejar de financiar a organizaciones que ensalcen los crímenes terroristas...."
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27518807,5,,tiopio,2019-08-01T10:16:20+00:00,1,23,Se bajan los pantalones en sus propuestas estrella para recoger las migajas económicas que les arrojan. Los voxemistas son así.
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27518796,4,2.0,--441703--,2019-08-01T10:15:31+00:00,2,19,"#2 es que Vox no está loco por los sillones, como los de extrema izquierda podemita. Que una cosa son las ideas para sacar votos entre los ingenuos y otra el dinerito del cargo, y lo chulo que queda mandar a los iguales."
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27518794,3,,Casiopeo,2019-08-01T10:15:23+00:00,0,12,"Voz va a acabar reabsorbida  por la nave nodriza, el PP. Abandonadas las estridencias, no va a haber quien les diferencie"
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27518767,2,,xaviqaz,2019-08-01T10:13:09+00:00,2,19,"Una lista de cosas genéricas (p. ej. bajar impuestos todo lo que se pueda) que Cs y PP ni siquiera firman, para luego pasar Vox a la oposición. Menudos ""pactos"" con Vox, eh?  Mientras Geroa Bai, Podemos, Més (izquierda soberanista de Baleares), Chunta y otros entran en gobiernos del PSOE."
lgtbi,https://www.meneame.net/story/vox-renuncia-derogar-leyes-lgtbi-cobrar-sanidad-sin-papeles,3164184,27518731,1,,--607544--,2019-08-01T10:10:33+00:00,10,106,Derechita cobarde
