tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27682026,14,8.0,ewok,2019-08-26T21:48:52+00:00,1,24,#8 ¿También hay mercados de esclavos en Turquía?
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27682018,13,5.0,ewok,2019-08-26T21:47:49+00:00,4,51,#5 En todo el Congreso de los Diputados solo votaron en contra de la intervención los dos del BNG y Gaspar Llamazares de iU.
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27681749,12,,spect84,2019-08-26T21:02:36+00:00,1,19,"Gadafi advierte de la llegada de ""millones de negros"" a Europa si pierde el poder en Libia.
https://elpais.com/internacional/2011/03/07/actualidad/1299452407_850215.html"
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27680729,11,,--38321--,2019-08-26T17:36:59+00:00,2,32,"¡imposible! si según los liberales todos los males vienen del estado y las regulaciones.

Si Libia es ahora el paraiso liberal."
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27679683,10,,Meneador_Compulsivo,2019-08-26T14:41:50+00:00,0,20,Con franco Gadafi se vivía mejor.
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27678956,9,,Odein,2019-08-26T12:25:15+00:00,1,17,Este debe ser el ejemplo de un buen golpe de estado que quieren poner en Venezuela. Seguro que parecerse a Libia será mejor que lo que tienen ahora.
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27677102,8,1.0,perico_de_los_palotes,2019-08-26T08:24:06+00:00,1,20,"#1 Secuestro el hilo para señalar que esta noticia es tan [x] errónea que hasta la desmontaba el mismo medio hace solo unos días: entran mas por Turquia y el Estrecho que por Libia, y las cifras se han reducido en los ultimos años en un 95%.

https://www.elconfidencial.com/mundo/europa/2019-08-23/open-arms-mafias-efecto-llamada-mediterraneo_2185251/"
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27676836,7,,Am_Shaegar,2019-08-26T07:40:02+00:00,0,9,El puerto pirata de la e migración.
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27676819,6,,--193513--,2019-08-26T07:37:25+00:00,3,41,"Libia era un país seguro y próspero, hasta que llegó EEUU y sus perrillos, para hacerlo un país inseguro y poder así meter sus empresas y ganar dinero. Y si todo el tráfico viene de ahí, será lo de la inmigración una estrategia para hundir los países europeos? Lo bonito es que tanto la izquierda como la derecha apoyan a EEUU en esto. La izquierda porque quiere que vengan inmigrantes para hacernos multiculturales, y la derecha porque quieren mano de obra barata."
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27676780,5,2.0,--589834--,2019-08-26T07:29:39+00:00,5,6,"#2 España? Libia?

Tú has venido a soltar tu basura nazi-onalista hispanofoba y si cuela cuela, no?"
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27676362,4,,cromax,2019-08-26T05:46:28+00:00,1,27,"Esta frase creo que resume bien el posible futuro: Marruecos, Egipto o Turquía se han demostrado buenas inversiones para evitar que inmigrantes y refugiados lleguen en grandes números a las costas europeas, Vamos Libia, somos Europa y queremos que seáis nuestros mercenarios anti-inmigración como Marruecos o Turquía. Pagamos bien y no hacemos preguntas."
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27676310,3,,dañocolateral,2019-08-26T05:24:22+00:00,1,19,"Debe ser a eso a lo que se refieren con ayudarlos en origen. Con lo que estoy de acuerdo, ironías aparte, no creo que la gente emigre por gusto ni Europa puede acoger a todos los inmigrantes, pero sospecho que a lo que se refieren realmente es a hacer un mero limosneo que se utilizará luego como palanca de negociación para llevarse el gato al agua con otros temas, es decir, lo que hace el FMI pero más suave."
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27676302,2,1.0,Priorat,2019-08-26T05:19:32+00:00,6,59,"#1 Exacto, el caos producido USA, Italia, Francia, España,..."
inmigracion,https://www.meneame.net/story/como-caos-convirtio-libia-puerto-pirata-migracion-mediterraneo,3174242,27676292,1,,Raul_pm,2019-08-26T05:12:14+00:00,22,230,"El caos no, la intervención de la Organización Terrorista del Atlántico Norte."
