tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27937297,14,,vicus.,2019-10-03T08:34:47+00:00,0,16,PP y PSOE la misma mierda es..
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27937289,13,,vicus.,2019-10-03T08:34:02+00:00,0,16,Viva la justicia universal..
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27936426,12,3.0,Qevmers,2019-10-03T06:04:55+00:00,0,8,"#3 no se preocupe.
Utilice la donde y como quiera.
Las verdades son universales, no tienen dueño."
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27936163,11,1.0,--516568--,2019-10-03T03:31:17+00:00,3,47,#1 Lo comentaba aquí cuando la peña se llevaba las manos a la cabeza... Trump propuso disparar en las piernas a los inmigrantes que llegaran de México https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27936000,10,8.0,Mosquitocabrón,2019-10-03T00:04:05+00:00,0,9,"#8 Pies yo no lo dudo, lo hará."
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27935943,9,,cocolisto,2019-10-02T23:24:04+00:00,6,66,"No veo que hayan salido en defensa del guardia civil que denunció al nieto de Franco.Se nota que hay gente vulnerable a quien matar e hijosdeputa poderosos a quien librar.

""El nieto de Franco se libra de ir a la cárcel por el atropello a dos agentes
El suceso se produjo en 2012, cuando dos guardias civiles dieron el alto a un vehículo que circulaba con las luces apagadas y en sentido contrario""

https://www.google.es/url?sa=i&source=web&cd=&ved=2ahUKEwjJ17nn2_7kAhXFzIUKHZLyAKgQzPwBegQIARAC&url=https%3A%2F%2Felpais.com%2Fpolitica%2F2019%2F10%2F01%2Factualidad%2F1569949735_104590.html&psig=AOvVaw0Ao64lvcJr1EpAdXcThxo1&ust=1570144929575483"
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27935910,8,5.0,--549461--,2019-10-02T23:04:15+00:00,1,25,"#5 son abogados, su naturaleza es mentir y no hay que alarmarse. Lo que habrá que ver es si el juez se traga esa mierda del lado español"
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27935869,7,,super3,2019-10-02T22:46:00+00:00,0,8,Marca Ñordia.
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27935862,6,,makinavaja,2019-10-02T22:44:15+00:00,2,25,"Aplicando la teoria estadounidense de los hijoputas: es un hijoputa, pero es ""nuestro"" hijoputa..."
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27935850,5,,Stiller,2019-10-02T22:39:52+00:00,8,113,"¿El lado español del mar? 

No sabía que si les dejabas ahogarse en tus puta narices pero estaban a diez metros de tu costa no es denegarles el auxilio de socorro

Y, sobre todo, cuánto territorio ocupan nuestras costas, ¿veinte metros?

¿Me están diciendo que los salvavidas de las playas españolas en Ceuta se meten 10 metros más a la derecha a salvar a un bañista y están invadiendo territorio marroquí? 

Es acojonante."
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27935834,4,,--541279--,2019-10-02T22:34:00+00:00,7,67,Cómo se nota la izquierda en el gobierno.
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27935766,3,2.0,--618240--,2019-10-02T22:05:48+00:00,2,38,#2 Lo pensé pero no quería pisarle la frase a @Qevmers.
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27935761,2,1.0,Socavador,2019-10-02T22:03:21+00:00,3,46,"#1 Cara al sol, se dice cara al sol, y sí, tienes razón."
inmigracion,https://www.meneame.net/story/gobierno-sale-defensa-guardias-civiles-procesados-muertes-pide,3191388,27935758,1,,--618240--,2019-10-02T22:02:27+00:00,16,151,El Estado protegiendo a gentuza. Nada nuevo bajo el sol.
