tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/menores-inmigrantes-suman-concentracion-vecinos-hortaleza-contra,3222705,28428201,14,11.0,--627368--,2019-12-10T09:07:56+00:00,0,7,"#11

Eres un crio patetico. Te dedicas a votar negativo a mis comentarios de otros hilos que nada tienen que ver porque te ha escocido. 
Tu ni eres de Madrid seguro y vienes a dar lecciones, mas aun, me citas un panfleto que sale cada 2 meses como fuente de realidad y luego resulta que escriben gente de IU en el. 
Te paso varios medios y todos son fachas y mentiras. 
Lo de los tirones de bolso, cadenas, robos en farmacias, coches rotos... eso llevan años y a ningun vecino nadie le ha ido a preguntar, claro.

Pero bueno, sigue, que ya te retratas.

Ale, vete a tomar el cola cao, que te llama tu madre."
inmigracion,https://www.meneame.net/story/menores-inmigrantes-suman-concentracion-vecinos-hortaleza-contra,3222705,28424697,13,11.0,--627368--,2019-12-09T17:25:39+00:00,0,7,#11 sigo a la espera de una respuesta argumentada a lo dicho en #12 así como me confirmes si has vivido o vives en el barrio.
inmigracion,https://www.meneame.net/story/menores-inmigrantes-suman-concentracion-vecinos-hortaleza-contra,3222705,28420912,12,11.0,--627368--,2019-12-09T09:45:02+00:00,0,7,"#11 

El diario digital? eso es un panfleto que sale cada 2 meses. He sacado telemadrid porque es lo primero que sale en google, es tan valido como otros muchos medios que encontraras la noticia.
Aqui tienes un video:
https://www.abc.es/espana/madrid/abci-asaltan-centro-hortaleza-palos-y-piedras-ajuste-cuentas-contra-menas-201910292035_video.html
https://www.20minutos.es/noticia/4044648/0/hortaleza-sufre-oleada-robos-coches-nuevos-barrios/
https://gacetinmadrid.com/2019/07/25/cuatro-nuevos-robos-a-bares-sacuden-san-blas-canillejas-hortaleza-y-arganzuela/
https://www.lainformacion.com/asuntos-sociales/trabajadores-centro-mena-hortaleza-agresiones/6517002/

Ese apoyo vecinal no es una flota de autobuses venidos de toda españa, esa chorrada la has dicho tu. Han venido unos cuantos de partidos politicos y simpatizantes, eso lo sabes. He vivido en hortaleza amigo, has vivido tu? Sobre tu diario:

https://es.wikipedia.org/wiki/Hortaleza_Peri%C3%B3dico_Vecinal

el tal Isaac que dice escribir:
https://es.wikipedia.org/wiki/Isaac_Rosa De cara a las elecciones generales de 2011 manifestó su apoyo a la candidatura de Izquierda Unida.1 Y otro actor (que son la mayoria del PSOE)
https://es.wikipedia.org/wiki/Agust%C3%ADn_Jim%C3%A9nez"
inmigracion,https://www.meneame.net/story/menores-inmigrantes-suman-concentracion-vecinos-hortaleza-contra,3222705,28420622,11,10.0,Marco_Pagot,2019-12-09T09:03:11+00:00,0,8,"#10 A golpe de tu adoctrinamiento, querrás decir, simpatizante de VOX. Te muestro la verdad mediante pruebas gráficas y documentadas del propio barrio, con enlace a un diario digital de los propios vecinos del barrio ya que es lo que pedías, traer a menéame las opiniones de los propios vecinos. Tú respondes con enlaces que te interesan de medios que no están contando la realidad próxima que te muestro (Telemadrid, una fuente rigurosa cojonuda) y que ni mucho menos son del barrio, una contradicción cojonuda. Porque para ti todo este apoyo vecinal ha sido posible gracias a una flota de buses venidos de toda España. Eres ridículo.

Se nota que ni eres de hortaleza. Dadas las pruebas tu fin es el discurso del odio. Debería darte vergüenza hacer eso contra niños, menores de edad, muchos españoles.

@admin, la cuenta sigue vertiendo odio y mintiendo contra niños con fines de manipular a otros lectores a base de falsa información."
inmigracion,https://www.meneame.net/story/menores-inmigrantes-suman-concentracion-vecinos-hortaleza-contra,3222705,28420187,10,9.0,--627368--,2019-12-09T07:51:19+00:00,2,12,"#9 

Menos latín y mas decir la verdad.
Eso de diario de hortaleza y las 500 personas no hay ni 10 de hortaleza. 
Niños españoles no hay ni 10, que me sa igual,  estos debian de estar con sus padres que los tienen, no viviendo sin nadie y a los 18 a la calle.
http://www.telemadrid.es/noticias/madrid/Vecinos-centro-menores-Hortaleza-manifiestan-0-2177782202--20191117082549.html

A golpe de google tienes todas las noticias de robos.

Eso si, el alcalde del psoe de un municipio lejano a Madrid se negó a un centro de estos, a que lo montaran. Hipocrita.
Seguro que tu no tenias problema alguno verdad?

Primero la nadia que se ha ocultado que es una ex traficante y no víctima de viogen, ahora los menaa son angelitos y mañana los manteros son seres de luz, junto con los gitanos que solo quieren trabajar.

Mandemos todos a tu barrio."
inmigracion,https://www.meneame.net/story/menores-inmigrantes-suman-concentracion-vecinos-hortaleza-contra,3222705,28419557,9,8.0,Marco_Pagot,2019-12-08T23:19:34+00:00,3,5,"#8 discurso de agenda.

Diario vecinal
https://www.periodicohortaleza.org/hortaleza-se-manifiesta-por-la-convivencia/

Más de medio millar de personas se suman a la concentración contra los discursos de odio convocada por el vecindario. «No estáis solos, estamos con vosotros», han coreado los asistentes ante el Centro de Primera Acogida de Hortaleza

Miserable que se defienda el discurso del odio y se cometa un excusatio non petita acussatio manifesta de manual. Todo por atacar, deshumanizar y odiar a niños, entre ellos niños españoles."
inmigracion,https://www.meneame.net/story/menores-inmigrantes-suman-concentracion-vecinos-hortaleza-contra,3222705,28419512,8,7.0,--627368--,2019-12-08T23:07:50+00:00,4,18,"#7 de que discurso de odio me hablas?

Ahora va a reusltar que los vecinos son todos unos fachas y mentirosos.
Lo de los tirones de bolso y coches rotos son inventadas.
Mientras ortega smith daba un mitin en la puerta pidiendo mas seguridad saltaba un mena el muro de dentro a fuera.
Y esto te londigo sin ser de vox, antes de que me metas ahí para deslegitimar mi comentario.

Es bastante nauseabundo que haya que acudir a medios de derechas para recoger información real.

https://www.meneame.net/m/actualidad/nadia-otmani-pero-heroina-cierto"
inmigracion,https://www.meneame.net/story/menores-inmigrantes-suman-concentracion-vecinos-hortaleza-contra,3222705,28419410,7,6.0,Marco_Pagot,2019-12-08T22:45:17+00:00,5,-7,"#6 #6 hola @admin, espero que se tomen medidas contra esta cuenta de reciente creación dedicada al discurso del odio contra niños en base a mentiras."
inmigracion,https://www.meneame.net/story/menores-inmigrantes-suman-concentracion-vecinos-hortaleza-contra,3222705,28419306,6,,--627368--,2019-12-08T22:14:53+00:00,3,2,"Cuantos de ellos son de verdad los vecinos que sufren a diario los robos y coches reventados?

Porque de hortaleza se puede ser de la otra punta."
inmigracion,https://www.meneame.net/story/menores-inmigrantes-suman-concentracion-vecinos-hortaleza-contra,3222705,28417892,5,1.0,box3d,2019-12-08T17:38:56+00:00,5,71,"#1 La noticia es que han puesto ""inmigrantes"" en el titular, sin olvidarse del ""in"" {lol}"
