tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19109273,15,,--217613--,2016-03-22T21:08:15+00:00,2,28,"Cuando se escriba la historia de Europa en el siglo XXI, si queda alguien para escribirla, este será uno de los capítulos de la vergüenza."
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19109070,14,,--508782--,2016-03-22T20:29:29+00:00,0,19,"Como me entere yo que participan, sin mi cuota que se quedan...

Y ando un poco mosqueado con lo suyo en venezuela y colombia...."
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108971,13,12.0,ipanies,2016-03-22T20:10:14+00:00,1,23,"#12 Me quieres decir que si damos un trato digno a esas personas, hacemos peligrar la economía de la zona euro con cientos de millones de habitantes? como digo no soy economista, pero ese argumento me parece un poco débil."
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108947,12,11.0,--480494--,2016-03-22T20:06:56+00:00,1,22,"#11 A Turquía no se la ha convencido solo con pasta, si no con promesas de adhesión. No obstante los pagos que se le hacen son calderilla en comparación con el cargo económico de mantener a los refugiados de forma continuada. Todo eso pensando que eso de que es ""nuestro deber"" es completamente subjetivo.

Recuerda que también hay que pagar escuelas, sanidad, obras públicas..."
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108915,11,10.0,ipanies,2016-03-22T20:01:09+00:00,0,13,"#10 Vale, no soy economista, pero se me ocurre otra alternativa, sacar el dinero del mismo sitio de donde se va a sacar los miles de millones que les vamos a pagar a los turcos por cumplir con nuestro deber."
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108887,10,9.0,--480494--,2016-03-22T19:58:39+00:00,1,22,"#9 En un préstamo recibes un rédito e incluso puedes capitalizar el riesgo. Nada que ver con ""se imprime dinero"".

Si hacemos lo que tu dices terminamos como en Zimbabue."
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108874,9,7.0,ipanies,2016-03-22T19:56:16+00:00,0,13,#7 A cuanto esta prestando el BCE?
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108866,8,0.0,BillyTheKid,2016-03-22T19:54:51+00:00,0,20,"#0 duplicada https://www.meneame.net/story/acnur-retira-nuevos-centros-detencion-refugiados-islas-griegas
y además, emoieza  a ser cansina https://www.meneame.net/story/msf-cesa-actividad-campamento-lesbos-no-ser-complice-acuerdo-ue"
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108863,7,4.0,--480494--,2016-03-22T19:54:34+00:00,2,29,#4 Mucho me temo que el dinero no funciona así...
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108853,6,4.0,--66745--,2016-03-22T19:53:36+00:00,1,18,"#4 Eres un genio.

Pero sigue proponiendo, ¡no te pares ahí! ¡El mundo tiene derecho a saber!"
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108830,5,,--449180--,2016-03-22T19:49:45+00:00,3,39,"Se le puede dar todas las vueltas que quieras, pero este capítulo de la historia de Europa es una vergüenza. Y ojo que no es el único, simplemente este es especialmente gordo."
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108693,4,3.0,ipanies,2016-03-22T19:27:18+00:00,1,24,"#3 Esto no cuesta nada, se imprime dinero como hacen los EE.UU. cuando tienen un desastre y se hace lo que hay que hacer."
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108682,3,2.0,--36782--,2016-03-22T19:25:15+00:00,5,53,#2 lo que cuesta que lo hagan los ejércitos
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108662,2,,ipanies,2016-03-22T19:22:07+00:00,8,102,"Somos vergonzosos. No digo que la solución sea dejar pasar a todo el mundo, pero como mínimo, los ejércitos europeos podrían haber montado un campamento de la hostia en este tiempo. Se garantizan unas mínimas medidas de confort y se estudia caso por caso si hace falta, pero no es de recibo las imágenes que nos llegan de los barrizales y críos medio desnudos."
inmigracion,https://www.meneame.net/story/acnur-niega-participar-expulsiones-refugiados-turquia,2586082,19108658,1,,ewok,2016-03-22T19:21:43+00:00,4,53,"La meneo, aunque lo contrario sería desconcertante, chocante e indignante hasta el extremo... ¿qué haces tú, colaborador de Acnur, si te enteras que con tus aportes mensuales ellos ayudan a expulsar a los refugiados a Turquía? {shocked}"
