tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39755237,32,30.0,carrugui,2023-11-28T06:47:12+00:00,1,17,#30 Don't feed the troll.
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39755024,31,30.0,--13404--,2023-11-28T04:41:55+00:00,0,11,"#30 Iba para #_29
Cc #10"
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39753559,30,,--13404--,2023-11-27T19:38:59+00:00,1,17,"en un rato te ignoro por las tonterías que sigues sosteniendo sin tener ni puñetera idea, te lo digo con cariño, amor y respeto pero si no sabes difrenciar un tipo penal con sus consecuencias penales como privación de libertad o algo accesorio y pretendes hacer pasar lo que conllevaría una sanción administrativa pues… tú mismo
Yo sí que no pierdo más el tiempo (u mira que lo buscaste pero al no saber/ no leer, el buen link se quedó en nada; como además defiendes tu “”””””argumento”””””” erre que erre, pues… si te he visto no me acuerdo 
Que te vaya bien {hug}"
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39753515,29,28.0,--758659--,2023-11-27T19:32:57+00:00,0,8,#28 Pffffff.... das mucha pereza. De verdad.
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39753474,28,27.0,--13404--,2023-11-27T19:25:54+00:00,1,20,"#27 en serio no sabes diferencia un ilícito penal del código penal o alguna ley penal especial de cualquier cosa?
Increíble mnm y sus comentarios"
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39750559,27,19.0,--758659--,2023-11-27T11:46:14+00:00,0,8,#19 ¿En serio no sabes interpretar un BOE?
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39750512,26,5.0,cfsr86,2023-11-27T11:41:27+00:00,1,16,"#5 pero el otro día no sé en qué pueblo, regalaban escudos de PN a los de desocupa y nos parecía genial, pq la podían comprar en cualquier tienda de merchandising, y blabla..."
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39749474,25,,devilinside,2023-11-27T09:37:09+00:00,3,37,"No es un delito, es una infracción administrativa como te han dicho. Y los pavos estos se han encontrado con la ropa en un contenedor de basura, por lo que igual hay que sancionar al agente de la GC que la soltó alegramente"
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39749460,24,,camvalf,2023-11-27T09:35:15+00:00,0,10,"Osea un montaje para lanzar un nuevo bulo. 
Tenían que investigar al autor material y al intelectual (ya sé que es una palabra que les queda larga) de los hechos."
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39748583,23,18.0,ochoceros,2023-11-27T07:22:49+00:00,0,12,#18 En #17 tienes más explicación del punto del comentario #4.
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39748564,22,,casicasi,2023-11-27T07:20:41+00:00,0,11,La foto más surrealista en años.
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39748498,21,11.0,carrugui,2023-11-27T07:02:46+00:00,2,22,#11 Para que fuese delito tendrían que vestir el uniforme oficial completo y aún así habría que buscar el dolo en esa acción. Sería aplicable el art. 402 bis del CP.
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39748360,20,13.0,--720270--,2023-11-27T06:06:36+00:00,0,7,"#13 En verdad en la foto hay cinco ""jóvenes"", pero uno va camuflado y cuesta de ver. {troll}"
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39748271,19,11.0,--13404--,2023-11-27T03:07:33+00:00,3,40,#11 Y? Entiendes la diferencia entre derecho penal y disciplinario o administrativo (incluso administrativo sancionador) Ahí no pone nada de delitos
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39748270,18,4.0,--13404--,2023-11-27T03:04:20+00:00,0,11,"#4 ese link vale 0 (revisa lo que subes)

La razón aparece en la noticia, léela"
inmigracion,https://www.meneame.net/story/guardia-civil-abre-investigacion-imagen-inmigrantes-ceuta-cuerpo,3880582,39748192,17,7.0,ochoceros,2023-11-27T00:38:51+00:00,1,23,"#7 Evidentemente no son los verdaderos, el punto es que puestos a suplantar a las FFCCSE es mucho más fácil distinguir a un africano que ni habla español con un triste jersey puesto puesto que a este elemento, dado lo que pudo liar (millones de estafa) con esa documentación falsa y las instrucciones de cómo usarla: https://www.eldiario.es/politica/disfraces-comisionista-luceno-corbata-cni-boina-capitan-ejercito-tierra_1_10145664.html

Y vemos que la GC sí investigará a los primeros mientras el segundo sigue sin condena pese a ser infinitamente más grave la suplantación, que como bien dices en #5 ""el hecho de que se cometa un delito y nadie pague por ello debería de hacernos reflexionar sobre la seguridad que tenemos"" ."
