tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27130469,24,,Smidur,2019-06-04T01:18:46+00:00,0,8,En Francia estos ataques se han multiplicado en los últimos años.....adivinar el porqué.
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27130465,23,,Smidur,2019-06-04T01:12:21+00:00,0,8,"""Un pareja gay denunciaba este fin de semana haber sufrido una agresión homófoba a manos de siete magrebíes. Fue este sábado, en Barcelona, cerca del parque Joan Miró del Eixample de la Ciudad condal, donde ambos fueron agredidos. Una de las víctimas, el joven Xavier Martínez, ha denunciado"""
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27122850,22,20.0,--405202--,2019-06-02T20:57:19+00:00,0,6,"#20 es igual de delito, pero marroquíes de extrema derecha poquitos."
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27122576,21,17.0,Señorantisistema,2019-06-02T20:11:47+00:00,0,8,#17 te remito a #19
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27122565,20,19.0,Señorantisistema,2019-06-02T20:10:16+00:00,0,8,#19 y??? Yo estaba contestando a tu absurdo comentario. O es que es más delito sean marroquíes o españoles???
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27121998,19,5.0,--405202--,2019-06-02T18:34:06+00:00,0,6,#5 eras marroquíes figura.
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27120383,18,,Nova6K0,2019-06-02T13:17:26+00:00,0,10,"Me encantaría ver un juicio por Twitter, pero cada uno en sus casas y que lo hiciesen por videoconferencia:

El acusado que salga de la cama y se ponga en pie... {lol}

Salu2"
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27120348,17,3.0,--496908--,2019-06-02T13:09:48+00:00,0,7,#3 #5 Fue un grupo de MENAs por lo que parece. En google podras encontrar el significado
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27120018,16,15.0,manson2000,2019-06-02T11:51:44+00:00,0,7,"#15 Es un problemon. Porque son menores, los centros de atención aunque se desgañiten no van a lograr ser las figuras paternas que se necesitan, no suelen tener formación ninguna, no son especialmente receptivos a recibirla (al menos lo poco que yo conozco), en grupo se empeoran y da vertigo expulsarles porque seguimos pensando que prima la protección. Lo malo es que mientras no encontramos el camino estas cosas incendian las sociedades (yo tengo amigos en bilbao que echan fuego por la boca)."
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27119921,15,13.0,--394145--,2019-06-02T11:36:40+00:00,0,14,"#13 Si, esos jóvenes también son un problema que el sistema no puede o no quiere atender"
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27119843,14,12.0,manson2000,2019-06-02T11:27:16+00:00,0,7,"#12 Desde luego a la izquierda no (o vamos estadísticamente raro). Pero siendo menas en un centro a cargo de la Gen, el perfil no suele ser ultraderechista (que suele tener plato y comida en casa). De todas las maneras supongo que el chico ampliará informacion (o los Mossos)."
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27119834,13,10.0,manson2000,2019-06-02T11:25:51+00:00,1,13,"#10 No es raro, pero yo tengo la impresion (no tengo los datos vaya por delante) que de últimas (en especial en Bilbao y Barna) los menas son mas frecuentes que los clásicos ultras (que por supuesto ahí están y no paran)."
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27119828,12,8.0,Señorantisistema,2019-06-02T11:25:13+00:00,0,8,#8 hombre... En España las situaciones violentas de este tipo no se asocia a la izquierda. Y el hecho de que sean menores no quiere decir que no tengan ideas extremistas. Un menor puede ser un chaval de 14 o 17 años por ejemplo.
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27119800,11,7.0,Señorantisistema,2019-06-02T11:21:55+00:00,2,24,"#7 no. Pero en este caso hay una probabilidad bastante alta de que lo sea. Si ponemos en una jaula a un gorrión y un gato, y un minuto después no está el gorrión, es posible que el gorrión se haya escapado por un hueco, pero hay una probabilidad muy alta de que el gato se haya comido al gorrión..."
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27119789,10,8.0,--394145--,2019-06-02T11:20:52+00:00,0,14,#8 Tampoco es raro que ocurra.
lgtbi,https://www.meneame.net/story/agresion-homofoba-barcelona-pareja-gay-denucia-ataque-twitter,3135978,27119770,9,3.0,oso_69,2019-06-02T11:18:35+00:00,0,9,#3 Go to #8
