tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20290275,76,70.0,chan_,2016-09-08T08:35:09+00:00,1,12,#70 Bonita falacia del falso dilema.
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20289266,75,74.0,Seze,2016-09-08T00:38:29+00:00,1,16,"#74 Eso lo hacemos todos... yo lo hago y no me quita el lado solidario. 

En una de esas tu pantalla es más rancia que la mía."
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20289263,74,73.0,--508654--,2016-09-08T00:36:57+00:00,0,6,#73 O a lo mejor estoy delante de la pantalla como ahora mismo justamente mientras hago otros quehaceres
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20289256,73,69.0,Seze,2016-09-08T00:34:27+00:00,0,10,"#69 Si claro, escribir cosas sin sentido anula el comentario inicial. y logicamente el tiempo que empleo en escribir esto entra dentro del tiempo que empleo para ello algo que desconoces Ganas dinero poniendo comentarios en Menéame?"
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20288485,72,50.0,--508654--,2016-09-07T20:31:55+00:00,0,6,#50 Llamas perros a los españoles?
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20288483,71,46.0,--508654--,2016-09-07T20:31:26+00:00,0,6,"#46 Y asi les va, criticados por dar asistencia a los que otras organizaciones subvencionadas por el estado no dan."
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20288475,70,58.0,--508654--,2016-09-07T20:29:59+00:00,0,6,"#58 Pues tambien, pero asi parezco mas facha, y menos etarra, igualmente supongo que ellos querian parecer mas posturetas progres."
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20288473,69,45.0,--508654--,2016-09-07T20:29:02+00:00,0,6,"#45 A lo mejor bastante tengo con darme para comer yo y mi familia, y logicamente el tiempo que empleo en escribir esto entra dentro del tiempo que empleo para ello algo que desconoces. Saludos."
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20288222,68,,mariopg,2016-09-07T19:49:35+00:00,0,6,"pues me parece regular. mientras haya europeos que pasan hambre (que los hay, y más de los que nos pensamos)..."
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20287934,67,3.0,--214483--,2016-09-07T18:48:19+00:00,0,11,#3 mi padre suele colaborar a veces con ellos. Son mas de 4 chicos
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20286729,66,,DaniRivas,2016-09-07T15:15:48+00:00,2,28,"He creado un Te respondo por si a alguien le quedan dudas sobre nuestro trabajo: https://www.meneame.net/m/TeRespondo/voluntarios-zaporeak-damos-comer-gente-isla-griega-quios

Gracias!"
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20286289,65,,DaniRivas,2016-09-07T14:25:52+00:00,2,28,"Hola a todos, gracias por menear esta noticia y como dicen los compañeros @kowagunga y @likiniano yo soy uno de los coordinadores de Zaporeak y puedo responderos lo que queráis. Así que aquí estoy para lo que queráis. 

Un abrazo y gracias"
inmigracion,https://www.meneame.net/story/somos-grupo-amigos-san-sebastian-da-comer-1-700-refugiados,2668254,20286182,64,29.0,Ni_Neu,2016-09-07T14:12:51+00:00,0,6,"#29 No sé por qué dices eso. Según datos de febrero 2016 (ahora Turquía acoge a muchísimos más tras el vergonzoso acuerdo firmado con la UE), Turquía acogía a 2,5 millones de refugiados, Líbano 1,1 millones, Jordania más de 600.000, Iraq 245.000 y Egipto 117.000. 
Fuente: Amnistia Internacional (https://www.amnesty.org/es/latest/news/2016/02/syrias-refugee-crisis-in-numbers/)"
