tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26761238,25,2.0,xabonda,2019-04-09T15:31:16+00:00,0,16,"#2 #3 a ver si quiso decir ""histericamente"" {troll}"
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26761053,24,23.0,d5tas,2019-04-09T15:11:04+00:00,1,-5,#23 Para que se cree este tipo de subproducto humano se debe dar cosanguineidad durante varias generaciones. Tengo una amiga que sus padres son primos hermanos y ahí donde la ves lleva un laboratorio de genética en una universidad importante de Inglaterra.
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760893,23,,obmultimedia,2019-04-09T14:50:45+00:00,0,8,"este es fruto del amor entre primos hermanos , no?"
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760526,22,,--586391--,2019-04-09T14:05:39+00:00,0,8,Edit
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760465,21,20.0,Qevmers,2019-04-09T13:56:44+00:00,3,24,"#20 que mas quiere, cuidado que palabras utiliza con el... Es licenciado en derecho por Deusto (es un Abascal...), vamos como la licenciatura de Casado..."
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760439,20,16.0,bol,2019-04-09T13:52:21+00:00,0,7,"#16 Cuenta, cuenta..."
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760390,19,7.0,--11417--,2019-04-09T13:45:29+00:00,1,33,"#7 a eso venía, se supone que el Big Bang para este hombre es justo ese año {grin}"
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760386,18,5.0,Priorat,2019-04-09T13:45:13+00:00,1,26,#5 Yo creo que más bien se refiere a 1940.
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760379,17,13.0,--434325--,2019-04-09T13:44:11+00:00,3,32,#13 Cansino el facherio que negativiza para proteger a su líder.
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760324,16,2.0,Qevmers,2019-04-09T13:37:59+00:00,2,18,"#2 ahora seamos mas sinceros, concretos y realistas; conociendo a ""el pistolas"" como lo conocí desde el 96 hasta el 2013, usted se cree que ""esta persona"" conocía ese dato? Que habla de la adelfopoiesis? 
Si le dice que habla de eso, seguro que lo denuncia por falta de respeto, daños morales y poner en su boca palabras que no ha dicho...
Por favor, que hablamos de Abascal..."
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760315,15,,--263971--,2019-04-09T13:36:36+00:00,2,20,"Atacais al mensajero. Guste o no guste hay muuuuuucha gente que cree en lo que dice este Sr. El problema no es su discurso rancio y trasnochado, el problema es más serio. Es la sociedad, vecinos, amigos y familiares nuestros que le votarán."
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760309,14,11.0,--596665--,2019-04-09T13:35:50+00:00,0,19,"#11 el plomo lo lleva y no en la pistola, lo debe de tener en el cerebro.
Que hombre más ignorante.
Un periodista normal conque me pregunte 5 cosillas quedaría como analfabeto.
Lo malo es que dan pena 3 es una cadena, pero una cadena de water."
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760308,13,,Bat00Io,2019-04-09T13:35:46+00:00,1,19,Cansina https://www.meneame.net/m/actualidad/abascal-vox-carga-contra-aborto-susanna-griso-tu-cuerpo-tuyo-no
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760306,12,,wachington,2019-04-09T13:35:44+00:00,2,20,"Históricamente se arreglaban disputas con un duelo, históricamente existía la pena de muerte, históricamente se creía que la tierra era plana, ...
Cuidado que aquí puede tener un filón."
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760299,11,,tricantinian,2019-04-09T13:34:57+00:00,3,35,"No me extraña que de pocas entevistas. Es de vergüenza ajena.
Le falta pedir que se vuelva a fumar en los bares y que la gasolina lleve plomo."
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760295,10,7.0,skaworld,2019-04-09T13:34:16+00:00,2,42,"#7 Eso es el principio de los tiempos, antes del 36 todo el mundo sabe que España era un páramo baldío donde reinaba el caos y el desorden, con la unica extepcion de Blas de Lenzo"
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760287,9,,Priorat,2019-04-09T13:33:37+00:00,2,37,"Ya. E históricamente si no molaba el gobierno de un país había una revolución y se guillotinaba a todos los gobernantes o los que no nos cayesen bien.

Yo acepto lo suyo, si el acepta lo mio."
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760285,8,,JackNorte,2019-04-09T13:33:10+00:00,2,37,Y esto representa a gente. que miedo.
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760281,7,5.0,MAJASTRABU,2019-04-09T13:32:56+00:00,5,77,#5 1936 {tongue}
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760278,6,2.0,Pointman,2019-04-09T13:32:47+00:00,2,30,"#2  A ver, históricamente siempre que no retrocedamos mucho y no no fijemos demasiado. Solo lo justo y necesario, como dios manda."
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760270,5,2.0,skaworld,2019-04-09T13:32:00+00:00,8,79,"#2  #3 A ver, no seais flipados, teneis que entender con quien hablais.

Cuando Abascal dice ""Históricamente"" se refiere a 1996"
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760262,4,,--596665--,2019-04-09T13:30:56+00:00,7,89,"Yo le pondría en una entrevista una suma, una resta, pero nada de decimales, algo así sencillo 20+30,  27-12 y dividir 9 entre 3, y que escribiera una frase.
Seguro que es corto.
Tengo un mendrugo de pan en la mesa y seguro que es más listo que este ciruelo"
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760251,3,2.0,--434325--,2019-04-09T13:30:06+00:00,4,67,#2 Y si hablamos de Grecia ya ni te cuento...maldito parasito analfabeto que solo se alimenta del odio...
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760242,2,,Charles_Dexter_Ward,2019-04-09T13:28:59+00:00,18,190,"""Históricamente""... La adelfopoiesis ―conocida en latín como fraternitas iurata y ordo ad fratres faciendum― era una ceremonia practicada por varias iglesias cristianas durante la Edad Media e inicios de la Época Moderna en Europa para unir a dos personas del mismo sexo (habitualmente hombres). https://es.wikipedia.org/wiki/Adelfopoiesis"
lgtbi,https://www.meneame.net/story/abascal-compara-matrimonio-gay-union-dos-hermanas-viudas,3110572,26760228,1,,--596443--,2019-04-09T13:27:24+00:00,3,63,si hacen la tijera entonces si
