tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/grave-caso-homofobia-cartel-ofrece-veinte-euros-cada-enfermo,3826801,38685454,183,177.0,--757112--,2023-06-23T15:29:03+00:00,0,6,"#177 No, no lo sabes. Bueno, que no soy un postmoderno/progre apestoso, sí.
Por lo demás, tengo razón."
lgtbi,https://www.meneame.net/story/grave-caso-homofobia-cartel-ofrece-veinte-euros-cada-enfermo,3826801,38683607,182,136.0,Nebuchanezzar,2023-06-23T11:48:29+00:00,0,7,"#136 No no te equivoques con la misma no, la misma solo generaría lo que tu dices, yo hablo de una contundencia visceral, descomunal y concreta una que espante y que les haga sentir un poco del miedo que ellos disfrutan difundiendo, y si eso sirve para que dejen de comportarse como el cancer que son bienvenido sea combatir el fuego con explosiones controladas"
lgtbi,https://www.meneame.net/story/grave-caso-homofobia-cartel-ofrece-veinte-euros-cada-enfermo,3826801,38680523,181,180.0,--706165--,2023-06-23T06:17:50+00:00,1,20,"#180 El proceso de involución generalizada que vivimos es acojonante y se ve claramente cómo unos pocos son capaces de llevar a las masas a los extremos del pensamiento que van incluso contra sus intereses. Ya había empezado antes de la pandemia pero esta aceleró todo.

En estos momentos es en los que me alegro de no traer chiquillos al mundo."
lgtbi,https://www.meneame.net/story/grave-caso-homofobia-cartel-ofrece-veinte-euros-cada-enfermo,3826801,38680500,180,179.0,bienestarypsico,2023-06-23T06:14:04+00:00,0,11,"#179 Pues sí, entonces te había entendido mal. La cosa pinta cada vez peor."
lgtbi,https://www.meneame.net/story/grave-caso-homofobia-cartel-ofrece-veinte-euros-cada-enfermo,3826801,38680481,179,158.0,--706165--,2023-06-23T06:10:48+00:00,1,20,"#158 veo que me has entendido totalmente al revés porque a lo que yo me refería es a que has dicho ""como siga esto in crescendo"" (ahí es donde veía el sarcasmo) como si en el caso Samuel, por ejemplo, no estaba ya bastante crecido para lo que pasó. 

El ""como siga esto in crescendo"" valía para hace 3 años. Ahora estamos (están) más que creciditos. Ya sabemos gracias a qué partido y al blanqueamiento que le han hecho los Ana Rosos de turno."
lgtbi,https://www.meneame.net/story/grave-caso-homofobia-cartel-ofrece-veinte-euros-cada-enfermo,3826801,38677791,178,176.0,drogadisto,2023-06-22T16:26:36+00:00,0,9,"#176 La verdad es que todo lo que has descrito explica muchas cosas. Más de las que te imaginas, sin duda."
lgtbi,https://www.meneame.net/story/grave-caso-homofobia-cartel-ofrece-veinte-euros-cada-enfermo,3826801,38677701,177,174.0,stygyan,2023-06-22T16:14:14+00:00,0,10,"#174 ya con leer lo de ""Charos"" me queda claro de qué pie cojeas."
lgtbi,https://www.meneame.net/story/grave-caso-homofobia-cartel-ofrece-veinte-euros-cada-enfermo,3826801,38677491,176,148.0,Arkhan,2023-06-22T15:44:42+00:00,0,11,"#148 La heterosexualidad como tal es un camino de rosas desde el primer momento en el que a cualquier varón con una pluma no demasiado evidente se le presupone heterosexual, nadie ha sido expulsado de su casa por reconocerse heterosexual, nadie ha sido discriminado de ninguna forma por manifestarse como heterosexual, nadie en la historia ha estado encarcelado por heterosexual, agredido por heterosexual o asesinado por heterosexual.

Las cosas han ido a mejor, al menos ya no nos encierran en cárceles divididos entre homosexuales de nacimiento y homosexuales por vicio. Qué cosas, ya nos podemos conformar."
lgtbi,https://www.meneame.net/story/grave-caso-homofobia-cartel-ofrece-veinte-euros-cada-enfermo,3826801,38677271,175,156.0,--757112--,2023-06-22T15:09:41+00:00,0,5,"#156 ¿Qué pasa? ¿Que los que no comulgamos con las gilipolleces progres te jodemos la cámara de eco?
Desmonta mi narrativa con argumentos y hechos, no con pueriles lloriqueos, demagogia y falacias."
lgtbi,https://www.meneame.net/story/grave-caso-homofobia-cartel-ofrece-veinte-euros-cada-enfermo,3826801,38677260,174,173.0,--757112--,2023-06-22T15:07:14+00:00,0,5,"#173 Vale, ahora vete a Rusia o a Polonia y me cuentas la experiencia. ¿Qué esperas? ¿No encontrarte con energúmenos? Pues no va a ser así, ya te doy malas noticias. 
La diferencia es que aquí los que se piensan que sois unos viciosos, locos, etc, es una minoría irrisoria en comparación con otros países.

Yo estoy convencidísimo que los que más daño han hecho a transexuales y transgénero han sido las Charos de igualdad que os han convertido en una especie de fetiche con el que dar la matraca 24/7 para justificar sus putas idas de olla."
lgtbi,https://www.meneame.net/story/grave-caso-homofobia-cartel-ofrece-veinte-euros-cada-enfermo,3826801,38676942,173,127.0,stygyan,2023-06-22T14:21:46+00:00,0,10,"#127 qué alivio leerte, y yo que pensaba que la mierda que recibo a diario por ser trans era real. Al parecer, soy aceptada por toda la sociedad y cuando alguien me amenaza en el metro es todo una alucinación mía."
lgtbi,https://www.meneame.net/story/grave-caso-homofobia-cartel-ofrece-veinte-euros-cada-enfermo,3826801,38676919,172,108.0,stygyan,2023-06-22T14:19:34+00:00,0,10,"#108 muchacho, son ELLOS los que quieren derramar la sangre del colectivo. Nosotres queremos vivir en paz, hostias."
