tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38635270,56,55.0,Anomalocaris,2023-06-16T22:16:04+00:00,0,7,#55 No he dicho tal cosa. No has entendido nada de lo que he escrito.
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38623388,55,54.0,BoosterFelix,2023-06-15T12:40:47+00:00,0,15,"#54 Lo que dices equivale a decir que el cáncer o la diabetes no son enfermedades porque los demás animales también las sufren. Como te digo, es tu intento de aprovechar que una enfermedad o desviación biológica no supone ni reporta ninguna culpabilidad a nivel moral a quien la sufre, para que pensemos que a nivel biológico tampoco es una enfermedad o desviación. Piensa lo que quieras; que cada uno piense lo que quiera, como yo haré lo propio. Y te aseguro que yo no voy a pensar que una enfermedad o desviación biológica deja de ser una enfermedad o desviación biológica porque a nivel moral no sea ningún crimen o culpa de quien la sufre."
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38612387,54,37.0,Anomalocaris,2023-06-14T06:35:17+00:00,0,7,"#37 Una desviación biológica es, por ejemplo, que un discapacitado sobreviva. En el resto de especies mueren. ¿Y sabes por qué no pasa en nuestra especie? Pues porque en muchos aspectos no nos regimos por la biología sino por normas sociales y éticas. No viene a cuento lo de la normalidad biológica en este asunto porque no lo vemos como un asunto biológico. Lo de la normalidad biológica no es mas que un intento de llamar anormales a los homosexuales sin quedar como un retrógrado. Y te ha quedado como el culo porque, como ya te han dicho, los humanos no somos la única especie con comportamientos homosexuales."
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38600729,53,,Expat_Guinea_Ecuatorial,2023-06-12T16:40:17+00:00,1,19,"De todas maneras, el arcoris de los progres tiene 6 colores, no 7 como el de la naturaleza o el del pacto del antiguo testamento. 6, porque es un numero muy simbolico para otras grupos"
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38600722,52,2.0,Expat_Guinea_Ecuatorial,2023-06-12T16:39:27+00:00,1,19,#2 Eso tambien existe en la naturaleza porque todo lo humano es natural
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38600219,51,18.0,devilinside,2023-06-12T15:43:53+00:00,0,11,#18 Espero que con el dinero de nuestros impuestos esté comprando las piedras de molino que el mítico fundador de su religión recomendaba para atar al cuello de los que abusaban de los niños
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38600208,50,7.0,devilinside,2023-06-12T15:42:35+00:00,1,23,"#7 Van a faltar camareros este verano, por dar una idea"
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38600202,49,37.0,devilinside,2023-06-12T15:41:53+00:00,0,11,#37 Normalidad biológica tiene bastante más de cero. Se da en bastantes especies en la naturaleza
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38600062,48,2.0,kkmonokk,2023-06-12T15:27:00+00:00,1,14,"#2 Estos dementes piensan que el mundo les pertenece.

Al final resultó que los auténcticos antisociales de ideología peligrosa no eran los punkies..."
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38599206,47,27.0,Galton,2023-06-12T13:55:22+00:00,0,8,"#27 Pues ahora, reconozca que el sexo independiente de la reproducción y el sexo homosexual son parte de la naturaleza."
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38599202,46,43.0,eldarel,2023-06-12T13:55:08+00:00,0,11,#43 Tengo que volver a jugar alcon los dados de veinte {tongue}
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38599162,45,,muerola,2023-06-12T13:50:26+00:00,0,12,"Menudo elemento, experto en inmatriculaciones y conversion de edificios de la iglesia en negocios hosteleros,   homofobo sin igual y tremendamente derechuzos.
Acabo su misión en Donostia y lo cambiaron de diócesis, menos mal"
lgtbi,https://www.meneame.net/story/obispo-munilla-acusa-colectivo-lgtbi-desfigurar-simbolo-biblico,3823312,38599012,44,1.0,Verdaderofalso,2023-06-12T13:37:14+00:00,1,29,"#1 se quieren atribuir a sí mismos un evento de la naturaleza {lol} 

Brutal.

Alguno debe de tener pesadillas don Darwin y la teoría de la evolución"
