tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39886869,17,,Polarin,2023-12-20T01:53:56+00:00,0,9,"Vamos, que han quitado 40.000 de financiacion... a que asociaciones y a quien?"
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39886773,16,,--772776--,2023-12-20T00:17:31+00:00,0,6,Votando odio
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39886040,15,12.0,Autarca,2023-12-19T20:59:52+00:00,0,10,"#12 Bueno, la sanidad ahora mismo esta hecha mierda para todos.

Y en mi opinión todo lo que dice se resolverá cuando tengamos claro que somos clase obrera contra el capital, y aparquemos nuestras diferencias para unirnos contra el enemigo común."
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39885663,14,,IkkiFenix,2023-12-19T19:52:46+00:00,1,11,"No entiendo porque hay que subvencionar a ningún colectivo en pleno 2023, ni tampoco a los sindicatos. Lo malo no es que quiten las subvenciones, es que se las trasladarán a otros. Y así casa partido va garantizando a sus redes clientelares."
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39885648,13,12.0,IkkiFenix,2023-12-19T19:50:18+00:00,3,24,#12 Ni los gays tampoco. No estamos en 1980.
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39885551,12,5.0,--527011--,2023-12-19T19:33:15+00:00,1,18,"#5 Sabes por qué no existe el colectivo hetero, porque los heteros no necesitamos  luchar para poder darnos un beso en publico o ir cogidos de la mano de nuestra pareja hetero, no necesitamos luchar para que no se nos discrimine en muchos trabajos, no necesitamos pedir una sanidad que entienda lo que nos pasa, no necesitamos luchar contra la heterofobia porque no existe, no necesitamos leyes que nos protejan ya lo hacen las leyes por defecto, porque nadie se mete con nosotros por querer a alguien de distinto sexo, o por estar cómodos con el sexo y el género que tenemos.
Por eso no necesitamos colectivízanos, ni que nos ayuden, porque nosotros no somos victimas de nadie, es más solemos ser los agresores. 
Un saludo, y deshazte de ese odio, vivirás mejor, aunque te creas graciosita y eso, no, la verdad es que tienes odio y eso da mucha pena."
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39885391,11,,tsumy,2023-12-19T19:07:45+00:00,0,14,"El problema, el +17% de votantes que aplauden estas medidas, sumado a otro mucho más del PP que por miedo a que le coman la tostada por la derecha se sube al carro."
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39885207,10,5.0,--765712--,2023-12-19T18:36:21+00:00,2,24,#5 Cuñaaaaooo
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39885077,9,,sauron34_1,2023-12-19T18:12:55+00:00,2,42,"Por supuesto que presume, es por lo que los votan los cavernícolas de sus votantes."
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39885055,8,5.0,Verdaderofalso,2023-12-19T18:08:10+00:00,6,117,#5 y el día del heterosexual para cuando?! Te ha faltado gritar
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39885015,7,5.0,Ratoncolorao,2023-12-19T17:58:41+00:00,3,28,"#5 No entiendo porqué no os quejáis, con lo que tiene que dolerte la pollaherida...
Veo en tu historial de comentarios que eres el criado de VOX aquí y les limpias las mierdas y lo haces gratis...Normal que luego no tengas paguitas...
Y dime...¿Cómo es que te represente alguien como Antelo que para mear necesita un libro de instrucciones? Supongo que te sientes representado..."
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39885012,6,,SeñorPresunciones,2023-12-19T17:58:14+00:00,2,42,"Toda una triunfada para el colectivo de los hijos de la gran puta. Hoy están de enhorabuena, hacer daño a colectivos en riesgo de exclusión es lo suyo."
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39884984,5,,jrgvr,2023-12-19T17:53:04+00:00,9,-46,Pues igual que al colectivo hetero.
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39884981,4,,--181777--,2023-12-19T17:52:52+00:00,15,198,"LGTBI no, secta de pederastas con medio millón de víctimas sí"
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39884977,3,,Ratoncolorao,2023-12-19T17:52:18+00:00,1,35,"La partida a mermaos, sin embargo, no sufre ningún recorte porque Antelo sabe que dejaría sin paguitas a los suyos..."
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39884975,2,,Asimismov,2023-12-19T17:52:11+00:00,1,17,"Esperemos que el Estado no les haga las transferencias correspondientes, para que no se lo gasten en toros y furcias."
lgtbi,https://www.meneame.net/story/vicepresidente-region-murcia-vox-presume-dejar-sin-fondos-lgtbi,3888799,39884963,1,,devilinside,2023-12-19T17:50:51+00:00,0,10,Tontelo en su línea
